,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,1768.30000,6279.10000,,487.50000,8534.90000,632.90000,5578.30000,470.30000,8340.30000,16875.20000,8169.20000,2902.50000,634.50000,5248.90000,13418.10000,39.60000,3449.90000,-1102.60000,3457.10000,16875.20000
2022-06-30,1983.40000,6247.90000,,529.50000,8760.80000,641.60000,5655.00000,444.80000,8488.40000,17249.20000,8462.70000,2906.10000,625.10000,5297.50000,13760.20000,39.60000,3311.80000,-988.90000,3489.00000,17249.20000
2022-03-31,2402.30000,6335.20000,,532.50000,9270.00000,654.90000,5724.60000,416.10000,8610.89800,17880.90000,8954.20000,2908.10000,645.00000,5377.90000,14332.10000,39.70000,3196.70000,-892.30000,3548.80000,17880.90000
2021-12-31,3270.00000,7524.90000,,436.90000,11231.80000,675.80000,5756.20000,399.60000,8677.39900,19909.20000,10890.00000,2908.60000,600.70000,5430.00000,16320.00000,39.30000,3154.30000,-894.20000,3589.20000,19909.20000
2021-09-30,2490.00000,6192.90000,,450.00000,9132.90000,666.30000,5784.10000,431.80000,8672.39900,17805.30000,9049.00000,2908.30000,639.10000,5535.00000,14584.00000,39.30000,2908.90000,-928.40000,3221.30000,17805.30000
2021-06-30,2340.60000,5937.00000,,504.90000,8782.50000,658.20000,5837.00000,411.10000,8539.20000,17321.70000,8796.70000,2907.90000,671.50000,5413.70000,14210.40000,39.30000,2777.50000,-886.30000,3111.30000,17321.70000
2021-03-31,2015.30000,5283.00000,,471.90000,7770.20000,667.00000,5847.90000,407.80000,8579.50000,16349.70000,7984.50000,2906.90000,660.30000,5443.60000,13428.10000,39.30000,2623.10000,-896.30000,2921.60000,16349.70000
2020-12-31,2509.00000,6467.10000,,391.50000,9367.60000,690.30000,5879.10000,424.40000,8675.10100,18042.70000,9580.50000,2915.80000,655.20000,5518.30000,15098.80000,39.00000,2636.90000,-880.20000,2943.90000,18042.70000
2020-09-30,1628.00000,5114.60000,,541.70000,7284.30000,709.80000,5824.70000,414.30000,8790.39900,16074.70000,7227.90000,3411.30000,662.60000,6086.20000,13314.10000,38.90000,2623.40000,-967.80000,2760.60000,16074.70000
2020-06-30,1085.40000,4610.30000,,518.60000,6214.30000,717.80000,5810.50000,430.79990,8682.60000,14896.90000,6366.50000,3411.70000,749.20000,6039.30000,12405.80000,38.90000,2444.30000,-1029.10000,2491.10000,14896.90000
2020-03-31,1554.00000,5575.50000,,467.20000,7596.70000,752.80000,5817.20000,466.10000,8832.20000,16428.90000,7795.90000,3410.90000,732.60000,6057.80000,13853.70000,38.90000,2591.10000,-1078.70000,2575.20000,16428.90000
2019-12-31,1192.20000,7143.30000,,435.20000,8770.70000,778.10000,5908.70000,467.90000,8981.20000,17751.90000,9420.40000,2771.90000,714.70000,5505.90000,14926.30000,38.70000,2689.90000,-930.00000,2825.60000,17751.90000
2019-09-30,520.50000,6066.50000,,463.00000,7050.00000,758.20000,5879.70000,457.10000,8947.60000,15997.60000,7398.40000,3367.10000,714.40000,6096.10000,13494.50000,38.70000,2455.50000,-966.20000,2503.10000,15997.60000
2019-06-30,614.00000,6367.10000,,494.30000,7475.40000,767.10000,5936.10000,454.00000,9051.50000,16526.90000,7731.30000,3563.80000,720.30000,6337.20000,14068.50000,38.60000,2381.80000,-917.90000,2458.40000,16526.90000
2019-03-31,630.50000,6104.90000,,511.60000,7247.00000,767.10000,5959.70000,435.10000,8803.00000,16050.00000,7531.10000,3663.70000,713.30000,6164.30000,13695.40000,38.60000,2303.10000,-929.70000,2354.60000,16050.00000
2018-12-31,673.40000,7027.20000,,482.30000,8182.90000,790.90000,5970.60000,428.90000,7437.39900,15620.30000,8123.90000,3660.20000,812.80000,5063.60000,13187.50000,38.30000,2400.10000,-941.10000,2432.80000,15620.30000
2018-09-30,1860.20000,6005.00000,,465.30000,8330.50000,602.90000,3784.70000,524.80000,5182.60000,13513.10000,6691.70000,3261.40000,791.60000,4651.20000,11342.90000,39.10000,2158.40000,-925.30000,2170.20000,13513.10000
2018-06-30,493.20000,6193.50000,,458.90000,7145.60000,602.00000,3788.10000,560.90000,5212.00000,12357.60000,7585.30000,1282.70000,786.80000,2680.70000,10266.00000,39.00000,2076.70000,-903.40000,2091.60000,12357.60000
2018-03-31,597.30000,5923.60000,,442.60000,6963.50000,634.20000,3839.70000,529.60000,5276.60000,12240.10000,7322.50000,1288.20000,785.10000,2777.30000,10099.80000,39.00000,2010.50000,-790.80000,2140.30000,12240.10000
2017-12-31,790.90000,6332.40000,,352.20000,7475.50000,650.40000,3961.10000,383.70000,5229.20000,12704.70000,7675.30000,1285.60000,768.80000,2783.10000,10458.40000,38.60000,2104.50000,-827.80000,2246.30000,12704.70000
2017-09-30,704.90000,5438.40000,,320.50000,6463.80000,637.50000,3799.90000,544.00000,5252.30000,11716.10000,6946.30000,1285.00000,749.40000,2729.60000,9675.90000,39.90000,1849.80000,-832.70000,2040.20000,11716.10000
2017-06-30,660.80000,5482.90000,,342.80000,6486.50000,635.00000,3753.10000,542.70000,5191.70000,11678.20000,6946.20000,1283.10000,731.40000,2719.70000,9665.90000,39.90000,1774.90000,-874.20000,2012.30000,11678.20000
2017-03-31,778.10000,5384.20000,,427.20000,6589.50000,616.30000,3703.50000,545.00000,5108.40000,11697.90000,6990.70000,1281.90000,728.40000,2710.80000,9701.50000,39.80000,1751.20000,-909.40000,1996.40000,11697.90000
2016-12-31,1097.60000,5907.80000,,432.60000,7438.00000,622.00000,3674.40000,530.50000,5047.20000,12485.20000,7706.00000,1280.70000,708.30000,2722.50000,10428.50000,39.40000,1804.30000,-962.50000,2056.70000,12485.20000
