,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,171.10200,567.96300,739.06500,37781.96000,8899.84400,2252.22700,48934.03000,49673.09000,399.13700,18110.73000,2319.93300,20430.67000,20829.80000,34159.51000,-5493.19300,46.83300,28843.29000,49673.09000
2022-09-30,187.74500,529.24800,716.99300,34227.79000,8795.80000,2151.89500,45175.48000,45892.48000,408.48200,16341.68000,2278.05400,18619.74000,19028.22000,32003.07000,-5241.01200,-24.93800,26864.26000,45892.48000
2022-06-30,172.84900,500.38400,673.23300,33385.57000,8886.47300,2006.63700,44278.68000,44951.92000,353.57300,15954.50000,2240.97100,18195.47000,18549.04000,31303.38000,-4999.15000,22.37900,26402.88000,44951.92000
2022-03-31,151.62400,468.16500,619.78900,32721.97000,8899.26100,1821.00000,43442.23000,44062.02000,305.57400,15931.50000,2246.22300,18177.72000,18483.29000,30236.37000,-4772.11200,37.91700,25578.72000,44062.02000
2021-12-31,258.57900,426.76800,685.34700,31989.60000,8952.01000,1510.54600,42452.16000,43137.50000,351.12800,15442.64000,2214.33700,17656.97000,18008.10000,29578.21000,-4530.57100,4.93300,25129.40000,43137.50000
2021-09-30,516.98300,341.72900,858.71200,19822.72000,2156.00800,873.65500,22852.38000,23711.09000,269.58700,9249.36200,823.03200,10072.39000,10341.98000,17449.12000,-4112.95300,-1.07600,13369.11000,23711.09000
2021-06-30,231.16400,327.92000,559.08400,18939.85000,1969.79300,516.21000,21425.86000,21984.94000,259.80500,9165.38700,686.07000,9851.45700,10111.26000,15827.23000,-3968.33300,-19.36600,11873.68000,21984.94000
2021-03-31,183.98400,307.01700,491.00100,18198.19000,1820.14600,470.23700,20488.57000,20979.57000,200.16800,8532.49500,679.89400,9212.38900,9412.55700,15371.02000,-3827.66000,-8.48400,11567.01000,20979.57000
2020-12-31,824.47600,285.70100,1110.17700,17485.16000,1724.83500,420.11700,19630.11000,20740.29000,241.33600,8817.46700,663.75200,9481.21900,9722.55500,14700.05000,-3659.93300,-54.63400,11017.73000,20740.29000
2020-09-30,724.75000,261.75200,986.50200,16782.77000,1610.45700,405.64500,18798.87000,19785.37000,206.62600,8435.86100,643.09500,9078.95600,9285.58200,14050.49000,-3527.52100,-52.44600,10499.79000,19785.37000
2020-06-30,335.34500,255.60900,590.95400,16542.87000,1508.17700,460.55400,18511.60000,19102.55000,201.17600,7874.77700,652.67500,8527.45200,8728.62800,13704.12000,-3306.58800,-53.08400,10373.92000,19102.55000
2020-03-31,41.80400,185.63200,227.43600,16591.94000,1516.81900,460.25000,18569.01000,18796.44000,182.17700,7535.61400,661.01200,8196.62600,8378.80300,13604.05000,-3173.46800,-42.57200,10417.64000,18796.44000
2019-12-31,54.01100,181.96900,235.98000,16496.77000,1493.38300,328.66100,18318.81000,18554.80000,177.03900,7901.54700,672.05200,8573.59900,8750.63800,12873.85000,-3082.29100,-17.10200,9804.15800,18554.80000
2019-09-30,236.06400,163.44400,399.50800,15146.73000,1328.30100,305.36900,16780.40000,17179.90000,163.15400,7037.38900,661.26400,7698.65300,7861.80700,12294.14000,-2987.12000,-13.59900,9318.09700,17179.90000
2019-06-30,27.13600,165.47000,192.60600,14940.27000,1323.10000,292.65800,16556.02000,16748.63000,156.85900,7074.28800,654.88900,7729.17700,7886.03600,11722.04000,-2869.93700,-14.59700,8862.59400,16748.63000
2019-03-31,2.99700,151.34100,154.33800,14141.89000,1219.74400,246.93200,15608.57000,15762.91000,114.22500,7015.42700,624.18000,7639.60700,7753.83200,10748.47000,-2752.77500,-11.79700,8009.07600,15762.91000
2018-12-31,10.38700,144.99100,155.37800,13843.52000,1199.59700,61.99100,15105.10000,15260.48000,133.76500,6499.97600,505.76400,7005.74000,7139.50500,10754.50000,-2657.65500,-8.09800,8120.97800,15260.48000
2018-09-30,6.66600,135.86600,142.53200,13686.97000,1227.54000,38.27900,14952.79000,15095.33000,119.14400,6779.65900,485.26800,7264.92700,7384.07100,10220.09000,-2543.85200,,7711.25400,15095.33000
2018-06-30,30.71700,126.12600,156.84300,13230.04000,1243.48200,43.70700,14517.23000,14674.07000,122.37900,6540.20200,499.02400,7039.22600,7161.60500,9925.54300,-2449.79300,,7512.46900,14674.07000
2018-03-31,20.62700,125.69000,146.31700,13001.51000,1277.19500,49.06800,14327.78000,14474.09000,92.37900,6594.24200,489.81300,7084.05500,7176.43400,9625.20000,-2357.22000,,7297.65900,14474.09000
2017-12-31,6.89800,119.53300,126.43100,12676.50000,1209.90000,45.33600,13931.74000,14058.17000,109.52300,6111.47100,446.46400,6557.93500,6667.45800,9624.26400,-2252.76300,,7390.70800,14058.17000
2017-09-30,3.19900,113.72100,116.92000,12347.78000,1180.00200,56.72100,13584.50000,13701.42000,92.94700,5787.02700,447.51800,6234.54500,6327.49200,9488.04300,-2133.61400,,7373.92700,13701.42000
2017-06-30,10.94500,107.14700,118.09200,12207.20000,1195.18300,53.64300,13456.02000,13574.12000,115.59500,5988.04800,449.42100,6437.46900,6553.06400,9046.53300,-2045.12700,,7021.05200,13574.12000
2017-03-31,27.59800,103.75900,131.35700,12095.84000,1123.13200,71.85700,13290.83000,13422.19000,86.63800,5423.62600,448.44900,6280.82500,6367.46300,8987.93300,-1952.99000,,7054.72300,13422.19000
2016-12-31,9.42000,104.58400,114.00400,11903.79000,1097.38700,37.68900,13038.87000,13152.87000,121.15600,5839.60500,405.05700,6244.66200,6365.81800,8228.59400,-1857.16800,,6787.05300,13152.87000
2016-09-30,29.80100,94.49800,124.29900,11263.66000,1102.81300,45.68300,12412.15000,12536.45000,97.54100,5250.69700,417.71800,5668.41500,5765.95600,8144.98300,-1785.63000,,6770.49700,12536.45000
2016-06-30,20.44300,87.16600,107.60900,11008.15000,1078.26500,55.41100,12141.82000,12249.43000,130.02400,4947.60400,351.72600,5299.33000,5429.35400,8105.22900,-1699.96600,,6820.07700,12249.43000
2016-03-31,8.69500,82.99000,91.68500,10868.27000,1032.69400,44.45700,11945.42000,12037.10000,86.32800,5105.09800,345.18700,5450.28500,5536.61300,7699.83700,-1616.21600,,6500.49000,12037.10000
2015-12-31,40.29400,81.67800,121.97200,10618.88000,1049.73800,54.78500,11723.41000,11845.38000,115.82600,4820.99500,355.22500,5176.22000,5292.04600,7666.42800,-1530.21000,,6553.33300,11845.38000
