,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,126.83400,53.43600,555.10200,13023.48000,418.06100,1537.26500,14978.81000,15771.23000,772.48500,6497.61300,1004.33900,7607.63100,8588.63100,546.64200,-4269.68900,28.13400,7182.59800,15771.23000
2022-09-30,166.95200,53.96400,604.90700,12878.06000,444.21500,1502.62200,14824.89000,15661.96000,732.89500,6590.97100,1010.92800,7729.48200,8663.19000,537.53400,-4114.80600,29.52600,6998.76600,15661.96000
2022-06-30,127.82800,47.34000,589.13010,12873.63000,470.86500,1151.18900,14495.68000,15318.20000,706.81900,6453.75000,1000.24500,7569.87200,8477.81500,539.58000,-4306.76200,-1.31800,6840.38800,15318.20000
2022-03-31,141.16900,54.10600,605.02800,12839.15000,497.10400,1113.51400,14449.77000,15287.25000,695.37300,6335.58200,1006.69500,7440.16700,8339.52800,539.52400,-4212.94100,-3.04700,6947.72200,15287.25000
2021-12-31,211.74100,48.69100,676.24300,12667.43000,519.76000,1160.14500,14347.33000,15257.52000,755.38400,6169.98900,981.49500,7238.82900,8198.75900,539.09700,-4120.77400,-3.14700,7058.76000,15257.52000
2021-09-30,254.79800,44.69900,710.55900,12076.64000,520.33500,1217.44800,13814.42000,14743.50000,729.93900,5538.40400,945.32700,6603.32200,7524.70300,539.06600,-3987.53700,-3.28100,7218.79700,14743.50000
2021-06-30,225.97500,41.81400,696.86500,11603.99000,511.61200,1304.59700,13420.20000,14332.37000,688.45800,5038.37600,982.07500,6020.45100,6898.64100,538.95500,-3880.25300,-3.38900,7433.72900,14332.37000
2021-03-31,102.04000,38.87900,881.06100,11148.95000,495.91900,2469.57200,14114.44000,15193.93000,697.04000,5763.04900,1232.73000,6995.77900,7877.24400,538.88600,-3994.56200,-3.49700,7316.68200,15193.93000
2020-12-31,111.43200,42.26900,349.07600,11119.76000,519.91700,3738.98900,15378.66000,15920.09000,760.61700,6297.97900,1334.25200,7689.62700,8630.13900,538.40500,-3976.23200,-3.68500,7289.95000,15920.09000
2020-09-30,299.53800,63.21600,593.91600,11034.19000,501.58300,3431.26000,14967.03000,15751.82000,834.51800,6379.89500,956.09800,7335.99300,8345.51300,538.35500,-3923.15000,-3.23600,7406.30800,15751.82000
2020-06-30,836.64100,73.43200,1163.84700,12787.00000,537.55500,1634.31000,14958.86000,16316.44000,847.08000,6728.78700,894.82310,7623.61000,8647.71900,538.31800,-3660.18700,-2.18600,7668.72100,16316.44000
2020-03-31,890.09900,85.03700,1195.78800,12581.85000,550.34800,1572.85400,14705.05000,16072.68000,856.03100,6389.10400,857.29300,7246.39700,8259.23600,538.13500,-3512.14300,-2.49500,7813.44300,16072.68000
