,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,529.00000,1182.00000,1339.00000,22.00000,3359.00000,6431.00000,2092.00000,23408.00000,604.00000,26950.00000,33381.00000,5853.00000,5967.00000,1501.00000,9089.00000,14942.00000,191.00000,2768.00000,-366.00000,15744.00000,18439.00000,33381.00000
2022-06-30,420.00000,1238.00000,1241.00000,8.00000,3281.00000,6188.00000,2042.00000,24464.00000,580.00000,27950.00000,34138.00000,4884.00000,6782.00000,1494.00000,10064.00000,14948.00000,192.00000,3312.00000,-232.00000,15814.00000,19190.00000,34138.00000
2022-03-31,402.00000,1337.00000,1090.00000,58.00000,3362.00000,6249.00000,2078.00000,24680.00000,571.00000,28195.00000,34444.00000,4737.00000,6795.00000,1580.00000,10341.00000,15078.00000,193.00000,3128.00000,-150.00000,16089.00000,19366.00000,34444.00000
2021-12-31,941.00000,1143.00000,982.00000,,3293.00000,6359.00000,2101.00000,24829.00000,566.00000,28350.00000,34709.00000,4551.00000,7048.00000,1679.00000,10839.00000,15390.00000,194.00000,2917.00000,-146.00000,16248.00000,19319.00000,34709.00000
2021-09-30,1126.00000,1178.00000,1024.00000,50.00000,3248.00000,6626.00000,2044.00000,25003.00000,478.00000,28392.00000,35018.00000,4313.00000,7053.00000,1973.00000,11111.00000,15424.00000,197.00000,2743.00000,-303.00000,16847.00000,19594.00000,35018.00000
2021-06-30,2029.00000,1246.00000,872.00000,66.00000,3376.00000,7589.00000,2026.00000,25192.00000,477.00000,28475.00000,36064.00000,4464.00000,7061.00000,2810.00000,11624.00000,16088.00000,202.00000,2633.00000,-835.00000,17863.00000,19976.00000,36064.00000
2021-03-31,976.00000,1295.00000,904.00000,,4363.00000,7538.00000,2136.00000,25517.00000,499.00000,29052.00000,36590.00000,4231.00000,7066.00000,2856.00000,11877.00000,16108.00000,205.00000,2529.00000,-854.00000,18487.00000,20482.00000,36590.00000
2020-12-31,1276.00000,1639.00000,973.00000,61.00000,2718.00000,6667.00000,2102.00000,26784.00000,522.00000,30293.00000,36960.00000,4240.00000,6943.00000,2965.00000,11879.00000,16119.00000,208.00000,2347.00000,-839.00000,19008.00000,20841.00000,36960.00000
2020-09-30,1341.00000,1325.00000,894.00000,,2833.00000,6393.00000,2047.00000,27164.00000,547.00000,30752.00000,37145.00000,4666.00000,6261.00000,2640.00000,11040.00000,15706.00000,210.00000,2383.00000,-590.00000,19310.00000,21439.00000,37145.00000
2020-06-30,1947.00000,1351.00000,859.00000,,2769.00000,6926.00000,2015.00000,27351.00000,550.00000,30926.00000,37852.00000,4587.00000,6273.00000,2527.00000,11039.00000,15626.00000,216.00000,2250.00000,-624.00000,20260.00000,22226.00000,37852.00000
2020-03-31,663.00000,1483.00000,990.00000,,4075.00000,7211.00000,2032.00000,27436.00000,530.00000,30894.00000,38105.00000,5123.00000,6294.00000,2530.00000,10955.00000,16078.00000,216.00000,2151.00000,-651.00000,20182.00000,22027.00000,38105.00000
