,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2016-03-31,13.00000,484.00000,483.00000,464.00000,1458.00000,19000.00000,,411.00000,573.00000,21927.00000,23385.00000,1839.00000,6881.00000,2556.00000,14535.00000,16374.00000,2.00000,1333.00000,-5.00000,7011.00000,23385.00000
2015-12-31,292.00000,486.00000,538.00000,587.00000,1917.00000,18799.00000,,411.00000,575.00000,21723.00000,23640.00000,2093.00000,6880.00000,2523.00000,14459.00000,16552.00000,2.00000,1331.00000,-3.00000,7088.00000,23640.00000
2015-09-30,72.00000,621.00000,548.00000,500.00000,1983.00000,18307.00000,,411.00000,646.00000,21476.00000,23459.00000,2489.00000,5981.00000,2491.00000,13814.00000,16303.00000,2.00000,1405.00000,-5.00000,7156.00000,23459.00000
2015-06-30,2.00000,568.00000,500.00000,620.00000,1991.00000,17986.00000,,411.00000,649.00000,21161.00000,23152.00000,2556.00000,5981.00000,2501.00000,13690.00000,16246.00000,2.00000,1161.00000,-5.00000,6906.00000,23152.00000
2015-03-31,6.00000,624.00000,449.00000,568.00000,1993.00000,17700.00000,,411.00000,645.00000,20891.00000,22884.00000,2520.00000,5860.00000,2397.00000,13518.00000,16038.00000,2.00000,1111.00000,-9.00000,6846.00000,22884.00000
2014-12-31,5.00000,504.00000,524.00000,646.00000,1694.00000,17424.00000,,411.00000,629.00000,20595.00000,22289.00000,2249.00000,6085.00000,2246.00000,13185.00000,15434.00000,2.00000,1103.00000,-9.00000,6855.00000,22289.00000
2014-09-30,13.00000,584.00000,561.00000,468.00000,1942.00000,16991.00000,,431.00000,724.00000,19934.00000,21876.00000,2119.00000,5825.00000,2190.00000,12841.00000,14960.00000,2.00000,1154.00000,6.00000,6916.00000,21876.00000
2014-06-30,46.00000,667.00000,491.00000,569.00000,1965.00000,16726.00000,,430.00000,731.00000,19623.00000,21588.00000,2312.00000,5825.00000,2164.00000,12562.00000,14874.00000,2.00000,957.00000,6.00000,6714.00000,21588.00000
2014-03-31,26.00000,754.00000,424.00000,526.00000,1840.00000,16425.00000,,428.00000,719.00000,19326.00000,21166.00000,2725.00000,5226.00000,2124.00000,11786.00000,14511.00000,2.00000,906.00000,3.00000,6655.00000,21166.00000
2013-12-31,30.00000,600.00000,526.00000,545.00000,1972.00000,16205.00000,,411.00000,720.00000,19070.00000,21042.00000,2461.00000,5504.00000,2074.00000,11895.00000,14356.00000,2.00000,907.00000,3.00000,6686.00000,21042.00000
2013-09-30,169.00000,578.00000,581.00000,507.00000,3273.00000,15834.00000,,430.00000,660.00000,19112.00000,22385.00000,3228.00000,5274.00000,2095.00000,12432.00000,15660.00000,2.00000,967.00000,-19.00000,6725.00000,22385.00000
2013-06-30,150.00000,500.00000,511.00000,604.00000,3408.00000,15601.00000,,429.00000,654.00000,18868.00000,22276.00000,3286.00000,5274.00000,2051.00000,12465.00000,15751.00000,2.00000,762.00000,-9.00000,6525.00000,22276.00000
2013-03-31,161.00000,549.00000,461.00000,545.00000,3296.00000,15408.00000,,427.00000,665.00000,18656.00000,21952.00000,2577.00000,5803.00000,2047.00000,12859.00000,15436.00000,2.00000,764.00000,-15.00000,6516.00000,21952.00000
