,cash-on-hand,receivables-total,inventory,total-current-assets,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-11-30,4639.17000,673.98000,21432.01000,26745.16000,1173.16400,3442.35900,6623.61100,11239.13000,37984.30000,3583.67900,4047.29400,6112.95500,10160.25000,13743.93000,29.26800,18861.42000,2.40800,24240.37000,37984.30000
2022-08-31,1341.93900,665.47200,22842.51000,24849.92000,1174.49800,3442.35900,5873.10000,10489.96000,35339.88000,3214.51000,4057.49600,4940.33300,8997.82900,12212.34000,29.24200,17647.29000,2.09000,23127.54000,35339.88000
2022-05-31,1343.18100,508.63800,22089.50000,23941.32000,1083.81300,3442.35900,5838.71200,10364.88000,34306.20000,2969.94600,4645.79100,4900.69100,9546.48200,12516.43000,29.24200,16288.70000,1.74800,21789.77000,34306.20000
2022-02-28,1393.62200,456.18500,20592.70000,22442.51000,1066.25600,3442.35900,5684.12800,10192.74000,32635.25000,2359.70900,4639.22200,4788.88900,9428.11100,11787.82000,34.18700,15078.79000,1.68600,20847.43000,32635.25000
2021-11-30,2757.14000,490.27800,18715.30000,21962.72000,972.08400,3442.35900,6830.61300,11245.06000,33207.78000,2297.84900,4652.33800,5261.30900,9913.64600,12211.50000,33.99400,14685.33000,-1.34100,20996.28000,33207.78000
2021-08-31,2644.83900,369.49200,19105.94000,22120.27000,983.42900,3442.35900,6198.12800,10623.92000,32744.19000,2072.11600,5542.51300,4350.02200,9892.53500,11964.65000,33.99400,13570.63000,-1.30000,20779.54000,32744.19000
2021-05-31,2617.22000,353.91000,18419.00000,21390.13000,1010.25600,3442.35900,5380.48300,9833.09800,31223.23000,1940.58300,5894.34200,3686.20400,9580.54600,11521.13000,33.99300,12241.40000,-1.43100,19702.10000,31223.23000
2021-02-28,2439.28900,300.13400,17692.94000,20432.37000,1077.35300,3442.35900,5599.90300,10119.62000,30551.98000,1708.50100,5976.16800,3849.86000,9826.02700,11534.53000,33.99100,11488.52000,-1.74700,19017.45000,30551.98000
2020-11-30,2719.19700,298.67100,16925.23000,19943.10000,953.17700,3442.35900,5596.54500,9992.08100,29935.18000,1744.02900,5955.75800,4135.98900,10091.75000,11835.78000,33.83800,10564.99000,-0.80500,18099.40000,29935.18000
2020-08-31,1978.75500,295.95800,17671.26000,19945.97000,940.69500,3442.35900,4986.25600,9369.31000,29315.29000,1464.88500,7180.27400,3389.78100,10570.05000,12034.94000,33.83800,9760.16500,-0.16300,17280.35000,29315.29000
2020-05-31,1414.20000,299.49400,17947.41000,19661.10000,1406.73400,3442.35900,4798.83200,9647.92500,29309.03000,1383.80200,7495.67400,3796.92500,11292.60000,12676.40000,33.74800,9132.71400,-0.33800,16632.62000,29309.03000
2020-02-29,798.64610,311.81700,18643.48000,19753.94000,1406.29700,3442.35900,4571.10000,9419.75600,29173.70000,1561.17000,8115.49800,3303.65400,11419.15000,12980.32000,33.74600,8654.21300,0.45200,16193.38000,29173.70000
2019-11-30,1213.84500,329.12400,17776.51000,19319.48000,1466.84000,3442.35900,5130.83600,10040.04000,29359.51000,1344.62300,7776.63800,4204.42000,11981.06000,13325.68000,33.65600,8295.00100,0.49800,16033.83000,29359.51000
2019-08-31,814.98000,295.41800,18848.17000,19958.57000,1511.47300,3442.35900,4544.10400,9500.87900,29459.45000,1406.56300,9075.01600,3511.92100,12586.94000,13993.50000,33.65300,7633.37500,0.40700,15465.95000,29459.45000
2019-05-31,829.10800,303.59500,18774.49000,19907.19000,1474.07500,3442.35900,4752.68100,9675.87300,29583.06000,1429.44900,9390.94100,3516.13900,12907.08000,14336.53000,33.44700,7132.90800,0.22700,15246.54000,29583.06000
2019-02-28,882.24400,222.57900,18208.80000,19313.62000,1412.64500,3442.35900,4557.42700,9436.30500,28749.93000,1307.67600,9256.42300,3292.13200,12548.55000,13856.23000,33.44500,6724.24200,-0.15800,14893.70000,28749.93000
2018-11-30,1381.71500,236.84100,17068.70000,18687.26000,1354.27900,3442.35900,5056.65100,9878.92100,28566.18000,1344.86000,8543.86800,3994.49600,12538.36000,13883.22000,33.44300,6487.65000,-0.36600,14682.96000,28566.18000
2018-08-31,892.63200,170.65800,17569.07000,18632.36000,1503.05000,3457.99900,4643.34000,9657.03300,28289.39000,1476.53500,9407.98700,3288.69300,12696.68000,14173.21000,33.44200,5704.67600,-0.61500,14116.18000,28289.39000
2018-05-31,1005.08700,193.98400,17394.99000,18594.06000,1467.49100,3451.99400,4777.45800,9757.04400,28351.11000,1574.69600,9985.61500,3091.92800,13077.54000,14652.24000,33.31700,5264.67400,-0.33900,13698.87000,28351.11000
2018-02-28,756.74700,194.23500,17580.82000,18531.80000,990.72300,3433.47700,4988.02500,9412.22500,27944.02000,1129.84500,10382.54000,3257.55400,13640.09000,14769.94000,32.92900,4967.58000,0.37600,13174.08000,27944.02000
2017-11-30,2555.99200,137.66700,10860.89000,13554.55000,1345.84600,136.56600,3622.02600,5190.48500,18745.03000,1610.75400,6410.00300,2738.14500,9148.14800,10758.90000,24.31200,4840.97800,1.03400,7986.13200,18745.03000
2017-08-31,759.38400,86.64000,10921.58000,11820.39000,1408.60100,140.27000,3446.42000,5118.98600,16939.37000,1523.68300,5523.76500,2232.46500,7756.23000,9279.91300,23.84100,4778.96500,1.25100,7659.46000,16939.37000
2017-05-31,879.66700,497.92500,10433.17000,11876.09000,1352.15300,136.63300,3229.17500,4878.41300,16754.51000,1408.13300,5767.68900,2141.67700,7909.36600,9317.49900,23.71300,4539.20300,1.08600,7437.00600,16754.51000
2017-02-28,821.80900,290.32400,10468.68000,11687.29000,1257.36600,143.29800,2933.37100,4542.82800,16230.11000,1253.28900,5778.30600,1942.74300,7721.04900,8974.33800,23.70900,4334.93600,0.66300,7255.77500,16230.11000
2016-11-30,1214.87700,311.49400,9178.92600,10816.91000,1128.72400,,3172.44900,4544.87600,15361.78000,1210.88700,4575.97700,2363.35000,6939.32700,8150.21400,23.70700,4306.25600,-0.30900,7211.56700,15361.78000
2016-08-31,712.76200,78.98600,9655.74600,10593.31000,1099.10700,,3024.16300,4405.41300,14998.72000,1144.07400,4920.84800,2170.89200,7091.74000,8235.81400,23.03900,4001.90500,1.12300,6762.90600,14998.72000
2016-05-31,719.10600,45.00000,9649.70300,10577.61000,1084.69900,,2879.53500,4270.18800,14847.80000,1110.64100,5316.23500,2057.99100,7374.22600,8484.86700,22.17200,3775.09400,0.51500,6362.93400,14847.80000
2016-02-29,636.67100,61.22900,9368.31900,10232.75000,1054.74900,,2581.56300,3962.43300,14195.19000,1071.90900,5333.98100,1695.84900,7029.83000,8101.73900,21.72400,3565.26400,-0.39800,6093.44900,14195.19000
2015-11-30,1072.19300,229.48600,8740.59600,10207.10000,992.04500,,2883.59400,4212.40800,14419.51000,1299.06800,5025.13000,2145.23900,7170.36900,8469.43700,21.36400,3429.73600,0.03900,5950.07200,14419.51000
2015-08-31,734.33400,74.60400,8946.06300,9878.54600,871.14200,,3038.08400,4290.83000,14169.38000,1256.39200,5261.86200,1976.42400,7238.28600,8494.67800,21.25800,3156.56000,-0.18700,5674.69700,14169.38000
2015-05-31,848.56900,70.44300,8753.77600,9773.42400,901.57200,,2811.33000,4122.03600,13895.46000,1115.59000,5291.13600,2013.01400,7304.15000,8419.74000,20.72700,2941.59500,,5475.71900,13895.46000
2015-02-28,760.98100,69.54100,8406.50200,9353.74900,884.63700,,2454.17900,3766.89600,13120.64000,1077.40900,5133.11800,1601.12800,6734.24600,7811.65500,20.72300,2766.78900,,5308.99000,13120.64000
2014-11-30,1246.44200,247.21700,7736.60000,9367.38300,849.82700,,2259.61100,3555.76800,12923.15000,1074.66300,4661.26600,1935.92000,6597.18600,7671.84900,20.72200,2660.03400,0.13000,5251.30200,12923.15000
2014-08-31,796.67600,83.42000,7724.43400,8778.81600,873.75500,,2107.69500,3511.26100,12290.08000,1056.53700,4692.88000,1502.51900,6195.39900,7251.93600,20.72200,2422.92100,,5038.14100,12290.08000
2014-05-31,946.26800,208.92600,7395.11300,8753.49700,847.72800,,1821.50300,3241.12900,11994.63000,1028.05600,4683.43800,1391.82500,6075.26300,7103.31900,20.61200,2253.37400,,4891.30700,11994.63000
2014-02-28,869.11300,130.40200,7147.33600,8412.27000,854.50800,,1668.10100,3114.51800,11526.79000,1093.46800,4664.71500,1067.44800,5732.16300,6825.63100,21.78200,2123.84100,,4701.15700,11526.79000
2013-11-30,935.66300,163.76800,6601.04800,7978.87100,871.52200,,1796.01400,3294.37600,11273.25000,1153.24900,4194.43200,1298.09600,5492.52800,6645.77700,21.78100,2053.89300,,4627.47000,11273.25000
2013-08-31,601.84400,58.60900,6528.93100,7518.05100,880.51600,,1733.09500,3497.54200,11015.59000,1059.54900,4624.61400,1160.74400,5785.35800,6844.90700,20.78100,1897.57900,,4170.68600,11015.59000
2013-05-31,865.64100,60.17800,5830.62500,7127.13800,845.18900,,1839.13100,3367.01900,10494.16000,755.82100,4538.34400,1155.15300,5693.49700,6449.31800,20.64000,1784.66900,,4044.83900,10494.16000
2013-02-28,1189.65600,58.17500,5611.97600,7266.01400,683.95100,,1756.35300,3166.25500,10432.27000,781.84900,4505.66200,1075.11800,5580.78000,6362.62900,20.57100,1654.93000,,4069.64000,10432.27000
2012-11-30,1483.52100,53.74500,5046.39000,7020.19100,670.37400,,1936.45800,3342.01500,10362.21000,1086.15700,4005.05100,1269.79000,5274.84100,6360.99800,20.53800,1605.13100,,4001.20800,10362.21000
2012-08-31,957.25900,46.28100,5035.65000,6535.99200,672.33400,,1747.22900,3182.50800,9718.50000,1052.46000,3671.59500,1136.06800,4807.66300,5860.12300,20.42000,1488.42600,,3858.37700,9718.50000
2012-05-31,907.36500,44.84300,4799.29800,6329.88100,717.30900,,1556.50300,3021.32800,9351.20900,1070.11500,3469.61600,1031.57000,4501.18600,5571.30100,20.26600,1408.94000,,3779.90800,9351.20900
2012-02-29,985.57500,47.74500,4667.54200,6350.65300,713.09900,,1071.59300,2516.84100,8867.49400,1099.49600,3472.93700,971.80800,4444.74500,5544.24100,20.25400,963.80700,,3323.25300,8867.49400
2011-11-30,1336.12600,53.97700,4360.53500,6463.99200,670.47200,,1294.41900,2690.67900,9154.67100,1323.42100,3362.75900,1164.96600,4527.72500,5851.14600,20.20800,956.40100,,3303.52500,9154.67100
2011-08-31,1068.46400,55.62400,4265.01000,6182.10600,795.90100,,1078.67800,2541.91100,8724.01800,1317.69900,3127.64900,998.38300,4126.03200,5443.73100,20.03800,933.60400,,3280.28700,8724.01800
2011-05-31,1182.94600,66.98200,4301.56500,6490.27900,768.60900,,909.62490,2208.95000,8699.22900,1295.16800,3104.31700,1040.49600,4144.81300,5439.98100,20.03000,920.35300,,3259.24800,8699.22900
2011-02-28,1229.96800,61.25800,4296.77200,6613.82400,743.09400,,777.32100,1966.66000,8580.48400,1283.62200,3129.06500,934.81100,4063.87600,5347.49800,20.02800,914.04500,,3232.98600,8580.48400
2010-11-30,1393.16300,82.20200,4169.60800,6864.28700,710.71100,,954.74900,1923.56400,8787.85100,1322.95300,3128.15400,1142.36100,4270.51500,5593.46800,19.99800,894.10800,,3194.38300,8787.85100
2010-08-31,1122.13800,72.58600,4274.32700,6602.61600,743.69300,,874.68500,1677.28300,8279.89900,1232.05600,2843.22900,1136.19100,3979.42000,5211.47600,19.82800,869.47600,,3068.42300,8279.89900
2010-05-31,1319.28200,73.94700,4162.13400,6747.36500,674.82900,,826.68600,1501.51500,8248.88000,1206.66800,2890.21200,1123.06700,4013.27900,5219.94700,19.82800,846.83300,,3028.93300,8248.88000
2010-02-28,958.88800,340.46200,4101.01600,6617.66000,650.88100,,713.20600,1364.08700,7981.74700,1225.24200,2682.92800,1095.21300,3778.14100,5003.38300,19.82000,814.51500,,2978.36400,7981.74700
2009-11-30,1339.82800,456.48100,4087.98900,5884.29800,609.14000,,821.35300,1430.49300,7314.79100,687.95500,2761.35200,1277.47000,4038.82200,4726.77700,19.81100,828.42400,,2588.01400,7314.79100
2009-08-31,1348.05400,112.48400,4221.45800,5681.99600,650.87800,,755.46500,1406.34300,7088.33900,748.28400,2665.79600,1096.90800,3934.09500,4682.37900,19.65000,800.18000,,2405.96000,7088.33900
2009-05-31,1456.61500,78.21300,4341.98400,5876.81200,656.28000,,749.89500,1406.17500,7282.98700,742.77300,2664.85300,1234.85600,4058.20800,4800.98100,18.83400,978.78900,,2482.00600,7282.98700
2009-02-28,1107.54600,104.46300,4501.74200,5713.75100,776.81200,,679.54800,1456.36000,7170.11100,761.37500,2574.11500,1202.97400,3941.36100,4702.73600,17.34600,1110.81800,,2467.37500,7170.11100
