,cash-on-hand,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,11870.00000,109717.00000,1015.00000,6897.00000,255.00000,4002.00000,12169.00000,121886.00000,87423.00000,20177.00000,20177.00000,107600.00000,6.00000,27585.00000,-353.00000,14286.00000,121886.00000
2022-06-30,11471.00000,104015.00000,984.00000,5536.00000,255.00000,3810.00000,10585.00000,114600.00000,82651.00000,18185.00000,18185.00000,100836.00000,6.00000,26776.00000,-251.00000,13764.00000,114600.00000
2022-03-31,9643.00000,96467.00000,984.00000,5977.00000,255.00000,3729.00000,10945.00000,107412.00000,76847.00000,17132.00000,17132.00000,93979.00000,6.00000,25833.00000,-213.00000,13433.00000,107412.00000
2021-12-31,11332.00000,98194.00000,983.00000,6904.00000,255.00000,3906.00000,12048.00000,110242.00000,78357.00000,18477.00000,18477.00000,96834.00000,6.00000,24766.00000,-94.00000,13408.00000,110242.00000
2021-09-30,12748.00000,95429.00000,987.00000,8014.00000,256.00000,3858.00000,13115.00000,108544.00000,76765.00000,18516.00000,18516.00000,95281.00000,6.00000,23846.00000,-68.00000,13263.00000,108544.00000
2021-06-30,16368.00000,97016.00000,986.00000,8841.00000,256.00000,3886.00000,13969.00000,110985.00000,78464.00000,19350.00000,19350.00000,97814.00000,6.00000,22936.00000,-39.00000,13171.00000,110985.00000
2021-03-31,20674.00000,99674.00000,1021.00000,9432.00000,350.00000,3394.00000,14197.00000,113871.00000,80706.00000,21011.00000,21011.00000,101717.00000,6.00000,21373.00000,-7.00000,12154.00000,113871.00000
2020-12-31,13589.00000,95812.00000,1027.00000,12114.00000,350.00000,3586.00000,17077.00000,112889.00000,80764.00000,21241.00000,21241.00000,102005.00000,6.00000,19955.00000,45.00000,10884.00000,112889.00000
2020-09-30,10089.00000,90523.00000,1121.00000,28902.00000,350.00000,3453.00000,33826.00000,124349.00000,92256.00000,21841.00000,21841.00000,114097.00000,6.00000,19292.00000,93.00000,10252.00000,124349.00000
2020-06-30,15167.00000,95910.00000,1115.00000,13034.00000,351.00000,3382.00000,17882.00000,113792.00000,80955.00000,23194.00000,23194.00000,104149.00000,6.00000,18673.00000,122.00000,9643.00000,113792.00000
2020-03-31,11211.00000,97261.00000,1070.00000,10782.00000,410.00000,3134.00000,15396.00000,112657.00000,76894.00000,26098.00000,26098.00000,102992.00000,6.00000,19175.00000,134.00000,9665.00000,112657.00000
2019-12-31,6964.00000,99475.00000,1057.00000,10595.00000,410.00000,2459.00000,14521.00000,113996.00000,76436.00000,25701.00000,25701.00000,102137.00000,6.00000,21290.00000,-119.00000,11859.00000,113996.00000
2019-09-30,6112.00000,95306.00000,1028.00000,11649.00000,414.00000,2389.00000,15480.00000,110786.00000,74615.00000,24454.00000,24454.00000,99069.00000,6.00000,20720.00000,-74.00000,11717.00000,110786.00000
2019-06-30,11353.00000,98380.00000,1008.00000,8581.00000,415.00000,2323.00000,12327.00000,110707.00000,74051.00000,25163.00000,25163.00000,99214.00000,6.00000,20107.00000,-83.00000,11493.00000,110707.00000
2019-03-31,15213.00000,100822.00000,980.00000,6243.00000,415.00000,2260.00000,9898.00000,110720.00000,73185.00000,26276.00000,26276.00000,99461.00000,6.00000,19484.00000,-136.00000,11259.00000,110720.00000
2018-12-31,15145.00000,102616.00000,936.00000,3370.00000,416.00000,2215.00000,6937.00000,109553.00000,71195.00000,27228.00000,27228.00000,98423.00000,6.00000,18906.00000,-156.00000,11130.00000,109553.00000
2018-09-30,16609.00000,100576.00000,896.00000,1801.00000,417.00000,2152.00000,5266.00000,105842.00000,67828.00000,26998.00000,26998.00000,94826.00000,6.00000,18354.00000,-160.00000,11016.00000,105842.00000
2018-06-30,15919.00000,97880.00000,874.00000,1522.00000,417.00000,2058.00000,4871.00000,102751.00000,65610.00000,26252.00000,26252.00000,91862.00000,6.00000,17787.00000,-162.00000,10889.00000,102751.00000
2018-03-31,17098.00000,97106.00000,848.00000,1543.00000,417.00000,2053.00000,4861.00000,101967.00000,64852.00000,26244.00000,26244.00000,91096.00000,6.00000,17211.00000,-139.00000,10871.00000,101967.00000
2017-12-31,13387.00000,95014.00000,825.00000,1568.00000,418.00000,2262.00000,5073.00000,100087.00000,62869.00000,26326.00000,26326.00000,89195.00000,6.00000,16687.00000,-152.00000,10892.00000,100087.00000
2017-09-30,14528.00000,92440.00000,800.00000,1627.00000,418.00000,2323.00000,5168.00000,97608.00000,59684.00000,26737.00000,26737.00000,86421.00000,6.00000,16452.00000,-148.00000,11187.00000,97608.00000
2017-06-30,13043.00000,88656.00000,774.00000,1679.00000,419.00000,2229.00000,5101.00000,93757.00000,56060.00000,26438.00000,26438.00000,82498.00000,6.00000,15989.00000,-150.00000,11259.00000,93757.00000
2017-03-31,16263.00000,89852.00000,750.00000,1718.00000,420.00000,2055.00000,4943.00000,94795.00000,56707.00000,26823.00000,26823.00000,83530.00000,6.00000,15568.00000,-155.00000,11265.00000,94795.00000
2016-12-31,12009.00000,87096.00000,734.00000,1757.00000,421.00000,2300.00000,5212.00000,92308.00000,55542.00000,25443.00000,25443.00000,80985.00000,5.00000,15130.00000,-161.00000,11323.00000,92308.00000
2016-09-30,13023.00000,84550.00000,722.00000,2705.00000,421.00000,2143.00000,5991.00000,90541.00000,52364.00000,26830.00000,26830.00000,79194.00000,5.00000,14696.00000,-165.00000,11347.00000,90541.00000
2016-06-30,10715.00000,80690.00000,708.00000,3521.00000,422.00000,2170.00000,6821.00000,87511.00000,51433.00000,24681.00000,24681.00000,76114.00000,5.00000,14188.00000,-174.00000,11397.00000,87511.00000
2016-03-31,13145.00000,81544.00000,706.00000,2956.00000,422.00000,2465.00000,6549.00000,88093.00000,52025.00000,24752.00000,24752.00000,76777.00000,5.00000,13698.00000,-172.00000,11316.00000,88093.00000
2015-12-31,9671.00000,80187.00000,693.00000,3084.00000,423.00000,2412.00000,6612.00000,86799.00000,50874.00000,24650.00000,24650.00000,75524.00000,5.00000,13250.00000,-160.00000,11275.00000,86799.00000
2015-09-30,10348.00000,78683.00000,684.00000,3302.00000,424.00000,2518.00000,6928.00000,85611.00000,50508.00000,23800.00000,23800.00000,74308.00000,5.00000,12880.00000,-180.00000,11303.00000,85611.00000
