,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,5660.00000,4354.00000,1463.00000,2077.00000,,13554.00000,5349.00000,1282.00000,37754.00000,4618.00000,49003.00000,62557.00000,10423.00000,24059.00000,3982.00000,31077.00000,41500.00000,1.00000,15756.00000,98.00000,21057.00000,62557.00000
2022-06-30,5663.00000,4118.00000,1494.00000,1900.00000,,13175.00000,5299.00000,1337.00000,38199.00000,4860.00000,49695.00000,62870.00000,9220.00000,26183.00000,3888.00000,33435.00000,42655.00000,1.00000,15117.00000,87.00000,20215.00000,62870.00000
2022-03-31,5325.00000,3787.00000,1482.00000,2035.00000,,12629.00000,5253.00000,1427.00000,38645.00000,5126.00000,50451.00000,63080.00000,8558.00000,26127.00000,4793.00000,34607.00000,43165.00000,1.00000,14986.00000,73.00000,19915.00000,63080.00000
2021-12-31,6520.00000,4493.00000,1618.00000,2141.00000,,14772.00000,5121.00000,1309.00000,41787.00000,4963.00000,53180.00000,67952.00000,11610.00000,26155.00000,4767.00000,35278.00000,46888.00000,1.00000,16324.00000,83.00000,21064.00000,67952.00000
2021-09-30,5738.00000,4566.00000,1676.00000,2011.00000,,13991.00000,5037.00000,1099.00000,42232.00000,4739.00000,53107.00000,67098.00000,10245.00000,26137.00000,4642.00000,35382.00000,45627.00000,1.00000,16903.00000,74.00000,21471.00000,67098.00000
2021-06-30,6525.00000,4149.00000,1772.00000,1479.00000,,13925.00000,4996.00000,836.00000,42675.00000,5552.00000,54059.00000,67984.00000,10214.00000,27914.00000,5772.00000,38060.00000,48274.00000,1.00000,15392.00000,39.00000,19710.00000,67984.00000
2021-03-31,5666.00000,3925.00000,1779.00000,1908.00000,,13278.00000,4990.00000,579.00000,43115.00000,5530.00000,54214.00000,67492.00000,9705.00000,29337.00000,5022.00000,38823.00000,48528.00000,1.00000,14821.00000,38.00000,18964.00000,67492.00000
2020-12-31,7408.00000,4892.00000,1683.00000,2013.00000,,15996.00000,4967.00000,502.00000,41234.00000,5708.00000,52411.00000,68407.00000,11397.00000,29859.00000,5016.00000,38789.00000,50186.00000,1.00000,14381.00000,-60.00000,18221.00000,68407.00000
2020-09-30,23975.00000,3913.00000,1008.00000,2030.00000,,30926.00000,4810.00000,2074.00000,17056.00000,6012.00000,29952.00000,60878.00000,9509.00000,28878.00000,5020.00000,33898.00000,43407.00000,1.00000,13709.00000,23.00000,17471.00000,60878.00000
2020-06-30,18914.00000,3194.00000,1052.00000,1483.00000,,24643.00000,4653.00000,2276.00000,17342.00000,7020.00000,31291.00000,55934.00000,10564.00000,22121.00000,5107.00000,27228.00000,37792.00000,1.00000,14445.00000,70.00000,18142.00000,55934.00000
2020-03-31,20785.00000,3907.00000,986.00000,1272.00000,,26950.00000,4564.00000,3529.00000,17619.00000,7079.00000,32791.00000,59741.00000,8879.00000,22098.00000,6585.00000,28683.00000,37562.00000,1.00000,18709.00000,46.00000,22179.00000,59741.00000
2019-12-31,24352.00000,3582.00000,922.00000,1440.00000,,30296.00000,4502.00000,1488.00000,17903.00000,7438.00000,31331.00000,61627.00000,9759.00000,23103.00000,6115.00000,29218.00000,38977.00000,1.00000,19388.00000,85.00000,22650.00000,61627.00000
2019-09-30,22856.00000,3315.00000,882.00000,1308.00000,,28361.00000,4377.00000,2195.00000,18981.00000,5232.00000,30785.00000,59146.00000,9567.00000,22991.00000,5852.00000,28843.00000,38410.00000,1.00000,17616.00000,117.00000,20736.00000,59146.00000
2019-06-30,27183.00000,3396.00000,884.00000,2264.00000,,33727.00000,4249.00000,3051.00000,19269.00000,2914.00000,29483.00000,63210.00000,8961.00000,25661.00000,5837.00000,31498.00000,40459.00000,1.00000,19829.00000,102.00000,22751.00000,63210.00000
2019-03-31,27904.00000,3283.00000,898.00000,1939.00000,,34024.00000,4116.00000,2221.00000,19555.00000,2921.00000,28813.00000,62837.00000,9397.00000,24080.00000,7269.00000,31349.00000,40746.00000,1.00000,19326.00000,130.00000,22091.00000,62837.00000
2018-12-31,30089.00000,3327.00000,814.00000,1606.00000,,35836.00000,4006.00000,1423.00000,19855.00000,2555.00000,27839.00000,63675.00000,10605.00000,25614.00000,5922.00000,31536.00000,42141.00000,1.00000,19024.00000,80.00000,21534.00000,63675.00000
2018-09-30,28466.00000,3465.00000,816.00000,2171.00000,,34918.00000,3791.00000,2378.00000,20431.00000,2787.00000,29387.00000,64305.00000,10116.00000,25164.00000,6018.00000,31182.00000,41298.00000,1.00000,20706.00000,36.00000,23007.00000,64305.00000
