,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,690.00000,3035.00000,3725.00000,558.00000,452.00000,8739.00000,17707.00000,28280.00000,32704.00000,3059.00000,9825.00000,19457.00000,29381.00000,33133.00000,2.00000,-2772.00000,-4623.00000,-429.00000,32704.00000
2022-09-30,692.00000,2971.00000,3663.00000,510.00000,251.00000,8435.00000,16877.00000,26892.00000,31223.00000,2509.00000,10116.00000,18269.00000,28717.00000,31893.00000,2.00000,-2638.00000,-4919.00000,-670.00000,31223.00000
2022-06-30,740.00000,3648.00000,4388.00000,505.00000,243.00000,8786.00000,19323.00000,29628.00000,34720.00000,2467.00000,9666.00000,20744.00000,30774.00000,33932.00000,2.00000,-1727.00000,-4260.00000,788.00000,34720.00000
2022-03-31,595.00000,3625.00000,4220.00000,515.00000,455.00000,9026.00000,17751.00000,28517.00000,33491.00000,2327.00000,9685.00000,19053.00000,29137.00000,32200.00000,2.00000,-1609.00000,-3843.00000,1291.00000,33491.00000
2021-12-31,544.00000,3094.00000,3638.00000,529.00000,292.00000,8926.00000,16980.00000,27493.00000,31917.00000,3356.00000,8228.00000,18002.00000,26631.00000,30759.00000,2.00000,-1694.00000,-3871.00000,1158.00000,31917.00000
2021-09-30,609.00000,3117.00000,3726.00000,541.00000,310.00000,9076.00000,16579.00000,27267.00000,31816.00000,2145.00000,8250.00000,17891.00000,26555.00000,29517.00000,2.00000,-445.00000,-3877.00000,2299.00000,31816.00000
2021-06-30,1091.00000,3545.00000,4636.00000,585.00000,289.00000,9223.00000,18246.00000,29081.00000,34580.00000,1705.00000,7272.00000,19778.00000,27467.00000,30013.00000,2.00000,1823.00000,-3744.00000,4567.00000,34580.00000
2021-03-31,822.00000,3526.00000,4348.00000,584.00000,171.00000,9181.00000,16303.00000,26960.00000,32175.00000,1628.00000,7263.00000,17781.00000,25337.00000,27814.00000,2.00000,1801.00000,-3891.00000,4361.00000,32175.00000
2020-12-31,884.00000,3070.00000,3954.00000,599.00000,308.00000,9306.00000,16312.00000,27249.00000,32114.00000,2464.00000,7281.00000,17627.00000,25170.00000,28531.00000,2.00000,1042.00000,-3861.00000,3583.00000,32114.00000
2020-09-30,821.00000,2906.00000,3727.00000,609.00000,448.00000,9127.00000,15879.00000,26718.00000,31359.00000,2080.00000,7251.00000,17275.00000,24749.00000,27739.00000,2.00000,1423.00000,-4099.00000,3620.00000,31359.00000
