,cash-on-hand,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2018-03-31,2619.38400,27919.56000,127.05400,25454.18000,,25581.23000,53500.79000,47038.67000,695.73100,1206.66000,1902.39100,48941.06000,0.05300,3160.08100,-71.68600,4559.72400,53500.79000
2017-12-31,2923.07500,26650.61000,128.68200,24435.17000,,24563.85000,51214.47000,45287.80000,695.49200,911.75500,1607.24700,46895.05000,0.05300,2866.83700,-1.47200,4319.41500,51214.47000
2017-09-30,3555.57100,26345.65000,122.82600,24285.81000,,24408.64000,50754.29000,44816.87000,749.61800,990.49800,1740.11600,46556.99000,0.05300,2749.62700,15.63400,4197.29800,50754.29000
2017-06-30,3854.24400,25638.34000,121.94700,22640.09000,,22762.04000,48400.38000,42465.76000,749.42900,1145.15400,1894.58300,44360.34000,0.05300,2601.00700,14.89000,4040.03500,48400.38000
2017-03-31,3795.67900,24655.78000,122.30400,21635.25000,,21757.56000,46413.34000,41084.86000,795.46500,629.55500,1425.02000,42509.88000,0.05200,2477.81400,17.95800,3903.45600,46413.34000
2016-12-31,2545.75000,22893.02000,120.68300,21669.96000,,21790.64000,44683.66000,39492.54000,795.70400,618.38300,1414.08700,40906.62000,0.05200,2376.33100,23.43000,3777.03700,44683.66000
2016-09-30,2521.31900,22076.20000,115.01400,21082.82000,,21197.84000,43274.04000,38191.84000,795.97100,562.91200,1358.88300,39550.72000,0.05200,2276.86500,96.57900,3723.31700,43274.04000
2016-06-30,1854.45700,21099.05000,110.48500,21923.11000,,22033.60000,43132.65000,38099.79000,796.32900,602.74600,1399.07500,39498.86000,0.05200,2165.78400,129.92100,3633.79300,43132.65000
2016-03-31,1868.51200,19921.52000,108.57000,23543.81000,,23652.38000,43573.90000,38759.72000,796.57000,506.57100,1303.14100,40062.86000,0.05200,2072.82000,115.39000,3511.04000,43573.90000
2015-12-31,1503.25700,18737.42000,102.62500,25846.66000,,25949.28000,44686.70000,39917.68000,796.70200,639.09400,1435.79600,41353.47000,0.05200,1993.64600,15.40400,3333.23100,44686.70000
2015-09-30,1674.14500,17371.59000,94.65200,24264.74000,,24359.39000,41730.98000,37053.18000,797.21100,566.37000,1363.58100,38416.75000,0.05100,1906.13500,97.06400,3314.22800,41730.98000
2015-06-30,2625.55000,17270.68000,88.28400,22877.16000,,22965.44000,40236.12000,35629.50000,802.45400,614.69000,1417.14400,37046.64000,0.05100,1824.62600,63.91700,3189.47200,40236.12000
2015-03-31,1308.00300,16342.67000,82.72400,23270.59000,,23353.32000,39695.99000,33929.34000,802.91700,686.50100,1489.41800,35418.76000,0.05100,1738.48300,92.66800,4277.23100,39695.99000
2014-12-31,1796.06200,16568.19000,79.84500,22689.84000,,22769.68000,39337.87000,34351.28000,451.36200,483.49300,934.85500,35286.14000,0.05100,1649.96700,42.70400,4051.73400,39337.87000
2014-09-30,1872.53700,14267.62000,74.37500,21699.01000,,21773.39000,36041.01000,31129.77000,453.76400,517.46200,971.22600,32100.99000,0.05100,1595.82500,18.74400,3940.01600,36041.01000
2014-06-30,2649.83100,14343.61000,71.46500,18893.95000,,18965.41000,33309.02000,28357.46000,454.46200,559.07300,1013.53500,29370.99000,0.05100,1532.83000,50.27600,3938.02400,33309.02000
2014-03-31,3862.46400,15031.36000,66.12300,14613.55000,,14679.68000,29711.04000,25481.71000,454.77000,407.57300,862.34300,26344.06000,0.04600,1482.03300,-30.39000,3366.98100,29711.04000
2013-12-31,1538.77900,12767.39000,67.48500,13582.32000,,13649.80000,26417.19000,22478.06000,455.21600,404.58600,859.80200,23337.86000,0.04600,1390.73200,-48.76400,3079.32800,26417.19000
2013-09-30,1942.74400,12040.42000,65.38500,11635.05000,,11700.44000,23740.86000,20002.57000,455.74400,358.90500,814.64900,20817.22000,0.04600,1331.97500,5.44300,2923.64400,23740.86000
2013-06-30,873.25100,10789.49000,65.64400,11298.77000,,11364.41000,22153.90000,18695.47000,455.93800,330.39400,786.33200,19481.81000,0.04500,1264.35400,-9.77100,2672.09500,22153.90000
2013-03-31,1519.24900,10606.34000,65.71300,12123.95000,,12189.66000,22796.00000,19317.37000,457.19400,359.38000,816.57400,20133.94000,0.04500,1215.77000,95.61500,2662.05800,22796.00000
2012-12-31,1008.98300,10172.14000,66.54500,12527.44000,,12593.99000,22766.12000,19342.56000,457.76200,360.56600,818.32800,20160.89000,0.04500,1174.87800,108.55300,2605.23300,22766.12000
2012-09-30,906.68000,9297.11900,68.27000,12211.54000,,12279.81000,21576.93000,18233.24000,458.31400,330.03800,788.35200,19021.59000,0.04500,1124.41500,122.01000,2555.34600,21576.93000
2012-06-30,1411.72500,9471.73500,64.77300,11753.26000,,11818.04000,21289.77000,18074.69000,458.23200,312.52300,770.75500,18845.45000,0.04400,1082.12600,104.07700,2444.32500,21289.77000
2012-03-31,850.62400,8209.53500,59.32000,12549.48000,,12608.80000,20818.34000,17566.26000,601.83500,307.53700,909.37200,18475.63000,0.04400,1034.52300,89.30900,2342.70300,20818.34000
2011-12-31,1114.94800,8371.93700,56.47100,11540.49000,,11596.96000,19968.89000,16709.54000,603.64800,405.32100,1008.96900,17718.51000,0.04400,999.73300,85.39900,2250.38900,19968.89000
2011-09-30,2041.97200,8550.55600,53.45800,10591.35000,,10644.81000,19195.36000,16139.22000,609.55700,254.25600,863.81300,17003.04000,0.04300,964.15900,99.45300,2192.32800,19195.36000
2011-06-30,2565.21900,8861.18500,49.45200,10456.10000,,10505.55000,19366.73000,16278.47000,609.59600,462.61400,1072.21000,17350.68000,0.04300,926.58800,47.37700,2016.05100,19366.73000
2011-03-31,2350.06000,8273.21300,46.16100,10298.89000,,10345.05000,18618.27000,15365.73000,1204.73300,200.76800,1405.50100,16771.23000,0.04300,860.83800,9.24000,1847.03100,18618.27000
2010-12-31,3076.43200,8843.72900,44.54500,8639.48700,,8684.03200,17527.76000,14374.19000,1209.26000,196.03700,1405.29700,15779.48000,0.04200,827.83100,24.14300,1748.27800,17527.76000
2010-09-30,3778.36900,8958.88700,41.91700,6659.26500,,6701.18200,15660.07000,12474.68000,1225.81000,263.28300,1489.09300,13963.77000,0.04200,810.37900,47.60000,1696.29600,15660.07000
2010-06-30,4190.34300,8911.29100,38.12300,5954.57200,,5992.69500,14903.99000,12185.15000,869.81000,222.07300,1091.88300,13277.03000,0.04200,772.59200,59.94800,1626.95500,14903.99000
2010-03-31,4691.70300,9151.19900,34.96600,4939.08400,,4974.05000,14125.25000,11553.19000,859.71300,163.18700,1022.90000,12576.09000,0.04200,751.47200,23.45600,1549.16000,14125.25000
2009-12-31,3512.85300,8317.94300,31.73600,4491.71900,,4523.45500,12841.40000,10370.69000,856.65000,139.94700,996.59700,11367.29000,0.04100,732.90700,5.90500,1474.11000,12841.40000
2009-09-30,4110.82800,9016.60000,30.72200,3491.28100,,3522.00300,12538.60000,10107.92000,866.74800,171.16600,1037.91400,11145.83000,0.03300,726.45500,25.51300,1392.77200,12538.60000
2009-06-30,3709.37000,8797.31100,30.19600,2638.38000,,2668.57600,11465.89000,9025.92300,909.64100,205.11300,1114.75400,10140.68000,0.03300,705.84700,4.47000,1325.21000,11465.89000
2009-03-31,3649.00300,8897.27000,29.34100,2032.15700,,2061.49800,10958.77000,8538.77400,964.17500,163.42200,1127.59700,9666.37100,0.03300,701.70800,-3.16200,1292.39700,10958.77000
