,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,7771.35400,7038.57500,7585.60400,1905.64600,24301.18000,4155.60900,973.10500,5687.33300,779.45330,13944.92000,38246.10000,18947.52000,3702.56100,6031.64900,10015.52000,28963.04000,38.24570,9531.60400,451.25690,,9283.05900,38246.10000
2022-09-30,3387.01200,7291.72500,6933.56500,2256.12800,19868.43000,3587.34400,1005.89100,5464.76500,750.56540,13171.26000,33039.68000,15781.41000,3528.32200,5432.53500,9245.89500,25027.31000,,,,,8012.37700,33039.68000
2022-06-30,4690.66500,7043.40300,6784.78200,2617.64600,21136.50000,3577.96500,1024.46800,5809.33200,934.85090,12869.57000,34006.07000,15597.19000,4672.97600,5316.59800,10258.53000,25855.72000,,,,,8150.34800,34006.07000
2022-03-31,5299.70200,5344.14100,6815.68200,2974.39100,20433.92000,3545.47900,1054.86800,6148.53400,1048.35900,13492.21000,33926.13000,15276.28000,4434.59800,4033.97200,8762.81100,24039.10000,,,,,9887.03100,33926.13000
2021-12-31,8980.08400,4985.11000,6127.51200,1428.12000,21520.83000,3528.83200,1055.91700,6516.16000,1196.58700,14245.47000,35766.30000,14549.76000,4821.13200,4113.40200,9219.18800,23768.95000,43.18320,9840.19700,394.56380,,11997.34000,35766.30000
2021-09-30,5254.16100,5388.00100,5830.20100,1835.42500,18487.85000,3219.57000,1135.80500,6508.47700,1321.76500,13701.95000,32189.80000,10804.54000,4841.56000,2646.83200,7821.63400,18626.17000,,,,,13563.63000,32189.80000
2021-06-30,6474.28900,5324.93500,6128.48300,2060.37900,20169.06000,3144.06600,1042.11800,6679.00100,1224.66000,13345.83000,33514.89000,10547.82000,5566.51800,2530.89200,8395.86300,18943.68000,,,,,14571.22000,33514.89000
2021-03-31,5612.55000,5374.32400,5724.31000,2209.62400,19120.33000,3040.04100,1015.71800,6714.83000,1583.43500,13694.53000,32814.86000,8290.06700,5586.99200,2211.19100,8093.79600,16383.86000,,,,,16431.00000,32814.86000
2020-12-31,8397.73200,3450.66000,5219.62500,1128.82100,18196.84000,2821.82400,937.48560,6485.97900,1086.89800,12950.71000,31147.55000,7543.17800,5326.31600,2167.40000,7765.92600,15309.10000,42.95050,12258.59000,204.92860,,15838.45000,31147.55000
2020-09-30,5152.71800,5043.30000,5393.41600,1420.45200,17009.88000,2569.81300,1073.14200,6518.92900,1123.99400,12756.83000,29766.71000,5834.36200,5408.61200,2214.32000,7867.37000,13701.73000,,,,,16064.98000,29766.71000
2020-06-30,4889.21400,3128.77600,5159.31400,1679.39800,14856.70000,2322.88100,981.74080,6165.49900,1023.69300,11906.75000,26763.45000,5099.52400,5092.58700,2376.94500,7680.17300,12779.70000,,,,,13983.75000,26763.45000
2020-03-31,4536.13800,2775.76100,4793.73500,1905.11600,14010.75000,2258.14000,954.37830,6203.95600,995.41740,11669.10000,25679.85000,5160.10800,4267.39800,2144.73100,6701.94000,11862.05000,,,,,13817.80000,25679.85000
2019-12-31,5284.27200,2633.45600,4266.30400,1402.80000,13586.83000,2239.21600,932.96000,6322.96000,930.04800,11758.32000,25345.15000,5257.39200,3481.29600,2240.67200,5984.49600,11241.89000,42.78400,10666.66000,311.13600,,14103.26000,25345.15000
