,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,6133.00000,10985.00000,3276.00000,1528.00000,,21922.00000,35163.00000,14950.00000,2317.00000,2090.00000,54520.00000,76442.00000,15889.00000,16661.00000,2178.00000,26447.00000,42336.00000,7.00000,25432.00000,-460.00000,,34106.00000,76442.00000
2022-09-30,3744.00000,13652.00000,4294.00000,1580.00000,,23270.00000,34962.00000,14772.00000,2331.00000,2004.00000,54069.00000,77339.00000,17882.00000,16625.00000,2163.00000,26148.00000,44030.00000,7.00000,24008.00000,-994.00000,,33309.00000,77339.00000
2022-06-30,2809.00000,13393.00000,4580.00000,1710.00000,,22492.00000,22229.00000,14176.00000,2298.00000,1617.00000,40320.00000,62812.00000,17608.00000,12443.00000,1773.00000,20631.00000,38239.00000,7.00000,19087.00000,-733.00000,,24573.00000,62812.00000
2022-03-31,3335.00000,10455.00000,4530.00000,1534.00000,,19854.00000,22333.00000,14465.00000,2303.00000,1683.00000,40784.00000,60638.00000,17603.00000,12960.00000,1641.00000,20914.00000,38517.00000,7.00000,16391.00000,-514.00000,,22121.00000,60638.00000
2021-12-31,3147.00000,7470.00000,3394.00000,686.00000,,14697.00000,22435.00000,14471.00000,2297.00000,1694.00000,40897.00000,55594.00000,12801.00000,12959.00000,1667.00000,21156.00000,33957.00000,7.00000,16216.00000,-445.00000,,21637.00000,55594.00000
2021-09-30,2897.00000,8006.00000,4400.00000,716.00000,,16019.00000,22377.00000,14059.00000,2247.00000,1705.00000,40388.00000,56407.00000,13921.00000,13421.00000,1911.00000,21889.00000,35810.00000,6.00000,15350.00000,-589.00000,,20597.00000,56407.00000
2021-06-30,2207.00000,8062.00000,4752.00000,759.00000,,15780.00000,23688.00000,13520.00000,2250.00000,1739.00000,41197.00000,56977.00000,14551.00000,12924.00000,1873.00000,21824.00000,36375.00000,6.00000,15345.00000,-549.00000,,20602.00000,56977.00000
2021-03-31,1351.00000,8165.00000,4273.00000,629.00000,,14418.00000,23677.00000,13376.00000,2261.00000,1764.00000,41078.00000,55496.00000,11431.00000,14906.00000,1804.00000,23608.00000,35039.00000,6.00000,15449.00000,-780.00000,,20457.00000,55496.00000
2020-12-31,2514.00000,6522.00000,3893.00000,347.00000,,13276.00000,23716.00000,13624.00000,2268.00000,1837.00000,41445.00000,54721.00000,9518.00000,14906.00000,1789.00000,23680.00000,33198.00000,6.00000,16500.00000,-789.00000,,21523.00000,54721.00000
2020-09-30,1462.00000,5963.00000,4897.00000,500.00000,,12822.00000,23489.00000,13767.00000,2274.00000,1929.00000,41459.00000,54281.00000,10513.00000,12666.00000,1896.00000,21463.00000,31976.00000,6.00000,17436.00000,-967.00000,,22305.00000,54281.00000
2020-06-30,1890.00000,4852.00000,5136.00000,621.00000,,12499.00000,24282.00000,13628.00000,2299.00000,1810.00000,42019.00000,54518.00000,10023.00000,12663.00000,1706.00000,21200.00000,31223.00000,6.00000,18631.00000,-1148.00000,,23295.00000,54518.00000
2020-03-31,1221.00000,4559.00000,5331.00000,594.00000,,11705.00000,24051.00000,13635.00000,2305.00000,1764.00000,41755.00000,53460.00000,10529.00000,10720.00000,2085.00000,19292.00000,29821.00000,6.00000,19168.00000,-991.00000,,23639.00000,53460.00000
2019-12-31,1614.00000,8510.00000,3776.00000,495.00000,,14395.00000,23786.00000,14571.00000,4139.00000,1829.00000,44325.00000,58720.00000,11646.00000,11216.00000,2092.00000,19905.00000,31551.00000,6.00000,22064.00000,-788.00000,,27169.00000,58720.00000
2019-09-30,2268.00000,7086.00000,5521.00000,742.00000,,15617.00000,22954.00000,14147.00000,4142.00000,1881.00000,43124.00000,58741.00000,12083.00000,11083.00000,2075.00000,19566.00000,31649.00000,6.00000,21730.00000,-871.00000,,27092.00000,58741.00000
2019-06-30,1819.00000,6727.00000,5093.00000,656.00000,,14295.00000,22503.00000,15006.00000,4141.00000,1836.00000,43486.00000,57781.00000,11171.00000,10772.00000,2093.00000,19304.00000,30475.00000,6.00000,21423.00000,-767.00000,,27306.00000,57781.00000
2019-03-31,1253.00000,7303.00000,5344.00000,915.00000,,14815.00000,22263.00000,14786.00000,4134.00000,1857.00000,43040.00000,57855.00000,11328.00000,11268.00000,2183.00000,19782.00000,31110.00000,6.00000,20408.00000,-709.00000,,26745.00000,57855.00000
2018-12-31,3019.00000,6173.00000,3543.00000,474.00000,,13209.00000,22018.00000,14421.00000,4139.00000,515.00000,41093.00000,54302.00000,8935.00000,11093.00000,979.00000,18214.00000,27149.00000,6.00000,20489.00000,-692.00000,,27153.00000,54302.00000
2018-09-30,924.00000,7971.00000,5544.00000,875.00000,,15314.00000,21625.00000,14311.00000,4144.00000,490.00000,40570.00000,55884.00000,11974.00000,11021.00000,990.00000,18115.00000,30089.00000,6.00000,18618.00000,-639.00000,,25795.00000,55884.00000
