,cash-on-hand,receivables-total,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1884.32600,399.55100,27.30300,2344.23400,125.34600,364.64200,27.66300,660.61800,3004.85200,759.74800,738.84700,6.22600,834.59910,1594.34700,0.00300,-202.26600,-12.42200,1410.50500,3004.85200
2022-09-30,1766.26300,348.83000,31.60300,2176.56900,110.88900,348.26500,22.79600,621.03400,2797.60300,674.40800,738.00300,9.36400,833.75600,1508.16400,0.00300,-173.23200,-25.32400,1289.43900,2797.60300
2022-06-30,1703.54000,305.50100,33.20200,2069.58800,97.79100,352.64700,23.60500,584.89900,2654.48700,625.87600,737.16000,10.03400,813.49100,1439.36700,0.00300,-147.24700,-18.50900,1215.12000,2654.48700
2022-03-31,1671.00900,275.34200,32.63200,2003.67100,90.71300,306.12000,23.83700,525.34400,2529.01500,601.97200,736.31800,9.25300,810.18600,1412.15800,0.00300,-142.36800,-12.55500,1116.85700,2529.01500
2021-12-31,1554.44600,268.82400,24.44300,1870.94800,75.15200,307.88000,23.39700,509.84600,2380.79400,528.69600,735.48200,9.41100,810.89500,1339.59100,0.00300,-152.10600,-3.83000,1041.20300,2380.79400
2021-09-30,1467.12600,224.60200,24.67500,1736.33600,68.82000,268.53800,22.99900,457.83700,2194.17300,440.20200,734.64300,5.46100,796.55900,1236.76100,0.00300,-159.27500,-0.18800,957.41200,2194.17300
2021-06-30,1410.15900,188.32600,26.28900,1642.38600,60.51100,270.42500,22.55400,434.34700,2076.73300,381.05700,733.80500,5.26700,782.79700,1163.85400,0.00300,-153.79100,0.83200,912.87900,2076.73300
2021-03-31,1547.89600,154.11100,29.40400,1746.85700,52.80500,51.89300,19.52800,205.21700,1952.07400,320.81400,732.96800,4.71400,789.93000,1110.74400,0.00300,-144.42900,0.75200,841.33000,1952.07400
2020-12-31,1517.45900,163.35900,23.62400,1718.08000,47.19700,19.67800,20.75100,172.20500,1890.28500,297.84400,575.86400,4.26200,635.00900,932.85300,0.00300,-148.16300,2.28700,957.43200,1890.28500
2020-09-30,1494.78400,120.99200,25.65500,1652.97500,42.05900,19.53800,21.68000,161.30900,1814.28400,254.65000,567.68300,3.64400,623.44590,878.09600,0.00300,-132.00300,2.64500,936.18800,1814.28400
2020-06-30,1465.79900,124.07800,25.26800,1626.07200,37.16400,19.44600,21.39800,157.63400,1783.70600,241.40800,559.62100,3.30500,629.42690,870.83500,0.00300,-116.85300,2.06500,912.87100,1783.70600
2020-03-31,794.73400,108.43700,20.58000,933.06500,34.08400,10.06700,19.27900,133.59100,1066.65600,210.63800,,3.14100,53.12300,263.76100,0.00300,-117.13700,-1.06200,802.89500,1066.65600
2019-12-31,773.97100,102.39400,19.23100,903.94200,32.74900,10.49300,20.44600,134.09900,1038.04100,200.23900,,2.61100,55.46100,255.70000,0.00300,-123.61600,0.13300,782.34100,1038.04100
2019-09-30,760.94500,87.20800,18.17200,872.47600,31.26600,8.38500,26.86700,134.27700,1006.75300,176.66100,,2.34600,58.85700,235.51800,0.00300,-124.50700,-0.05400,771.23500,1006.75300
2019-06-30,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000
2019-03-31,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000
2018-12-31,,,,,,,,,0.00000,,,,,,,,,,
2018-09-30,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000
2017-12-31,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000
