,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2019-12-31,668.00000,1734.00000,72.00000,338.00000,2812.00000,287.00000,5442.00000,426.00000,6555.00000,9367.00000,2333.00000,2925.00000,182.00000,3617.00000,5950.00000,896.00000,-70.00000,3417.00000,9367.00000
2019-09-30,635.00000,1775.00000,,514.00000,2924.00000,228.00000,5460.00000,404.00000,6486.00000,9410.00000,2527.00000,2939.00000,203.00000,3633.00000,6160.00000,764.00000,-108.00000,3250.00000,9410.00000
2019-06-30,660.00000,1842.00000,,412.00000,2914.00000,216.00000,5432.00000,382.00000,6413.00000,9327.00000,2246.00000,2954.00000,295.00000,3719.00000,5965.00000,652.00000,-73.00000,3362.00000,9327.00000
2019-03-31,536.00000,1894.00000,,430.00000,2860.00000,220.00000,5484.00000,390.00000,6500.00000,9360.00000,2322.00000,2966.00000,276.00000,3741.00000,6063.00000,562.00000,-35.00000,3297.00000,9360.00000
2018-12-31,327.00000,1877.00000,,635.00000,2839.00000,237.00000,5512.00000,182.00000,5931.00000,8770.00000,2059.00000,3052.00000,178.00000,3400.00000,5459.00000,372.00000,-30.00000,3311.00000,8770.00000
2018-09-30,515.00000,1812.00000,456.00000,98.00000,2881.00000,230.00000,5583.00000,214.00000,6027.00000,8908.00000,2093.00000,2985.00000,141.00000,3358.00000,5451.00000,231.00000,13.00000,3457.00000,8908.00000
2018-06-30,303.00000,1779.00000,458.00000,99.00000,2639.00000,221.00000,5636.00000,274.00000,6131.00000,8770.00000,2015.00000,2990.00000,136.00000,3337.00000,5352.00000,133.00000,23.00000,3418.00000,8770.00000
2018-03-31,215.00000,1914.00000,506.00000,,2635.00000,227.00000,5782.00000,269.00000,6278.00000,8913.00000,2103.00000,3007.00000,148.00000,3376.00000,5479.00000,37.00000,56.00000,3434.00000,8913.00000
2017-12-31,390.00000,1831.00000,,453.00000,2674.00000,232.00000,5830.00000,254.00000,6316.00000,8990.00000,2202.00000,3056.00000,129.00000,3405.00000,5607.00000,-7.00000,33.00000,3383.00000,8990.00000
2017-09-30,287.00000,1797.00000,487.00000,,2571.00000,212.00000,5901.00000,239.00000,6352.00000,8923.00000,2021.00000,3043.00000,215.00000,3595.00000,5616.00000,-72.00000,31.00000,3307.00000,8923.00000
2017-06-30,262.00000,1832.00000,340.00000,,2434.00000,215.00000,5928.00000,292.00000,6448.00000,8882.00000,1910.00000,3147.00000,222.00000,3731.00000,5641.00000,-105.00000,8.00000,3241.00000,8882.00000
2017-03-31,206.00000,1841.00000,348.00000,,2395.00000,238.00000,6139.00000,353.00000,6745.00000,9140.00000,1983.00000,3188.00000,217.00000,3969.00000,5952.00000,-154.00000,8.00000,3188.00000,9140.00000
2016-12-31,376.00000,1657.00000,348.00000,,2381.00000,259.00000,6211.00000,265.00000,6751.00000,9132.00000,2016.00000,3225.00000,204.00000,3969.00000,5985.00000,-177.00000,-4.00000,3147.00000,9132.00000
2016-09-30,449.00000,1677.00000,430.00000,,2556.00000,231.00000,6517.00000,260.00000,7023.00000,9579.00000,1980.00000,3428.00000,174.00000,4469.00000,6449.00000,-188.00000,-6.00000,3130.00000,9579.00000
2016-06-30,670.00000,924.00000,223.00000,,1817.00000,131.00000,1228.00000,218.00000,1584.00000,3401.00000,990.00000,1092.00000,195.00000,1287.00000,2277.00000,-230.00000,-4.00000,1124.00000,3401.00000
2016-03-31,609.00000,874.00000,225.00000,95.00000,1803.00000,136.00000,1231.00000,214.00000,1588.00000,3391.00000,1005.00000,1089.00000,195.00000,1284.00000,2289.00000,-251.00000,-6.00000,1102.00000,3391.00000
2015-12-31,656.00000,921.00000,216.00000,,1793.00000,142.00000,1232.00000,195.00000,1577.00000,3370.00000,1040.00000,1079.00000,149.00000,1262.00000,2302.00000,-277.00000,-8.00000,1068.00000,3370.00000
2015-09-30,635.00000,844.00000,250.00000,,1729.00000,178.00000,1233.00000,155.00000,1573.00000,3302.00000,1042.00000,1142.00000,164.00000,1306.00000,2348.00000,-380.00000,-11.00000,954.00000,3302.00000
2015-06-30,365.00000,929.00000,299.00000,99.00000,1692.00000,178.00000,1239.00000,88.00000,1519.00000,3211.00000,996.00000,1127.00000,169.00000,1296.00000,2292.00000,-406.00000,-11.00000,919.00000,3211.00000
2015-03-31,377.00000,977.00000,297.00000,,1651.00000,308.00000,1242.00000,95.00000,1658.00000,3309.00000,987.00000,1156.00000,166.00000,1322.00000,2309.00000,-419.00000,-12.00000,1000.00000,3309.00000
2015-01-31,443.00000,896.00000,273.00000,,1618.00000,308.00000,1244.00000,97.00000,1663.00000,3281.00000,951.00000,1164.00000,168.00000,1332.00000,2283.00000,-424.00000,-11.00000,998.00000,3281.00000
2014-10-31,418.00000,1021.00000,228.00000,,1675.00000,360.00000,1246.00000,99.00000,1723.00000,3398.00000,1001.00000,1227.00000,194.00000,1421.00000,2422.00000,-453.00000,-6.00000,976.00000,3398.00000
2014-07-31,358.00000,1094.00000,236.00000,,1713.00000,372.00000,1266.00000,111.00000,1768.00000,3481.00000,991.00000,1329.00000,204.00000,1533.00000,2524.00000,-463.00000,-6.00000,957.00000,3481.00000
2014-04-30,183.00000,1098.00000,280.00000,,1571.00000,480.00000,1792.00000,112.00000,2398.00000,3969.00000,1004.00000,1330.00000,230.00000,1560.00000,2564.00000,,-6.00000,1405.00000,3969.00000
2014-01-31,430.00000,1082.00000,256.00000,,1807.00000,482.00000,1786.00000,72.00000,2355.00000,4162.00000,1009.00000,1331.00000,227.00000,1558.00000,2567.00000,25.00000,-6.00000,1595.00000,4162.00000
2013-10-31,814.00000,1161.00000,298.00000,,2286.00000,473.00000,1804.00000,62.00000,2349.00000,4635.00000,1240.00000,1330.00000,182.00000,1512.00000,2752.00000,150.00000,-2.00000,1883.00000,4635.00000
2013-07-31,462.00000,1999.00000,350.00000,,2826.00000,280.00000,2323.00000,79.00000,2695.00000,5521.00000,1669.00000,1332.00000,175.00000,1507.00000,3176.00000,182.00000,-2.00000,2345.00000,5521.00000
2013-04-30,563.00000,2063.00000,393.00000,,3019.00000,315.00000,2368.00000,74.00000,2771.00000,5790.00000,2017.00000,1297.00000,172.00000,1469.00000,3486.00000,182.00000,-2.00000,2304.00000,5790.00000
2013-01-31,735.00000,1168.00000,342.00000,,3616.00000,288.00000,1882.00000,77.00000,2259.00000,5875.00000,1792.00000,1295.00000,170.00000,1465.00000,3257.00000,510.00000,-2.00000,2618.00000,5875.00000
2012-10-31,531.00000,1943.00000,554.00000,,3062.00000,319.00000,2409.00000,76.00000,2804.00000,5866.00000,1966.00000,1297.00000,148.00000,1445.00000,3411.00000,367.00000,-1.00000,2455.00000,5866.00000
2012-07-31,756.00000,1992.00000,430.00000,,3178.00000,324.00000,1982.00000,74.00000,2402.00000,5580.00000,1781.00000,1297.00000,143.00000,1440.00000,3221.00000,296.00000,-1.00000,2359.00000,5580.00000
2012-04-30,1167.00000,2171.00000,453.00000,,3791.00000,339.00000,1992.00000,75.00000,2429.00000,6220.00000,2510.00000,1298.00000,146.00000,1444.00000,3954.00000,229.00000,-1.00000,2266.00000,6220.00000
2012-01-31,1592.00000,2164.00000,439.00000,,4231.00000,348.00000,1976.00000,75.00000,2436.00000,6667.00000,3025.00000,1299.00000,162.00000,1461.00000,4486.00000,164.00000,-11.00000,2181.00000,6667.00000
2011-10-31,1463.00000,2219.00000,309.00000,,3991.00000,349.00000,2013.00000,76.00000,2472.00000,6463.00000,2698.00000,1299.00000,140.00000,1439.00000,4137.00000,326.00000,-3.00000,2326.00000,6463.00000
2011-07-31,1336.00000,2124.00000,307.00000,,3767.00000,354.00000,1870.00000,91.00000,2346.00000,6113.00000,2248.00000,1299.00000,143.00000,1442.00000,3690.00000,437.00000,-3.00000,2423.00000,6113.00000
