,cash-on-hand,receivables-total,inventory,total-current-assets,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-11-30,4639.17000,673.98000,21432.01000,26745.16000,1173.16400,3442.35900,6623.61100,11239.13000,37984.30000,3583.67900,4047.29400,6112.95500,10160.25000,13743.93000,29.26800,18861.42000,2.40800,24240.37000,37984.30000
2021-11-30,2757.14000,490.27800,18715.30000,21962.72000,972.08400,3442.35900,6830.61300,11245.06000,33207.78000,2297.84900,4652.33800,5261.30900,9913.64600,12211.50000,33.99400,14685.33000,-1.34100,20996.28000,33207.78000
2020-11-30,2719.19700,298.67100,16925.23000,19943.10000,953.17700,3442.35900,5596.54500,9992.08100,29935.18000,1744.02900,5955.75800,4135.98900,10091.75000,11835.78000,33.83800,10564.99000,-0.80500,18099.40000,29935.18000
2019-11-30,1213.84500,329.12400,17776.51000,19319.48000,1466.84000,3442.35900,5130.83600,10040.04000,29359.51000,1344.62300,7776.63800,4204.42000,11981.06000,13325.68000,33.65600,8295.00100,0.49800,16033.83000,29359.51000
2018-11-30,1381.71500,236.84100,17068.70000,18687.26000,1354.27900,3442.35900,5056.65100,9878.92100,28566.18000,1344.86000,8543.86800,3994.49600,12538.36000,13883.22000,33.44300,6487.65000,-0.36600,14682.96000,28566.18000
2017-11-30,2555.99200,137.66700,10860.89000,13554.55000,1345.84600,136.56600,3622.02600,5190.48500,18745.03000,1610.75400,6410.00300,2738.14500,9148.14800,10758.90000,24.31200,4840.97800,1.03400,7986.13200,18745.03000
2016-11-30,1214.87700,311.49400,9178.92600,10816.91000,1128.72400,,3172.44900,4544.87600,15361.78000,1210.88700,4575.97700,2363.35000,6939.32700,8150.21400,23.70700,4306.25600,-0.30900,7211.56700,15361.78000
2015-11-30,1072.19300,229.48600,8740.59600,10207.10000,992.04500,,2883.59400,4212.40800,14419.51000,1299.06800,5025.13000,2145.23900,7170.36900,8469.43700,21.36400,3429.73600,0.03900,5950.07200,14419.51000
2014-11-30,1246.44200,247.21700,7736.60000,9367.38300,849.82700,,2259.61100,3555.76800,12923.15000,1074.66300,4661.26600,1935.92000,6597.18600,7671.84900,20.72200,2660.03400,0.13000,5251.30200,12923.15000
2013-11-30,935.66300,163.76800,6601.04800,7978.87100,871.52200,,1796.01400,3294.37600,11273.25000,1153.24900,4194.43200,1298.09600,5492.52800,6645.77700,21.78100,2053.89300,,4627.47000,11273.25000
2012-11-30,1483.52100,53.74500,5046.39000,7020.19100,670.37400,,1936.45800,3342.01500,10362.21000,1086.15700,4005.05100,1269.79000,5274.84100,6360.99800,20.53800,1605.13100,,4001.20800,10362.21000
2011-11-30,1336.12600,53.97700,4360.53500,6463.99200,670.47200,,1294.41900,2690.67900,9154.67100,1323.42100,3362.75900,1164.96600,4527.72500,5851.14600,20.20800,956.40100,,3303.52500,9154.67100
2010-11-30,1393.16300,82.20200,4169.60800,6864.28700,710.71100,,954.74900,1923.56400,8787.85100,1322.95300,3128.15400,1142.36100,4270.51500,5593.46800,19.99800,894.10800,,3194.38300,8787.85100
2009-11-30,1339.82800,456.48100,4087.98900,5884.29800,609.14000,,821.35300,1430.49300,7314.79100,687.95500,2761.35200,1277.47000,4038.82200,4726.77700,19.81100,828.42400,,2588.01400,7314.79100
