,cash-on-hand,receivables-total,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,2289.18000,3351.74500,465.22700,6106.15200,294.69200,74.28100,7332.40900,281.72600,7983.10800,14089.26000,6043.45500,4722.83800,254.00900,5504.31200,11547.77000,0.12800,7210.76900,-1509.65000,2541.49300,14089.26000
2021-12-31,2250.69500,2911.27400,326.07900,5488.04800,236.29400,52.01600,7414.36300,213.93200,7916.60500,13404.65000,5290.35100,4460.03900,221.39200,5247.72200,10538.07000,0.12700,6256.44200,-1464.61600,2866.58000,13404.65000
2020-12-31,1476.61900,2066.77500,412.92400,3956.31800,202.50900,7.48000,6835.06300,193.20900,7238.26100,11194.58000,3968.31100,3097.58000,275.12300,3870.85700,7839.16800,0.12600,5416.94500,-1363.15800,3355.41100,11194.58000
2019-12-31,1675.23700,2539.93400,403.40000,4618.57100,199.82500,30.44000,7174.92900,224.77600,7629.97000,12248.54000,4463.06800,3289.94700,263.93000,4073.85700,8536.92500,0.12400,4712.72900,-972.46500,3711.61600,12248.54000
2018-12-31,1364.89300,2311.81500,199.27800,3875.98600,186.20100,42.67400,6949.98400,147.63200,7326.49100,11202.48000,4495.21300,2748.43100,126.70700,3367.08400,7862.30000,0.12300,3817.65600,-913.85800,3340.18000,11202.48000
2017-12-31,1130.87000,2231.01100,187.82000,3549.70100,180.05700,32.85900,7440.78000,114.96200,7768.65800,11318.36000,4095.50200,2902.10400,125.31900,3546.33500,7641.83700,0.12200,2958.92100,-551.85700,3676.52200,11318.36000
2016-12-31,643.77000,1793.00900,90.91400,2527.69300,142.50400,36.20000,6848.38300,71.95200,7099.03900,9626.73200,3296.31800,2521.72700,56.06900,3246.37600,6542.69400,0.12100,2218.72100,-666.40300,3084.03800,9626.73200
2015-12-31,614.64400,1252.95400,68.11300,1944.62400,80.76000,76.56800,5729.62900,58.22500,5945.18200,7889.80600,2247.47400,2059.90000,38.95700,2812.28500,5059.75900,0.12100,1766.33600,-570.81100,2830.04700,7889.80600
2014-12-31,612.21300,1348.79700,74.88900,2137.35000,73.56300,141.93300,6099.42400,72.43100,6387.35100,8524.70100,2896.61800,2168.95300,40.62900,3009.52100,5906.13900,0.12000,1403.90500,-291.50800,2618.56200,8524.70100
2013-12-31,386.34900,922.35100,40.06200,1353.51200,53.95600,,2423.98800,100.77900,2578.72300,3932.23500,1908.89800,474.93900,55.00100,779.44400,2688.34200,0.11700,1035.19800,-47.42600,1243.89300,3932.23500
2012-12-31,337.32300,823.44100,28.12600,1195.35400,45.19600,,1390.47300,90.84700,1526.51600,2721.87000,1142.22200,485.21700,,665.82600,1808.04800,0.11600,750.69700,-3.34600,913.82200,2721.87000
2011-12-31,340.92100,761.79100,15.41600,1124.26800,32.72400,,1146.34300,45.83400,1224.90100,2349.16900,1126.55200,278.42900,,411.18100,1537.73300,0.11400,534.49800,-13.71600,811.43600,2349.16900
2010-12-31,177.14500,404.16300,33.19100,618.98300,26.81800,,795.52700,42.79000,865.13490,1484.11800,461.12200,313.79600,,397.05100,858.17300,0.11200,387.16300,-8.10100,625.94500,1484.11800
2009-12-31,152.68000,163.46100,24.11300,347.24200,27.22300,,787.76600,47.31400,862.30300,1209.54500,320.74100,328.93000,,414.75500,735.49600,0.06600,235.72600,-12.17300,474.04900,1209.54500
