,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,737.87300,182.71400,447.29000,,42.74200,1410.61900,357.15700,,6.57100,249.28600,648.26610,2058.88500,263.40000,126.88300,126.88300,390.28300,975.27600,716.40300,-23.07700,1668.60200,2058.88500
2021-12-31,725.08200,104.81300,259.41700,,35.54000,1124.85200,362.96200,,6.57100,69.52300,460.97300,1585.82500,226.94400,114.89600,114.89600,341.84000,803.22600,424.87900,15.88000,1243.98500,1585.82500
2020-12-31,595.11300,66.84300,157.06200,,22.98000,841.99800,281.52800,,6.57100,59.83800,366.49300,1208.49100,146.96900,94.93500,94.93500,241.90400,657.70100,298.74600,10.14000,966.58700,1208.49100
2019-12-31,455.39700,52.70400,127.50000,,19.60500,655.20600,228.31500,,6.57100,49.09000,301.16900,956.37500,98.22500,84.65900,84.65900,182.88400,549.51700,229.45000,-5.47600,773.49100,956.37500
2018-12-31,377.28100,55.21400,136.38400,,11.93100,580.81000,150.00100,3.24100,6.57100,35.97900,212.62200,793.43200,80.43900,72.90000,72.90000,153.33900,450.90800,194.72800,-5.54300,640.09300,793.43200
2017-12-31,299.09000,38.03700,99.28100,,12.76200,449.17000,144.63600,5.25600,7.52200,30.06800,203.39900,652.56900,65.91700,64.64500,64.64500,130.56200,376.58600,143.60800,1.81300,522.00700,652.56900
2016-12-31,268.22400,34.24800,71.46900,9.04300,,382.98400,85.17100,5.35400,9.57300,27.41100,128.14200,511.12600,52.92100,27.08900,27.08900,80.01000,315.96900,119.36200,-4.21500,431.11600,511.12600
2015-12-31,234.96300,30.83000,63.20900,2.92600,,331.92800,65.35900,5.36100,11.62400,16.34100,99.35700,431.28500,43.28300,19.48600,19.48600,62.76900,265.76300,101.28700,1.46600,368.51600,431.28500
2014-12-31,238.71800,25.63000,40.91800,2.64600,,307.91200,62.94200,5.38900,13.38300,8.45700,91.45400,399.36600,36.86100,16.08000,16.08000,52.94100,240.50000,100.11400,5.81100,346.42500,399.36600
2013-12-31,226.33900,23.73000,39.73700,2.28000,,292.08600,64.83700,9.86000,,1.64400,76.82200,368.90800,38.48900,1.47800,7.02000,45.50900,234.20100,82.93800,6.26000,323.39900,368.90800
2012-12-31,160.62500,19.38300,32.11500,2.17700,,214.30100,59.41200,11.75500,,1.02500,72.86100,287.16200,23.46000,,5.40800,28.86800,194.07900,60.04000,4.17500,258.29400,287.16200
2011-12-31,174.19800,15.09700,20.10400,1.68500,,211.50500,47.79400,13.67500,,0.65400,62.36200,273.86700,26.07000,4.92000,4.92000,30.99000,159.33600,79.94800,3.59300,242.87700,273.86700
2010-12-31,177.71900,18.34700,25.78900,2.31400,,224.37300,37.26200,19.18000,,0.74900,57.23000,281.60300,28.97000,5.73800,5.73800,34.70800,178.26900,66.64700,1.97900,246.89500,281.60300
2009-12-31,165.63100,15.52100,19.61600,2.72600,,203.49900,17.96800,19.44500,,0.73400,38.32200,241.82100,23.92200,4.94200,4.94200,28.86400,175.51800,37.08500,0.35400,212.95700,241.82100
