,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,493.00000,1818.00000,3151.00000,770.00000,1200.00000,7432.00000,4203.00000,22437.00000,699.00000,27975.00000,35407.00000,3728.00000,10373.00000,472.00000,13965.00000,17693.00000,35.00000,955.00000,-2169.00000,,17714.00000,35407.00000
2021-12-31,715.00000,1906.00000,2516.00000,728.00000,1122.00000,6987.00000,4368.00000,26920.00000,616.00000,32671.00000,39658.00000,3633.00000,10768.00000,462.00000,14908.00000,18541.00000,35.00000,3641.00000,-1423.00000,,21117.00000,39658.00000
2020-12-31,657.00000,929.00000,1132.00000,342.00000,,3060.00000,1458.00000,8320.00000,418.00000,10495.00000,13555.00000,1904.00000,3779.00000,268.00000,5329.00000,7233.00000,16.00000,4156.00000,-413.00000,-285.00000,6322.00000,13555.00000
2019-12-31,623.94500,876.19700,1123.06800,319.33400,,2942.54400,1386.92000,8349.53100,608.41600,10344.87000,13287.41000,1552.19000,3997.43800,502.36600,5505.67300,7057.86200,16.06600,4117.80400,-343.85100,-373.04300,6229.54800,13287.41000
2018-12-31,648.52200,937.76500,1078.53700,277.03600,,2941.86000,1241.15200,8417.71000,288.67300,9947.53500,12889.39000,1128.31100,4504.41700,248.43600,5717.71000,6846.02100,16.06600,3956.22100,-305.23100,-396.99600,6043.37400,12889.39000
2017-12-31,368.04600,663.66300,649.44800,215.38700,,1896.54400,880.58000,1572.07500,249.72700,2702.38200,4598.92600,768.76800,1632.18600,191.29400,2140.86400,2909.63200,14.47000,3870.62100,-340.06600,-297.41600,1689.29400,4598.92600
2016-12-31,323.99200,550.65800,592.01700,142.34700,,1609.01400,775.71600,1365.90600,127.71200,2407.97000,4016.98400,898.29700,1066.85500,137.47500,1487.55300,2385.85000,14.47000,3818.53500,-328.07000,-352.02500,1631.13400,4016.98400
2015-12-31,181.98800,537.89600,572.04700,145.17800,,1437.10900,732.79400,1247.39300,118.39100,2264.90100,3702.01000,725.15600,935.37300,160.84900,1381.86500,2107.02100,14.47000,3604.25400,-315.94100,-297.49900,1594.98900,3702.01000
2014-12-31,478.57300,493.76800,568.72900,141.24800,,1710.02700,720.26800,752.04100,129.23800,1784.59400,3494.62100,518.80800,934.23200,118.02400,1453.12400,1971.93200,14.47000,3350.73400,-367.08800,-173.34200,1522.68900,3494.62100
2013-12-31,405.50500,524.49300,533.80600,148.91000,,1652.90300,687.21500,696.19700,140.97900,1678.82800,3331.73100,560.36600,932.66500,92.08500,1304.31400,1864.68000,14.47000,3075.65700,-288.43300,-104.27800,1467.05100,3331.73100
2012-12-31,324.42200,499.44300,540.65800,142.40100,,1572.68700,654.64100,702.27000,159.52000,1673.50500,3246.19200,629.87800,881.10400,110.60800,1363.75900,1993.63700,14.47000,2841.16600,-309.90300,-93.72200,1252.55500,3246.19200
2011-12-31,88.27900,472.34600,544.43900,158.10200,,1317.22000,608.06500,708.34500,179.83300,1648.36100,2965.58100,564.56600,778.24800,151.87200,1293.60800,1858.17400,14.47000,2692.89300,-263.90000,-111.40900,1107.40700,2965.58100
2010-12-31,131.33200,451.80400,531.67500,136.22400,,1325.19500,538.11800,714.41600,171.92600,1547.26000,2872.45500,660.95100,787.66800,147.77900,1208.34900,1869.30000,14.47000,2519.70600,-200.52500,-74.82600,1003.15500,2872.45500
2009-12-31,80.13500,444.26500,444.97700,103.68700,,1128.06600,501.29300,720.53000,165.16500,1516.70800,2644.77400,484.45400,934.74900,157.82700,1388.41000,1872.86400,14.47000,2339.20500,-202.36800,-68.60600,771.91000,2644.77400
