,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-01-31,4922.36500,119.24700,2262.27300,169.29100,7473.17600,2898.52700,,241.28100,6167.08000,13640.26000,4214.92900,2452.32500,236.01300,5365.27700,9580.20600,3.51700,2874.89800,,4060.05000,13640.26000
2021-01-31,4819.29300,115.06700,1508.98200,249.14900,6692.49100,2710.49600,,230.06100,6025.37600,12717.87000,3967.03300,2448.17500,268.55800,5460.19400,9427.22700,3.56500,2185.80100,,3290.64000,12717.87000
2020-01-31,1351.20500,102.23600,1832.33900,147.04800,3432.82800,2653.43600,,208.32100,5915.53900,9348.36700,2701.93400,312.89100,214.08600,3287.18400,5989.11800,3.56800,2330.70200,,3359.24900,9348.36700
2019-01-31,1412.91200,96.71100,1750.44200,143.95400,3404.01900,2475.20100,,194.47100,2669.67200,6073.69100,2009.48400,312.44000,321.71300,758.46100,2767.94500,3.68200,2298.76200,,3305.74600,6073.69100
2018-01-31,1290.80600,87.86800,1641.73500,130.74800,3151.15700,2382.46400,0.71200,187.71800,2570.89400,5722.05100,1926.40200,311.99400,348.54100,746.34090,2672.74300,3.79600,2071.40000,0.02700,3049.30800,5722.05100
2017-01-31,1111.59900,75.15400,1512.88600,113.41000,2813.04900,2328.04800,1.28800,166.96600,2496.30200,5309.35100,1752.50600,396.49300,290.95000,808.82800,2561.33400,3.91900,1801.13800,0.09100,2748.01700,5309.35100
2016-01-31,763.33900,73.62700,1419.10400,116.12500,2372.19500,2342.90600,1.33100,152.68700,2496.92400,4869.11900,1602.84700,396.02500,268.16800,794.28100,2397.12800,4.02300,1574.98200,0.18200,2471.99100,4869.11900
2015-01-31,697.10800,73.27800,1372.67500,106.77800,2249.83900,2273.75200,3.11000,160.66900,2437.53100,4687.37000,1659.36800,395.56200,279.50000,748.79200,2408.16000,4.14900,1421.72400,0.33000,2279.21000,4687.37000
2014-01-31,435.17400,62.61200,1257.15500,101.99100,1867.15900,1875.29900,3.71000,150.62900,2029.63800,3896.79700,1393.05700,150.00000,287.56700,496.43800,1889.49500,2.13400,1190.74700,0.38900,2007.30200,3896.79700
2013-01-31,647.84800,59.61700,1209.23700,94.31800,2031.42700,1493.28400,4.37400,141.47600,1639.13400,3670.56100,1422.58200,150.00000,246.81500,481.11600,1903.69800,2.20700,989.26000,0.58500,1766.86300,3670.56100
2012-01-31,650.49300,50.84800,1130.07000,87.36200,1924.37100,1241.72200,5.60200,129.51400,1376.83800,3301.20900,1346.05200,150.00000,203.62500,462.14500,1808.19700,2.26900,763.47500,0.63500,1493.01200,3301.20900
2011-01-31,837.12800,45.38400,1086.91700,63.80700,2043.23900,983.77600,14.08200,75.10700,1072.96500,3116.20400,1352.32000,150.00000,189.98900,431.19200,1783.51200,2.36200,636.70500,0.48800,1332.69200,3116.20400
2010-01-31,770.09700,44.23400,872.49800,58.61800,1745.44700,942.99900,16.84800,63.33900,1023.18600,2768.63300,1190.51400,150.00000,174.54300,420.82600,1611.34000,1.22900,510.85000,0.17000,1157.29300,2768.63300
2009-01-31,322.15300,41.17000,881.05800,55.24100,1313.71500,951.65600,38.01400,52.12600,1041.79600,2355.51100,955.25900,150.00000,156.72600,403.88300,1359.14200,1.27300,400.97200,-1.17400,996.36900,2355.51100
