,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1285.90000,3486.80000,4772.70000,109.60000,2492.50000,1121.50000,3723.60000,8496.30000,4676.10000,2616.80000,567.10000,3342.40000,8018.50000,3.70000,-353.90000,-167.90000,477.80000,8496.30000
2021-12-31,1208.30000,2843.50000,4051.80000,129.40000,2451.70000,2190.60000,4771.70000,8823.50000,4164.40000,3008.40000,1091.30000,4303.50000,8467.90000,3.90000,-537.20000,-52.10000,355.60000,8823.50000
2020-12-31,1428.20000,3821.40000,5249.60000,150.40000,3071.60000,1024.70000,4246.70000,9496.30000,5251.20000,3067.20000,802.40000,4058.50000,9309.70000,4.10000,-543.10000,-159.50000,186.60000,9496.30000
2019-12-31,1450.50000,3296.70000,4747.20000,186.90000,3061.50000,762.90000,4011.30000,8758.50000,4918.30000,3229.30000,498.30000,3879.70000,8798.00000,4.20000,-675.90000,-209.00000,-39.50000,8758.50000
2018-12-31,973.40000,3813.80000,4787.20000,270.40000,3323.20000,616.00000,4209.60000,8996.80000,5432.70000,3433.70000,279.10000,3873.90000,9306.60000,4.40000,-838.80000,-231.00000,-309.80000,8996.80000
2017-12-31,838.20000,4188.90000,5027.10000,214.20000,3314.20000,675.90000,4204.30000,9231.40000,6159.40000,3033.60000,356.80000,3563.40000,9722.80000,4.60000,-965.90000,-227.90000,-491.40000,9231.40000
2016-12-31,877.50000,3749.10000,4626.60000,220.50000,3826.20000,746.30000,4793.00000,9419.60000,5286.00000,2786.10000,359.40000,3231.40000,8517.40000,4.80000,419.30000,-162.80000,902.20000,9419.60000
2015-12-31,1315.90000,3308.70000,4624.60000,231.80000,3868.80000,724.00000,4824.60000,9449.20000,4126.80000,3215.90000,429.00000,3917.50000,8044.30000,5.00000,977.30000,-143.90000,1404.90000,9449.20000
2014-12-31,1783.20000,3313.70000,5096.90000,206.40000,3917.30000,669.80000,4793.50000,9890.40000,4080.40000,3720.40000,484.20000,4509.60000,8590.00000,5.20000,968.70000,-118.90000,1300.40000,9890.40000
2013-12-31,2073.10000,3270.40000,5343.50000,209.90000,4005.80000,562.10000,4777.80000,10121.30000,4126.20000,4213.00000,358.20000,4890.40000,9016.60000,5.50000,877.30000,-169.00000,1104.70000,10121.30000
2012-12-31,1776.50000,3114.60000,4891.10000,196.10000,4058.60000,319.90000,4574.60000,9465.70000,3889.10000,4029.20000,254.70000,4636.00000,8525.10000,5.70000,754.70000,-152.60000,940.60000,9465.70000
2011-12-31,1370.90000,3091.20000,4462.10000,198.10000,4046.30000,363.40000,4607.80000,9069.90000,3928.60000,3583.20000,273.60000,4246.50000,8175.10000,6.20000,760.00000,-118.50000,894.80000,9069.90000
2010-12-31,2157.40000,2635.20000,4792.60000,196.50000,2589.70000,350.40000,3136.60000,7929.20000,3512.20000,3289.90000,254.50000,3834.30000,7346.50000,6.50000,591.60000,-132.80000,582.70000,7929.20000
2009-12-31,1685.20000,2389.10000,4074.30000,204.30000,2632.60000,442.20000,3279.10000,7353.40000,3409.30000,3048.50000,273.20000,3590.60000,6999.90000,6.90000,433.20000,-127.30000,353.50000,7353.40000
