,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,757.20000,871.60000,1033.10000,144.80000,3368.90000,512.60000,1320.90000,13.70000,3603.90000,6972.80000,971.60000,1183.80000,85.10000,1497.70000,2469.30000,67.40000,6296.20000,-528.30000,4503.50000,6972.80000
2021-12-31,780.00000,792.70000,803.80000,134.60000,3053.40000,518.20000,1418.20000,15.60000,3706.30000,6759.70000,982.20000,1182.90000,97.90000,1573.70000,2555.90000,67.40000,5699.90000,-343.90000,4203.80000,6759.70000
2020-12-31,923.40000,753.20000,746.50000,129.70000,3083.00000,526.20000,1243.20000,91.70000,3474.30000,6557.30000,1164.90000,1182.10000,97.70000,1545.80000,2710.70000,67.40000,5156.90000,-365.80000,3846.60000,6557.30000
2019-12-31,184.50000,795.30000,760.40000,110.20000,2380.50000,521.50000,1157.70000,62.30000,3313.00000,5693.50000,947.60000,946.90000,105.70000,1315.10000,2262.70000,67.40000,4779.70000,-507.90000,3430.80000,5693.50000
2018-12-31,140.90000,790.90000,673.80000,92.80000,2216.90000,495.10000,1135.10000,42.00000,3156.20000,5373.10000,952.00000,946.00000,112.00000,1302.50000,2254.50000,67.40000,4257.60000,-462.20000,3118.60000,5373.10000
2017-12-31,92.00000,772.40000,638.80000,110.70000,2119.30000,484.40000,1177.80000,53.80000,3129.80000,5249.10000,1193.30000,753.60000,106.60000,1083.50000,2276.80000,67.40000,3772.30000,-329.00000,2972.30000,5249.10000
2016-12-31,77.60000,686.90000,530.50000,116.50000,1884.00000,425.20000,1080.10000,39.90000,2839.20000,4723.20000,989.50000,708.80000,93.40000,1098.50000,2088.00000,67.40000,3384.90000,-498.50000,2635.20000,4723.20000
2015-12-31,92.80000,644.60000,497.80000,106.30000,1788.80000,413.50000,985.10000,44.00000,2542.30000,4331.10000,670.20000,861.70000,88.50000,1230.20000,1900.40000,67.40000,2986.90000,-364.20000,2430.70000,4331.10000
2014-12-31,132.90000,625.30000,475.50000,121.50000,1858.60000,404.50000,1014.00000,47.30000,2451.50000,4310.10000,718.70000,862.70000,83.80000,1366.10000,2084.80000,67.40000,2637.20000,-248.20000,2225.30000,4310.10000
2013-12-31,217.60000,600.00000,434.40000,84.20000,1796.20000,392.50000,1029.30000,57.20000,2313.80000,4110.00000,715.40000,858.90000,84.00000,1264.20000,1979.60000,67.40000,2324.10000,-44.80000,2130.40000,4110.00000
2012-12-31,214.50000,560.60000,404.20000,84.80000,1669.00000,375.20000,994.60000,64.10000,2233.30000,3902.30000,589.20000,970.40000,87.50000,1494.10000,2083.30000,67.40000,2067.00000,-124.20000,1819.00000,3902.30000
2011-12-31,185.60000,513.20000,386.40000,75.70000,1530.70000,352.90000,984.10000,83.10000,2142.20000,3672.90000,583.80000,967.90000,95.30000,1541.80000,2125.60000,67.30000,1843.70000,-174.60000,1547.30000,3672.90000
2010-12-31,572.20000,488.90000,329.40000,72.70000,1765.50000,344.00000,991.20000,72.20000,1963.90000,3729.40000,881.10000,954.80000,89.00000,1443.90000,2325.00000,67.30000,1644.10000,-104.80000,1404.40000,3729.40000
2009-12-31,699.40000,447.30000,274.70000,62.90000,1676.10000,347.80000,1020.50000,66.20000,1771.30000,3447.40000,739.90000,902.10000,85.40000,1401.90000,2141.80000,67.30000,1528.90000,-68.40000,1305.60000,3447.40000
