,cash-on-hand,receivables-total,inventory,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,70026.00000,42360.00000,34405.00000,146791.00000,186715.00000,20288.00000,42758.00000,315884.00000,462675.00000,155393.00000,67150.00000,21121.00000,161239.00000,316632.00000,108.00000,83193.00000,-4487.00000,146043.00000,462675.00000
2021-12-31,96049.00000,32891.00000,32640.00000,161580.00000,160281.00000,15371.00000,27235.00000,258969.00000,420549.00000,142266.00000,48744.00000,23643.00000,140038.00000,282304.00000,106.00000,85915.00000,-1376.00000,138245.00000,420549.00000
2020-12-31,84396.00000,24542.00000,23795.00000,132733.00000,113114.00000,15017.00000,22778.00000,188462.00000,321195.00000,126385.00000,31816.00000,17017.00000,101406.00000,227791.00000,5.00000,52551.00000,-180.00000,93404.00000,321195.00000
2019-12-31,55021.00000,20816.00000,20497.00000,96334.00000,72705.00000,14754.00000,16314.00000,128914.00000,225248.00000,87812.00000,23414.00000,12171.00000,75376.00000,163188.00000,5.00000,31220.00000,-986.00000,62060.00000,225248.00000
2018-12-31,41250.00000,16677.00000,17174.00000,75101.00000,61797.00000,14548.00000,11202.00000,87547.00000,162648.00000,68391.00000,23495.00000,17563.00000,50708.00000,119099.00000,5.00000,19625.00000,-1035.00000,43549.00000,162648.00000
2017-12-31,30986.00000,13164.00000,16047.00000,60197.00000,48866.00000,13350.00000,8897.00000,71113.00000,131310.00000,57883.00000,24743.00000,20975.00000,45718.00000,103601.00000,5.00000,8636.00000,-484.00000,27709.00000,131310.00000
2016-12-31,25981.00000,8339.00000,11461.00000,45781.00000,29114.00000,3784.00000,4723.00000,37621.00000,83402.00000,43816.00000,7694.00000,12607.00000,20301.00000,64117.00000,5.00000,4916.00000,-985.00000,19285.00000,83402.00000
2015-12-31,19808.00000,5654.00000,10243.00000,35705.00000,21838.00000,3759.00000,3445.00000,29042.00000,64747.00000,33887.00000,8227.00000,9249.00000,17476.00000,51363.00000,5.00000,2545.00000,-723.00000,13384.00000,64747.00000
2014-12-31,17416.00000,5612.00000,8299.00000,31327.00000,16967.00000,3319.00000,2892.00000,23178.00000,54505.00000,28089.00000,8265.00000,7410.00000,15675.00000,43764.00000,5.00000,1949.00000,-511.00000,10741.00000,54505.00000
2013-12-31,12447.00000,4767.00000,7411.00000,24625.00000,10949.00000,2655.00000,1930.00000,15534.00000,40159.00000,22980.00000,3191.00000,4242.00000,7433.00000,30413.00000,5.00000,2190.00000,-185.00000,9746.00000,40159.00000
2012-12-31,11448.00000,3817.00000,6031.00000,21296.00000,7060.00000,2552.00000,1647.00000,11259.00000,32555.00000,19002.00000,3084.00000,2277.00000,5361.00000,24363.00000,5.00000,1916.00000,-239.00000,8192.00000,32555.00000
2011-12-31,9576.00000,2571.00000,4992.00000,17490.00000,4417.00000,1955.00000,1388.00000,7788.00000,25278.00000,14896.00000,255.00000,2370.00000,2625.00000,17521.00000,5.00000,1955.00000,-316.00000,7757.00000,25278.00000
2010-12-31,8762.00000,1587.00000,3202.00000,13747.00000,2414.00000,1349.00000,1265.00000,5050.00000,18797.00000,10372.00000,1561.00000,,1561.00000,11933.00000,5.00000,1324.00000,-190.00000,6864.00000,18797.00000
2009-12-31,6366.00000,988.00000,2171.00000,9797.00000,1290.00000,1234.00000,1474.00000,4016.00000,13813.00000,7364.00000,,1192.00000,1192.00000,8556.00000,5.00000,172.00000,-56.00000,5257.00000,13813.00000
