,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,2621.03900,953.81200,502.37300,532.88600,4610.11000,5640.11900,272.81400,565.10900,38830.89000,47996.45000,52606.56000,6024.24800,19801.95000,28638.03000,34662.28000,5.31100,13088.85000,-3.02900,17944.28000,52606.56000
2021-12-31,5403.70600,942.56100,534.93700,641.97800,7523.18200,3257.78700,5485.70900,674.67900,29566.96000,40478.54000,48001.73000,6515.88600,19355.21000,25957.95000,32473.83000,5.28900,10785.62000,0.28100,15527.89000,48001.73000
2020-12-31,3733.04500,1104.20200,380.34900,1804.56200,7022.15800,2182.33300,258.07500,760.12600,27912.98000,31217.79000,38239.95000,6084.74600,13616.41000,18374.56000,24459.30000,5.26100,8374.97500,-0.85500,13780.64000,38239.95000
2019-12-31,2860.34700,588.35800,322.89800,243.49700,4015.10000,2706.18200,221.14100,136.41500,26007.77000,29215.84000,33230.93000,4496.09100,12968.23000,17170.77000,21666.86000,5.23000,6612.30200,-0.01800,11564.07000,33230.93000
2018-12-31,2068.81700,639.85500,290.73300,289.80000,3289.20500,1928.18000,186.58900,,25183.04000,27297.81000,30587.01000,4776.13200,13810.78000,17216.69000,21992.83000,4.67900,5212.79000,-0.87400,8594.18900,30587.01000
2017-12-31,1980.67300,653.94800,321.00800,329.39400,3285.02300,2183.66100,185.86700,,24119.21000,26488.74000,29773.77000,4828.00400,15134.44000,18007.86000,22835.86000,4.66400,3635.38000,0.88200,6937.90600,29773.77000
2016-12-31,5360.11900,777.90800,422.34900,1720.01100,8280.38700,2654.27100,115.60800,,16864.03000,19633.90000,27914.29000,4592.83200,15541.74000,18710.14000,23302.97000,4.65200,1536.69100,0.78100,4611.32300,27914.29000
2015-12-31,1611.06900,864.02800,390.32800,677.81800,3543.24300,2924.18000,327.25000,,16092.04000,19343.47000,22886.71000,5162.94000,12221.92000,14975.98000,20138.92000,5.20300,1471.08400,61.98100,2747.78700,22886.71000
2014-12-31,9236.24100,951.49300,493.75400,1870.57900,12552.07000,3773.53900,414.23400,,5305.70100,9493.47500,22045.54000,4112.52500,13746.06000,15920.88000,20033.41000,5.17800,723.99200,174.50700,2012.13400,22045.54000
2013-12-31,9739.40400,1075.53900,512.70700,787.69300,12313.45000,4097.71100,246.13400,,3689.17400,8042.98300,20356.43000,4551.64900,12596.79000,14807.78000,19359.43000,5.14400,-220.70100,173.87200,997.00500,20356.43000
2012-12-31,7205.37900,971.32300,465.58400,85.11400,9059.15300,4366.62900,252.69400,,3661.97700,8320.45500,17379.61000,3924.46700,11350.40000,13383.51000,17307.98000,5.09000,-1028.19300,188.80300,71.62800,17379.61000
2011-12-31,2040.85300,794.81700,707.15100,131.98800,3747.82300,3169.89100,1542.18100,,3010.33600,7722.40800,11470.23000,3220.51100,7458.13400,8668.72300,11889.23000,5.03100,-1211.99000,82.04300,-419.00300,11470.23000
2010-12-31,2940.37700,786.05300,487.57500,142.48900,4573.39300,3232.34800,368.95400,,1457.45800,5058.76000,9632.15300,4499.30100,5484.04100,6266.29500,10765.60000,4.99300,-1834.61900,93.35700,-1133.44300,9632.15300
2009-12-31,2139.33600,779.87100,295.95000,121.08700,3475.95200,3042.26200,311.71700,,1465.41200,4819.39100,8295.34300,3287.28100,6470.04600,7099.75000,10387.03000,4.97300,-2760.58900,5.61400,-2091.68800,8295.34300
