,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,5855.00000,4128.00000,3771.00000,1265.00000,,15019.00000,1513.00000,83.00000,48295.00000,2152.00000,52561.00000,67580.00000,6369.00000,2467.00000,1664.00000,6461.00000,12830.00000,16.00000,-131.00000,-41.00000,54750.00000,67580.00000
2021-12-31,3608.00000,2708.00000,1955.00000,312.00000,,8583.00000,702.00000,69.00000,289.00000,1478.00000,3836.00000,12419.00000,4240.00000,1.00000,321.00000,682.00000,4922.00000,12.00000,-1451.00000,-3.00000,7497.00000,12419.00000
2020-12-31,2290.00000,2076.00000,1399.00000,378.00000,,6143.00000,641.00000,63.00000,289.00000,373.00000,2819.00000,8962.00000,2417.00000,330.00000,177.00000,708.00000,3125.00000,12.00000,-4605.00000,17.00000,5837.00000,8962.00000
2019-12-31,1503.00000,1879.00000,982.00000,233.00000,,4597.00000,500.00000,58.00000,289.00000,357.00000,1431.00000,6028.00000,2359.00000,486.00000,157.00000,842.00000,3201.00000,12.00000,-7095.00000,,2827.00000,6028.00000
2018-12-31,1156.00000,1235.00000,845.00000,304.00000,,3540.00000,348.00000,58.00000,289.00000,321.00000,1016.00000,4556.00000,1984.00000,1114.00000,192.00000,1306.00000,3290.00000,10.00000,-7436.00000,-8.00000,1266.00000,4556.00000
2017-12-31,1185.00000,454.00000,694.00000,110.00000,191.00000,2634.00000,261.00000,58.00000,289.00000,310.00000,918.00000,3552.00000,1513.00000,1325.00000,118.00000,1443.00000,2956.00000,9.00000,-7775.00000,6.00000,596.00000,3552.00000
2016-12-31,1264.00000,311.00000,751.00000,95.00000,109.00000,2530.00000,164.00000,59.00000,289.00000,279.00000,791.00000,3321.00000,1346.00000,1435.00000,124.00000,1559.00000,2905.00000,9.00000,-7803.00000,-5.00000,416.00000,3321.00000
2015-12-31,785.00000,533.00000,678.00000,76.00000,248.00000,2320.00000,188.00000,,278.00000,298.00000,764.00000,3084.00000,1403.00000,2007.00000,86.00000,2093.00000,3496.00000,8.00000,-7306.00000,-8.00000,-412.00000,3084.00000
2014-12-31,1040.00000,818.00000,685.00000,145.00000,48.00000,2736.00000,302.00000,,385.00000,344.00000,1031.00000,3767.00000,1440.00000,2035.00000,105.00000,2140.00000,3580.00000,8.00000,-6646.00000,-5.00000,187.00000,3767.00000
2013-12-31,1097.00000,832.00000,884.00000,71.00000,,2884.00000,346.00000,90.00000,631.00000,386.00000,1453.00000,4337.00000,1618.00000,1998.00000,177.00000,2175.00000,3793.00000,7.00000,-6243.00000,-2.00000,544.00000,4337.00000
2012-12-31,1002.00000,630.00000,562.00000,71.00000,,2265.00000,658.00000,181.00000,649.00000,247.00000,1735.00000,4000.00000,1397.00000,2037.00000,28.00000,2065.00000,3462.00000,7.00000,-6160.00000,-3.00000,538.00000,4000.00000
2011-12-31,1765.00000,919.00000,476.00000,69.00000,,3229.00000,726.00000,427.00000,331.00000,241.00000,1725.00000,4954.00000,1774.00000,1527.00000,63.00000,1590.00000,3364.00000,7.00000,-4977.00000,-5.00000,1590.00000,4954.00000
2010-12-31,1789.00000,968.00000,632.00000,205.00000,,3594.00000,700.00000,,323.00000,347.00000,1370.00000,4964.00000,1674.00000,2188.00000,89.00000,2277.00000,3951.00000,7.00000,-5468.00000,1.00000,1013.00000,4964.00000
2009-12-31,2676.00000,745.00000,567.00000,287.00000,,4275.00000,3809.00000,,421.00000,573.00000,4803.00000,9078.00000,2210.00000,4252.00000,892.00000,6220.00000,8430.00000,7.00000,-5939.00000,154.00000,648.00000,9078.00000
