,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,2188.00000,10047.00000,583.00000,,12818.00000,862.00000,46470.00000,2048.00000,50460.00000,63278.00000,16224.00000,14207.00000,2071.00000,19828.00000,36052.00000,6.00000,-14971.00000,-360.00000,27226.00000,63278.00000
2021-12-31,2010.00000,8147.00000,551.00000,,10708.00000,949.00000,68168.00000,2137.00000,72223.00000,82931.00000,14466.00000,14825.00000,2089.00000,21107.00000,35573.00000,6.00000,2889.00000,252.00000,47358.00000,82931.00000
2020-12-31,1959.00000,7545.00000,394.00000,,9898.00000,887.00000,70566.00000,1574.00000,73944.00000,83842.00000,12361.00000,15951.00000,2200.00000,22168.00000,34529.00000,6.00000,3440.00000,57.00000,49313.00000,83842.00000
2019-12-31,1152.00000,7108.00000,308.00000,124.00000,8692.00000,900.00000,71244.00000,2303.00000,75114.00000,83806.00000,10382.00000,17229.00000,2406.00000,23968.00000,34350.00000,6.00000,4161.00000,-33.00000,49456.00000,83806.00000
2018-12-31,703.00000,2619.00000,288.00000,123.00000,3733.00000,587.00000,18472.00000,503.00000,20037.00000,23770.00000,3125.00000,8670.00000,326.00000,10423.00000,13548.00000,4.00000,4528.00000,-430.00000,10222.00000,23770.00000
2017-12-31,665.00000,2662.00000,253.00000,108.00000,3688.00000,610.00000,19343.00000,531.00000,20838.00000,24526.00000,4011.00000,7718.00000,403.00000,9695.00000,13706.00000,4.00000,4109.00000,-332.00000,10820.00000,24526.00000
2016-12-31,683.00000,2399.00000,236.00000,863.00000,4282.00000,626.00000,20450.00000,363.00000,21749.00000,26031.00000,3151.00000,10146.00000,386.00000,13035.00000,16186.00000,4.00000,3299.00000,-331.00000,9845.00000,26031.00000
2015-12-31,682.00000,2461.00000,266.00000,,3509.00000,611.00000,21488.00000,339.00000,22691.00000,26200.00000,2364.00000,11429.00000,312.00000,14429.00000,16793.00000,4.00000,3073.00000,-279.00000,9407.00000,26200.00000
2014-12-31,492.80000,1705.50000,167.00000,40.40000,2473.10000,483.30000,11039.00000,311.90000,12047.40000,14520.50000,1598.90000,5054.60000,275.00000,6230.10000,7829.00000,3.90000,2746.80000,-107.20000,6691.50000,14520.50000
2013-12-31,547.50000,1555.60000,154.10000,35.80000,2351.90000,439.00000,10695.80000,266.60000,11608.20000,13960.10000,1672.70000,4339.80000,359.50000,5550.10000,7222.80000,3.90000,2341.90000,-9.90000,6737.30000,13960.10000
2012-12-31,517.60000,1116.80000,111.90000,42.00000,1844.20000,419.50000,10804.70000,270.10000,11705.50000,13549.70000,1256.80000,4231.60000,403.70000,5499.30000,6756.10000,3.80000,2105.80000,30.00000,6793.60000,13549.70000
2011-12-31,415.50000,1010.50000,117.10000,56.90000,1674.00000,414.50000,11327.60000,224.40000,12199.20000,13873.20000,1356.30000,4550.60000,375.10000,5865.70000,7222.00000,3.80000,1880.40000,36.30000,6651.20000,13873.20000
2010-12-31,338.00000,1071.30000,138.00000,67.60000,1673.00000,390.00000,10752.90000,197.20000,12503.30000,14176.30000,1300.40000,4935.20000,433.50000,6314.30000,7614.70000,3.80000,1471.20000,87.90000,6561.60000,14176.30000
2009-12-31,430.90000,941.60000,141.20000,71.50000,1666.10000,375.90000,10629.70000,131.80000,12331.50000,13997.60000,1234.70000,3016.60000,207.00000,4244.30000,5479.00000,3.80000,1134.60000,82.20000,8518.60000,13997.60000
