,cash-on-hand,total-current-assets,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,10294.00000,93237.00000,4879.00000,2392.00000,4056.00000,11327.00000,104564.00000,77500.00000,14191.00000,14191.00000,91691.00000,1.00000,16716.00000,-125.00000,12873.00000,104564.00000
2021-12-31,8337.00000,84750.00000,5283.00000,2273.00000,3442.00000,10998.00000,95748.00000,67586.00000,14507.00000,14507.00000,82093.00000,1.00000,14245.00000,-69.00000,13655.00000,95748.00000
2020-12-31,11524.00000,83131.00000,7469.00000,2203.00000,3145.00000,12817.00000,95948.00000,67472.00000,15775.00000,15775.00000,83247.00000,1.00000,10621.00000,-51.00000,12701.00000,95948.00000
2019-12-31,12147.00000,94485.00000,5911.00000,2343.00000,2087.00000,10341.00000,104826.00000,69872.00000,19866.00000,19866.00000,89738.00000,1.00000,12117.00000,-58.00000,15088.00000,104826.00000
2018-12-31,9396.00000,96108.00000,6062.00000,2161.00000,2461.00000,10684.00000,106792.00000,68118.00000,23996.00000,23996.00000,92114.00000,1.00000,8986.00000,-62.00000,14678.00000,106792.00000
2017-12-31,11602.00000,87975.00000,4473.00000,1740.00000,1620.00000,7833.00000,95808.00000,60775.00000,20799.00000,20799.00000,81574.00000,1.00000,6809.00000,-64.00000,14234.00000,95808.00000
2016-12-31,9321.00000,81314.00000,5110.00000,1661.00000,2122.00000,8893.00000,90207.00000,55864.00000,20147.00000,20147.00000,76011.00000,1.00000,5330.00000,-53.00000,14196.00000,90207.00000
2015-12-31,12325.00000,77118.00000,3142.00000,1650.00000,2080.00000,6872.00000,83990.00000,47107.00000,24279.00000,24279.00000,71386.00000,1.00000,3293.00000,-41.00000,12604.00000,83990.00000
2014-12-31,11828.00000,70210.00000,1598.00000,1468.00000,2431.00000,5497.00000,75707.00000,37769.00000,27460.00000,27460.00000,65229.00000,1.00000,1079.00000,-10.00000,10478.00000,75707.00000
2013-12-31,2319.00000,56681.00000,236.00000,1249.00000,919.00000,2404.00000,59085.00000,28804.00000,24321.00000,24321.00000,53125.00000,5973.00000,,-13.00000,5960.00000,59085.00000
2012-12-31,1334.00000,51373.00000,193.00000,1191.00000,705.00000,2089.00000,53462.00000,21065.00000,27815.00000,27815.00000,48880.00000,4580.00000,,2.00000,4582.00000,53462.00000
2011-12-31,,,,0.00000,,,0.00000,,,,0.00000,0.00000,,,0.00000,0.00000
