,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,7771.35400,7038.57500,7585.60400,1905.64600,24301.18000,4155.60900,973.10500,5687.33300,779.45330,13944.92000,38246.10000,18947.52000,3702.56100,6031.64900,10015.52000,28963.04000,38.24570,9531.60400,451.25690,,9283.05900,38246.10000
2021-12-31,8980.08400,4985.11000,6127.51200,1428.12000,21520.83000,3528.83200,1055.91700,6516.16000,1196.58700,14245.47000,35766.30000,14549.76000,4821.13200,4113.40200,9219.18800,23768.95000,43.18320,9840.19700,394.56380,,11997.34000,35766.30000
2020-12-31,8397.73200,3450.66000,5219.62500,1128.82100,18196.84000,2821.82400,937.48560,6485.97900,1086.89800,12950.71000,31147.55000,7543.17800,5326.31600,2167.40000,7765.92600,15309.10000,42.95050,12258.59000,204.92860,,15838.45000,31147.55000
2019-12-31,5284.27200,2633.45600,4266.30400,1402.80000,13586.83000,2239.21600,932.96000,6322.96000,930.04800,11758.32000,25345.15000,5257.39200,3481.29600,2240.67200,5984.49600,11241.89000,42.78400,10666.66000,311.13600,,14103.26000,25345.15000
2018-12-31,4764.62600,2491.08300,4062.05000,1119.82400,12437.58000,1877.19900,1081.56000,6666.86300,952.00400,11344.10000,23781.68000,4478.23400,3574.29600,1684.46000,5555.42400,10033.66000,45.58660,10862.72000,336.58500,,13748.02000,23781.68000
2017-12-31,3716.76600,2070.03100,3343.88000,1049.93600,10180.61000,1809.38400,1110.18100,6450.73500,681.23180,10386.78000,20567.39000,3777.35000,3391.01300,961.09410,4722.73200,8500.08200,43.85560,8150.93300,284.27040,,12067.31000,20567.39000
2016-12-31,4489.33000,1269.92300,3077.32000,633.07810,9469.65100,1867.09600,,6857.39900,677.57670,9570.46700,19040.12000,3630.30800,3399.24600,704.07870,4542.46500,8172.77200,43.59010,6952.21900,665.25700,,10867.34000,19040.12000
2015-12-31,3785.04000,1203.91700,2857.87000,563.97660,8558.63100,1799.60100,,3733.96600,500.65940,6204.17100,14762.80000,3450.20400,1249.72600,462.83030,1997.64100,5447.84400,43.06800,5867.70400,524.46410,,9314.95800,14762.80000
2014-12-31,3661.35900,1659.75200,3389.49800,576.87230,9499.45100,1924.19200,,4096.07200,591.29930,6723.25200,16222.70000,3840.17600,1528.53000,552.04900,2396.04200,6236.21800,52.40900,6179.30600,281.83290,,9986.48600,16222.70000
2013-12-31,3998.95100,1499.37600,3178.65100,489.81590,9332.07500,1617.65700,,3700.94000,396.57590,5961.61200,15293.69000,3810.44200,1421.52700,382.23430,2288.18600,6098.62800,53.25420,5813.45500,-56.37040,,9195.06000,15293.69000
2012-12-31,3469.38500,1119.49200,2388.24900,389.84390,7500.33200,1324.58400,,204.63270,400.66900,2030.28400,9530.61600,2683.16800,972.13730,531.30720,1617.01600,4300.18500,48.19020,5056.12100,101.58520,,5230.43100,9530.61600
2011-12-31,3804.85000,1336.39000,2274.02000,337.89000,7753.16000,1467.45000,,589.29000,422.85000,2775.28000,10528.45000,3109.84000,1016.88000,937.49000,2237.66000,5347.51000,0.00000,,,0.00000,5180.93000,10528.45000
2010-12-31,2589.13000,1491.89000,1991.98000,283.50000,6356.52000,989.68000,,567.14000,345.64000,2213.45000,8570.00000,2838.51000,937.09000,510.97000,1717.88000,4556.42000,0.00000,,,0.00000,4013.57000,8570.00000
2009-12-31,1446.30000,556.43000,1343.53000,487.32000,3833.59000,862.84000,,208.61000,107.45000,1364.74000,5198.36000,1456.19000,924.76000,79.56000,1267.06000,2723.27000,54.42000,2022.38000,,38.38000,2475.09000,5198.36000
