,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1581.00000,399.00000,550.00000,216.00000,,2746.00000,2171.00000,,214.00000,375.00000,14594.00000,17340.00000,1740.00000,4071.00000,340.00000,4851.00000,6591.00000,916.00000,2389.00000,-247.00000,10749.00000,17340.00000
2021-12-31,1879.00000,531.00000,520.00000,205.00000,,3135.00000,2057.00000,,255.00000,503.00000,14517.00000,17652.00000,954.00000,5099.00000,346.00000,5931.00000,6885.00000,934.00000,2131.00000,-479.00000,10767.00000,17652.00000
2020-12-31,495.00000,532.00000,443.00000,139.00000,,1609.00000,2013.00000,,268.00000,401.00000,14702.00000,16311.00000,950.00000,5325.00000,370.00000,6630.00000,7580.00000,934.00000,411.00000,-822.00000,8731.00000,16311.00000
2019-12-31,139.00000,407.00000,416.00000,147.00000,502.00000,1611.00000,1969.00000,,281.00000,414.00000,14795.00000,16406.00000,1006.00000,6147.00000,377.00000,7223.00000,8229.00000,932.00000,-3.00000,-904.00000,8177.00000,16406.00000
2018-12-31,334.00000,474.00000,389.00000,152.00000,253.00000,1602.00000,1857.00000,362.00000,294.00000,312.00000,15647.00000,17249.00000,1939.00000,5419.00000,275.00000,6264.00000,8203.00000,933.00000,1093.00000,-1152.00000,9046.00000,17249.00000
2017-12-31,824.00000,410.00000,383.00000,98.00000,,1715.00000,1618.00000,,308.00000,971.00000,16344.00000,18059.00000,1165.00000,6232.00000,276.00000,7995.00000,9160.00000,944.00000,1078.00000,-1562.00000,8899.00000,18059.00000
2016-12-31,676.00000,474.00000,358.00000,114.00000,,1622.00000,1562.00000,56.00000,359.00000,839.00000,17621.00000,19243.00000,1206.00000,6840.00000,695.00000,8857.00000,10063.00000,936.00000,1421.00000,-1459.00000,9180.00000,19243.00000
2015-12-31,1011.00000,306.00000,325.00000,63.00000,,3639.00000,1233.00000,,54.00000,844.00000,9081.00000,12720.00000,1325.00000,5298.00000,241.00000,6526.00000,7851.00000,638.00000,1349.00000,-1212.00000,4869.00000,12720.00000
2014-12-31,1580.00000,550.00000,595.00000,80.00000,,2805.00000,2623.00000,803.00000,40.00000,289.00000,10460.00000,13265.00000,918.00000,5402.00000,308.00000,7043.00000,7961.00000,656.00000,1508.00000,-1393.00000,5304.00000,13265.00000
2013-12-31,830.00000,619.00000,542.00000,117.00000,,2326.00000,2689.00000,805.00000,42.00000,324.00000,12251.00000,14577.00000,1128.00000,5402.00000,414.00000,6617.00000,7745.00000,729.00000,294.00000,-686.00000,6832.00000,14577.00000
2012-12-31,1082.00000,618.00000,531.00000,88.00000,,2407.00000,2872.00000,828.00000,40.00000,400.00000,10185.00000,12592.00000,1605.00000,4393.00000,551.00000,6874.00000,8479.00000,678.00000,219.00000,-1558.00000,4113.00000,12592.00000
2011-12-31,950.00000,490.00000,476.00000,68.00000,,2065.00000,2901.00000,213.00000,40.00000,1484.00000,10569.00000,12634.00000,941.00000,4466.00000,1364.00000,7426.00000,8367.00000,671.00000,176.00000,-1179.00000,4267.00000,12634.00000
2010-12-31,1466.00000,451.00000,478.00000,81.00000,,2589.00000,3217.00000,210.00000,40.00000,1407.00000,10840.00000,13429.00000,1074.00000,5060.00000,1385.00000,7741.00000,8815.00000,670.00000,181.00000,-791.00000,4614.00000,13429.00000
2009-12-31,1911.00000,1118.00000,447.00000,82.00000,,3667.00000,3611.00000,214.00000,40.00000,1054.00000,11583.00000,15250.00000,955.00000,5683.00000,1020.00000,10241.00000,11196.00000,264.00000,2658.00000,-664.00000,4054.00000,15250.00000
