,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1449.34600,6200.83600,7650.18300,423.23200,23026.43000,185.50900,1471.61300,26210.92000,33861.10000,22832.01000,2837.19400,1377.74000,4260.93000,27092.94000,105.80300,10161.00000,-1264.58100,6768.16100,33861.10000
2021-12-31,1568.84300,5445.99800,7014.84100,419.88300,22294.75000,169.65200,1453.71600,25071.57000,32086.41000,20806.66000,3267.06800,1306.41400,4612.02000,25418.68000,105.80300,9015.13500,-281.95500,6667.73000,32086.41000
2020-12-31,2372.36600,5117.02800,7489.39400,405.93000,18602.23000,169.65200,1354.48400,21117.52000,28606.91000,18283.74000,2725.33400,1188.59400,3997.37100,22281.12000,70.53500,8348.38100,-62.17200,6325.79700,28606.91000
2019-12-31,1023.71000,4554.41200,5578.12200,422.09100,18612.46000,169.65200,1353.74200,21084.02000,26662.14000,16600.07000,2626.27900,1281.03100,3943.73200,20543.80000,70.53500,7932.37200,-257.29900,6118.34200,26662.14000
2018-12-31,817.60200,4087.28100,4904.88300,416.37200,17867.57000,173.03700,1000.99600,19991.09000,24895.98000,15583.36000,2789.51900,1043.30400,3832.82300,19416.18000,70.53500,7558.61900,-510.47000,5479.79800,24895.98000
2017-12-31,950.47100,3746.32400,4696.79500,422.96000,17587.11000,178.94500,906.56300,19603.12000,24299.92000,15207.05000,2497.27000,1046.34500,3641.70600,18848.75000,47.02400,6956.88200,68.54100,5451.16300,24299.92000
2016-12-31,795.28500,3930.42700,4725.71200,349.43200,16776.84000,144.51300,830.45800,18639.13000,23364.84000,14693.62000,2488.22500,967.49700,3590.08700,18283.71000,47.02400,6595.98700,55.56800,5081.13400,23364.84000
2015-12-31,763.63100,3585.13000,4348.76100,348.22400,15474.63000,153.29100,892.93200,17382.21000,21730.97000,14031.04000,2184.94100,874.97200,3066.72400,17097.76000,47.02400,6178.07000,-66.69800,4633.20800,21730.97000
2014-12-31,674.44100,3525.56300,4200.00400,332.09800,15712.19000,150.94400,832.92900,17516.69000,21716.69000,13633.70000,2455.58700,965.81500,3458.85400,17092.56000,47.02400,5732.41000,183.55000,4624.13400,21716.69000
2013-12-31,839.73800,3395.51900,4235.25700,339.44800,14666.96000,110.14600,727.76500,16316.54000,20551.80000,13139.13000,2032.24200,1011.02700,3043.26900,16182.40000,47.02400,5265.01500,189.39100,4369.39400,20551.80000
2012-12-31,905.67000,3337.97300,4243.64300,267.22700,14594.67000,87.86500,558.44400,15912.25000,20155.90000,12542.32000,2114.74100,1103.11300,3278.10900,15820.43000,47.02400,4817.80700,465.63100,4335.46600,20155.90000
2011-12-31,911.74200,2740.12300,3651.86500,262.27500,13573.29000,87.86500,463.63700,14752.01000,18403.87000,11767.91000,1743.50000,928.74300,2675.07800,14442.99000,47.02400,4491.16200,354.85100,3960.88200,18403.87000
2010-12-31,642.95200,2496.69900,3139.65100,254.72000,13133.78000,90.58100,438.38400,14388.89000,17528.55000,11185.99000,1743.20300,889.49500,2632.69800,13818.69000,47.02400,4194.68400,276.56300,3709.85600,17528.55000
2009-12-31,515.43000,2330.83800,2846.26800,246.60500,13180.76000,90.58100,382.57000,14482.33000,17328.60000,11208.14000,1595.27400,923.23200,2518.50600,13726.65000,47.02400,3785.18700,163.20700,3601.94600,17328.60000
