,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-01-31,1242.50000,765.30000,1348.50000,169.00000,128.40000,3653.70000,906.10000,6135.90000,352.10000,8743.10000,12396.80000,2787.50000,2317.60000,788.50000,4320.50000,7108.00000,87.10000,4562.80000,-612.70000,5288.80000,12396.80000
2021-01-31,1651.40000,666.60000,1417.10000,158.20000,50.40000,3943.70000,942.70000,6472.50000,369.80000,9349.80000,13293.50000,2582.40000,3513.70000,1039.80000,5980.80000,8563.20000,86.30000,3613.20000,-519.10000,4730.30000,13293.50000
2020-01-31,503.40000,765.10000,1615.70000,159.90000,350.10000,3394.20000,1026.80000,7158.30000,375.90000,10236.80000,13631.00000,2361.10000,2693.90000,1234.50000,5458.40000,7819.50000,85.90000,4753.00000,-640.10000,5811.50000,13631.00000
2019-01-31,452.00000,803.80000,1732.40000,168.70000,81.70000,3238.60000,984.50000,7239.70000,400.90000,8625.10100,11863.70000,1893.90000,2819.40000,1322.40000,4142.00000,6035.90000,85.40000,4350.10000,-507.90000,5827.80000,11863.70000
2018-01-31,493.90000,696.40000,1591.30000,184.50000,64.70000,3030.80000,899.80000,7561.30000,393.80000,8854.89900,11885.70000,1871.60000,3061.30000,1414.40000,4477.70000,6349.30000,84.90000,3625.20000,-321.50000,5536.40000,11885.70000
2017-01-31,730.10000,641.40000,1317.90000,133.20000,57.00000,2879.60000,759.90000,7079.90000,348.50000,8188.30000,11067.90000,1564.80000,3197.30000,1499.30000,4698.60000,6263.40000,83.90000,3098.00000,-710.80000,4804.50000,11067.90000
2016-01-31,556.40000,685.90000,1322.30000,150.40000,89.50000,2804.50000,744.60000,6865.70000,259.00000,7869.30000,10673.80000,1527.20000,3031.70000,1562.60000,4594.30000,6121.50000,83.50000,2561.20000,-704.20000,4552.30000,10673.80000
2015-01-31,479.30000,743.20000,1257.30000,141.10000,164.90000,2785.80000,725.70000,7040.70000,272.70000,8039.10100,10824.90000,1428.10000,3438.70000,1593.80000,5032.50000,6460.60000,83.10000,2001.30000,-416.50000,4364.30000,10824.90000
2014-01-31,593.20000,761.20000,1281.00000,151.90000,211.30000,2998.60000,712.10000,7559.00000,305.90000,8577.00000,11575.60000,1552.40000,3878.20000,1804.20000,5688.00000,7240.40000,82.70000,1574.80000,42.30000,4335.20000,11575.60000
2013-01-31,892.20900,441.32400,878.41500,157.80200,67.25600,2437.00600,561.33500,4539.89200,193.45400,5294.68100,7731.68700,1162.44700,2211.64200,1105.02900,3316.67100,4479.11800,73.32400,1445.67300,139.88200,3252.56900,7731.68700
2012-01-31,233.19700,480.96500,809.00900,111.22800,104.83600,1739.23500,458.89100,4380.85300,173.38200,5013.12600,6752.36100,1043.87100,1832.92500,1160.11600,2993.04100,4036.91200,68.29800,1022.81800,73.83500,2715.44900,6752.36100
2011-01-31,498.71800,447.16100,710.86800,80.97400,97.56800,1835.28900,404.57700,4421.51600,122.96800,4949.06100,6784.35000,931.25500,2364.00200,1046.54900,3410.55100,4341.80600,67.23500,840.07200,55.74400,2442.54400,6784.35000
2010-01-31,480.88200,196.60300,263.78800,41.03800,12.57200,994.88300,167.47400,1158.37000,18.95200,1344.79600,2339.67900,362.88100,399.58400,408.66100,808.24500,1171.12600,57.13900,796.28200,-80.44800,1168.55300,2339.67900
2009-01-31,328.16700,200.60500,282.67800,35.28000,17.69900,864.42900,192.80900,1118.40400,24.54200,1335.75500,2200.18400,349.23800,399.56700,452.58400,852.15100,1201.38900,56.70900,642.18300,-73.02000,998.79500,2200.18400
