,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,683.00000,1310.00000,63.00000,155.00000,2211.00000,17479.00000,,464.00000,17943.00000,20154.00000,1193.00000,2181.00000,771.00000,6302.00000,7495.00000,77.00000,4636.00000,13.00000,12659.00000,20154.00000
2021-12-31,1046.00000,1037.00000,39.00000,14.00000,2136.00000,17375.00000,,389.00000,17764.00000,19900.00000,1220.00000,3125.00000,666.00000,6942.00000,8162.00000,89.00000,2563.00000,1.00000,11738.00000,19900.00000
2020-12-31,152.00000,221.00000,15.00000,28.00000,416.00000,4045.00000,,63.00000,4108.00000,4524.00000,390.00000,946.00000,167.00000,1918.00000,2308.00000,48.00000,2185.00000,2.00000,2216.00000,4524.00000
2019-12-31,213.78300,338.81800,13.93200,1.71500,568.24800,3855.70600,,63.29100,3918.99700,4487.24500,328.03400,1133.02500,139.88200,2007.72400,2335.75800,47.68800,2143.21300,1.36000,2151.48700,4487.24500
2018-12-31,2.28700,471.65400,11.07600,59.52800,544.54500,3463.60600,163.18100,27.49700,3654.28400,4198.82900,287.26400,1226.10400,110.79300,1823.40600,2110.67000,47.61000,1607.65800,4.43700,2088.15900,4198.82900
2017-12-31,480.04700,272.67000,8.00600,4.23400,764.95700,3072.20400,86.07700,804.10600,3962.38700,4727.34400,630.05000,1217.89100,99.07200,1573.38900,2203.43900,47.55500,1162.43000,2.07700,2523.90500,4727.34400
2016-12-31,498.54200,201.34300,13.30400,2.69200,715.88100,4250.12500,129.52400,27.03900,4406.68800,5122.56900,257.81200,1520.53000,160.85400,2297.09000,2554.90200,47.50400,1098.70300,0.98500,2567.66700,5122.56900
2015-12-31,0.51400,124.55200,17.04900,2.67100,144.78600,4976.87900,103.51700,27.85600,5108.25200,5253.03800,235.55200,1996.13900,169.63000,3008.29800,3243.85000,42.37700,1552.01400,-0.36500,2009.18800,5253.03800
2014-12-31,20.95400,239.00900,14.02600,139.45800,413.44700,4925.71100,68.02900,30.52900,5024.26900,5437.71600,499.01800,1752.00000,164.26200,2795.96500,3294.98300,42.29200,1698.99500,-2.15100,2142.73300,5437.71600
2013-12-31,51.49400,222.47600,17.46800,5.60600,378.89900,4546.22700,26.89200,29.06200,4602.18100,4981.08000,407.90500,1147.00000,120.10700,2368.57300,2776.47800,42.20100,1627.80500,-8.36100,2204.60200,4981.08000
2012-12-31,30.73600,172.41900,14.17300,52.98200,270.31000,4310.97700,,35.02600,4346.00300,4616.31300,444.13900,1012.00000,107.19100,2040.72700,2484.86600,42.08600,1373.26400,23.88000,2131.44700,4616.31300
2011-12-31,29.91100,115.76900,21.27800,178.84200,345.80000,3934.58400,,51.10900,3985.69300,4331.49300,343.34400,950.00000,92.08100,1883.38100,2226.72500,20.90200,1258.29100,104.54700,2104.76800,4331.49300
2010-12-31,55.94900,94.48800,29.66700,22.90400,203.00800,3762.76000,,39.26300,3802.02300,4005.03100,303.83500,975.00000,104.49000,1828.49600,2132.33100,20.84200,1148.39100,-3.68300,1872.70000,4005.03100
2009-12-31,40.15800,89.27100,27.99000,124.08300,281.50200,3358.19900,,43.70000,3401.89900,3683.40100,308.74100,805.00000,57.51000,1562.14600,1870.88700,10.38600,1057.47200,42.43600,1812.51400,3683.40100
