,cash-on-hand,receivables-total,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,143.40000,1677.20000,536.50000,2357.10000,10744.00000,14798.70000,1153.10000,26695.80000,29052.90000,3390.70000,11329.50000,3117.10000,15975.40000,19366.10000,3.20000,7356.30000,-12.10000,9686.80000,29052.90000
2021-12-31,29.00000,1271.40000,410.40000,1710.80000,9232.10000,13085.50000,926.60000,23244.20000,24955.00000,2415.60000,9546.20000,2784.00000,13559.70000,15975.30000,3.20000,6475.60000,-14.60000,8979.70000,24955.00000
2020-12-31,38.20000,1091.30000,392.30000,1521.80000,8726.20000,12219.50000,966.50000,21912.20000,23434.00000,2282.00000,8766.10000,2658.30000,12663.20000,14945.20000,3.20000,5751.80000,-12.40000,8488.80000,23434.00000
2019-12-31,47.10000,1125.90000,433.00000,1606.00000,8383.50000,11767.30000,927.00000,21077.80000,22683.80000,3064.60000,7758.60000,2559.10000,11498.30000,14562.90000,3.50000,5317.30000,2.20000,8120.90000,22683.80000
2018-12-31,70.50000,1102.70000,391.20000,1564.40000,8020.10000,11506.60000,525.90000,20052.60000,21617.00000,2718.60000,7646.80000,2293.80000,10968.90000,13687.50000,3.50000,4750.50000,30.80000,7929.50000,21617.00000
2017-12-31,83.30000,1105.90000,247.60000,1436.80000,7777.40000,11456.50000,476.30000,19710.20000,21147.00000,2634.80000,7480.70000,2274.00000,10551.10000,13185.90000,3.50000,4152.50000,22.60000,7961.10000,21147.00000
2016-12-31,67.80000,994.80000,221.90000,1284.50000,7588.60000,11345.50000,411.00000,19345.10000,20629.60000,1812.00000,7653.10000,2260.60000,11123.90000,12935.90000,3.50000,3324.00000,14.20000,7693.70000,20629.60000
2015-12-31,32.40000,962.90000,235.00000,1230.30000,7552.80000,11391.90000,360.90000,19305.60000,20535.90000,1834.80000,7527.40000,2265.30000,10924.50000,12759.30000,3.50000,3138.30000,-30.50000,7776.60000,20535.90000
2014-12-31,75.20000,930.40000,263.40000,1391.00000,7165.30000,11129.80000,407.90000,18703.00000,20094.00000,1826.00000,7050.80000,2320.40000,10520.20000,12346.20000,4.10000,2795.00000,-28.90000,7747.80000,20094.00000
2013-12-31,213.30000,890.70000,200.30000,1421.90000,7036.80000,11039.90000,450.60000,18527.30000,19949.20000,1717.10000,7002.40000,2138.20000,10326.00000,12043.10000,4.10000,2632.70000,3.00000,7906.10000,19949.20000
2012-12-31,67.60000,836.60000,209.30000,1231.30000,6910.30000,11048.70000,426.60000,18385.60000,19616.90000,1695.00000,7051.10000,1932.40000,10216.20000,11911.20000,4.10000,2403.20000,-5.80000,7705.70000,19616.90000
2011-12-31,66.30000,825.80000,215.90000,1265.70000,6792.30000,11056.60000,436.90000,18285.80000,19551.50000,1897.50000,6887.00000,1922.50000,9970.60000,11868.10000,4.00000,2164.70000,-21.50000,7683.40000,19551.50000
2010-12-31,88.30000,828.90000,207.40000,1246.10000,6698.50000,11106.60000,410.70000,18215.80000,19461.90000,2676.50000,5865.10000,2026.60000,8936.50000,11613.00000,4.00000,1890.30000,21.90000,7848.90000,19461.90000
2009-12-31,48.00000,865.10000,156.50000,1264.90000,6657.70000,11167.10000,450.60000,18275.40000,19540.30000,2548.70000,6419.60000,1964.40000,9424.50000,11973.20000,4.00000,1683.10000,19.00000,7567.10000,19540.30000
