,cash-on-hand,receivables-total,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,18942.00000,1674.00000,5567.00000,26183.00000,3221.00000,1129.00000,9142.00000,3380.00000,16872.00000,43055.00000,17178.00000,9034.00000,1473.00000,10507.00000,27685.00000,33.00000,25492.00000,-1304.00000,15370.00000,43055.00000
2021-12-31,16586.00000,1814.00000,6493.00000,24893.00000,3073.00000,921.00000,11092.00000,4379.00000,19465.00000,44358.00000,15331.00000,10541.00000,2383.00000,12924.00000,28255.00000,33.00000,23086.00000,42.00000,16103.00000,44358.00000
2020-12-31,17227.00000,1138.00000,5276.00000,23641.00000,2371.00000,2382.00000,4447.00000,2128.00000,11328.00000,34969.00000,13394.00000,6060.00000,1787.00000,7847.00000,21241.00000,33.00000,20517.00000,391.00000,13728.00000,34969.00000
2019-12-31,15026.00000,1056.00000,3806.00000,19888.00000,1955.00000,1469.00000,3928.00000,1834.00000,9186.00000,29074.00000,10929.00000,4967.00000,1141.00000,6108.00000,17037.00000,33.00000,17483.00000,156.00000,12037.00000,29074.00000
2018-12-31,12369.00000,1015.00000,3564.00000,16948.00000,1735.00000,1458.00000,3897.00000,1375.00000,8465.00000,25413.00000,10077.00000,4375.00000,800.00000,5175.00000,15252.00000,33.00000,15072.00000,-159.00000,10161.00000,25413.00000
2017-12-31,13599.00000,854.00000,2949.00000,17402.00000,1584.00000,2745.00000,3281.00000,2166.00000,9776.00000,27178.00000,9406.00000,4770.00000,3160.00000,7930.00000,17336.00000,33.00000,13670.00000,19.00000,9842.00000,27178.00000
2016-12-31,11472.00000,1280.00000,3438.00000,16190.00000,1505.00000,2203.00000,3272.00000,2226.00000,9206.00000,25396.00000,7822.00000,3792.00000,3097.00000,6889.00000,14711.00000,33.00000,11454.00000,-66.00000,10685.00000,25396.00000
2015-12-31,9838.00000,1161.00000,4712.00000,15711.00000,1384.00000,1843.00000,3265.00000,2475.00000,8967.00000,24678.00000,8152.00000,3794.00000,2386.00000,6180.00000,14332.00000,33.00000,11017.00000,58.00000,10346.00000,24678.00000
2014-12-31,9533.00000,1053.00000,4950.00000,15536.00000,1228.00000,1949.00000,3231.00000,1583.00000,7991.00000,23527.00000,7471.00000,3825.00000,2585.00000,6410.00000,13881.00000,33.00000,9916.00000,223.00000,9646.00000,23527.00000
2013-12-31,9228.00000,950.00000,2122.00000,12300.00000,1218.00000,1710.00000,3733.00000,1774.00000,8435.00000,20735.00000,6323.00000,2600.00000,2496.00000,5096.00000,11419.00000,33.00000,8942.00000,158.00000,9316.00000,20735.00000
2012-12-31,9307.00000,733.00000,1670.00000,11710.00000,1098.00000,1846.00000,3640.00000,1685.00000,8269.00000,19979.00000,6375.00000,2611.00000,2146.00000,4757.00000,11132.00000,32.00000,7881.00000,386.00000,8847.00000,19979.00000
2011-12-31,9120.00000,1034.00000,1027.00000,11181.00000,912.00000,1710.00000,2740.00000,1165.00000,6527.00000,17708.00000,6056.00000,1659.00000,1930.00000,3589.00000,9645.00000,32.00000,6825.00000,303.00000,8063.00000,17708.00000
2010-12-31,8546.00000,959.00000,632.00000,10137.00000,815.00000,1500.00000,2568.00000,1083.00000,5966.00000,16103.00000,5744.00000,1669.00000,1766.00000,3435.00000,9179.00000,32.00000,5529.00000,120.00000,6924.00000,16103.00000
2009-12-31,7923.23600,823.62000,505.96000,9252.81600,679.14200,1307.08800,1992.92400,921.52400,4900.67800,14153.49000,5259.99200,1678.16600,1439.33300,3117.49900,8377.49100,31.63400,4429.61100,42.13500,5776.00300,14153.49000
