,cash-on-hand,receivables-total,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1105.31600,679.20600,185.04000,1969.56200,1540.18200,320.53100,3205.55400,116.52200,6333.83800,8303.40000,818.86800,2285.25800,105.30500,3124.34500,3943.21300,1.56500,1920.35100,-140.33200,4360.18700,8303.40000
2021-12-31,1078.19500,675.92600,166.31300,1920.43400,1534.32900,1088.04800,2469.47900,142.28700,6218.23900,8138.67300,790.34100,1976.16700,68.74800,2818.31800,3608.65900,1.60500,1256.69200,-69.10500,4530.01400,8138.67300
2020-12-31,1098.07300,660.05200,171.40600,1929.53100,1478.27200,1398.80200,1909.09500,147.56700,5834.59900,7764.13000,758.17000,1906.70700,89.83300,2754.66400,3512.83400,1.62700,605.05000,-20.20100,4251.29600,7764.13000
2019-12-31,1536.99400,551.94300,142.67600,2231.61300,1152.15300,835.38400,1779.69600,173.06200,4775.27300,7006.88600,693.33600,1839.79100,90.06500,2655.59200,3348.92800,1.62000,47.99600,-45.14400,3657.95800,7006.88600
2018-12-31,1892.10500,479.88900,163.36000,2535.35400,910.61800,209.06600,1655.75200,116.06700,2926.41600,5461.77000,1210.70900,874.08000,160.94000,1059.20100,2269.91000,1.62900,-430.89000,-48.91200,3191.86000,5461.77000
2017-12-31,711.93600,461.45700,172.85300,1346.24600,862.53500,567.59200,1699.94700,136.36500,3302.67000,4648.91600,456.69400,662.91300,142.95500,829.75310,1286.44700,1.69900,-690.66200,-21.93000,3362.46900,4648.91600
2016-12-31,837.01800,368.59600,104.30300,1309.91700,801.01700,779.31100,1377.96600,95.95300,3063.22900,4373.14600,374.58800,640.08700,118.69100,774.18790,1148.77600,1.73300,-960.72900,-56.22200,3224.37000,4373.14600
2015-12-31,749.56100,380.39900,123.22800,1253.18800,753.18000,774.67400,1306.33900,89.60300,2928.49600,4181.68400,332.44000,618.04700,93.26800,728.36600,1060.80600,1.77200,-1276.86100,-41.45300,3120.87800,4181.68400
2014-12-31,758.29200,329.57800,128.98100,1262.55500,601.59100,869.99200,1183.70600,81.74700,2738.99100,4001.54600,334.01100,604.85100,74.22100,722.20000,1056.21100,1.78300,-1598.26700,-17.61100,2945.33500,4001.54600
2013-12-31,673.89600,271.98800,62.09600,1029.71400,450.28700,573.02600,834.79700,67.53600,1927.97100,2957.68500,263.16600,,57.15200,65.08800,328.25400,1.80800,-1932.21500,-2.09100,2629.43100,2957.68500
2012-12-31,437.58100,218.77700,51.60400,728.38400,345.09100,657.65900,808.25500,39.81100,1872.24300,2600.62700,202.94400,,49.36400,51.92900,254.87300,2.01500,-2225.70200,-1.64000,2345.75400,2600.62700
2011-12-31,849.22600,210.93600,55.41400,1122.02000,293.04300,380.72900,498.30000,7.92400,1223.48100,2345.50100,148.39200,,38.38900,40.85900,189.25100,1.95900,-2429.69100,-1.25900,2156.25000,2345.50100
2010-12-31,606.87100,175.36600,48.02900,858.46700,255.92900,636.53100,515.37000,11.15300,1494.20900,2352.67600,145.15100,,26.27800,29.92000,175.07100,1.92400,-2630.59500,-5.74100,2177.60500,2352.67600
2009-12-31,566.74100,154.26900,31.64900,761.17300,182.40400,494.74300,517.62000,4.41600,1326.33700,2087.51000,327.29300,,18.81800,21.49500,348.78800,1.74600,-2801.81500,-10.68200,1738.72200,2087.51000
