,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1735.07000,501.91200,427.21100,138.34000,2802.53300,248.17900,,512.18700,64.89500,871.99900,3674.53200,818.40400,8.83500,52.30900,870.71300,0.18700,-2154.34700,3.51000,2803.81900,3674.53200
2021-12-31,2160.03600,389.25600,200.66300,119.23900,2869.19400,210.07300,,535.26400,47.18400,850.41000,3719.60400,568.85400,28.94600,85.61100,654.46500,0.18300,-1544.03900,1.17900,3065.13900,3719.60400
2020-12-31,2559.42000,324.98800,116.13600,61.84000,3062.38400,196.70000,100.83000,558.35100,21.16100,938.52200,4000.90600,388.13800,62.78400,124.66800,512.80600,0.18100,-869.56800,0.56500,3488.10000,4000.90600
2019-12-31,811.05500,236.00100,85.93200,43.65300,1176.64100,155.49100,57.28300,574.69600,176.52500,1029.22500,2205.86600,259.35700,2.61500,70.22200,329.57900,0.17200,-1483.23800,0.22900,1876.28700,2205.86600
2018-12-31,410.67200,146.28100,53.23900,43.40300,653.59500,103.82000,49.19400,274.67100,422.04900,849.73400,1503.32900,225.07200,4.31400,4.31400,229.38600,0.16000,-1324.58800,-0.04000,1273.94300,1503.32900
2017-12-31,413.17100,84.77400,59.97800,19.13800,577.06100,103.75600,,,197.13200,300.88800,877.94900,167.12900,2.63300,33.25100,200.38000,0.14400,-1192.57000,63.83600,677.56900,877.94900
2016-12-31,588.98600,61.92800,68.12400,15.61000,734.64800,62.87000,29.98800,,10.89000,103.74800,838.39600,148.51600,,55.79300,204.30900,0.14200,-1067.04000,-0.06300,634.08700,838.39600
2015-12-31,649.65100,52.93000,56.96300,11.51500,771.05900,49.59800,63.06000,,11.37800,124.03600,895.09500,134.26600,,74.91800,209.18400,0.14000,-926.92900,-0.68300,685.91100,895.09500
2014-12-31,313.41300,39.24800,43.45100,11.87400,407.98600,46.12900,,,4.85000,50.97900,458.96500,125.89300,,122.23800,248.13100,0.12400,-806.44300,-0.02900,210.83400,458.96500
2013-12-31,374.26700,29.50800,27.07300,6.40800,437.25600,40.78700,,,5.85500,46.64200,483.89800,99.19800,,154.51500,253.71300,0.12300,-730.30200,-0.01100,230.18500,483.89800
2012-12-31,364.25800,34.33600,37.74700,4.51900,440.86000,24.75200,,,5.81000,30.56200,471.42200,100.57700,,144.69700,245.27400,0.12000,-667.78200,0.03700,226.14800,471.42200
2011-12-31,330.69600,55.59600,9.46900,3.82000,399.58100,19.65200,,,5.98300,25.63500,425.21600,91.14000,,115.22700,206.36700,0.11600,-614.00000,0.02000,218.84900,425.21600
2010-12-31,281.80900,20.06100,,2.24600,304.11600,12.31100,13.03100,,0.47800,25.82000,329.93600,54.82100,,113.59700,168.41800,0.10200,-461.97000,-1.37300,161.51800,329.93600
2009-12-31,260.80500,81.47200,,6.30200,348.57900,12.32500,26.92500,,0.50400,39.75400,388.33300,104.49800,,77.63500,182.13300,0.10100,-395.70500,-1.24900,206.20000,388.33300
