,cash-on-hand,total-current-assets,net-property-plant-equipment,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,53.86900,53.86900,19060.90000,640.53300,19701.44000,20218.26000,162.33800,7425.72200,620.50200,8364.49700,8835.58000,3.78400,1658.83700,-2.54700,11382.68000,20218.26000
2021-12-31,123.83200,123.83200,19918.62000,652.07200,20570.70000,21169.24000,176.52300,8341.45300,652.74500,9493.17500,9982.03000,3.75500,1827.06300,-34.27200,11187.21000,21169.24000
2020-12-31,42.59100,42.59100,19343.67000,401.34500,19745.01000,20286.89000,173.26200,8044.25600,637.80600,9021.01300,9523.40000,3.72300,1399.71500,-43.66600,10763.49000,20286.89000
2019-12-31,45.75300,45.75300,20256.82000,357.42100,20614.24000,21172.77000,161.20200,9036.95600,635.35100,10135.71000,10628.24000,3.71700,1386.49500,-77.56300,10544.53000,21172.77000
2018-12-31,47.44200,47.44200,19814.74000,532.02600,20346.77000,20394.21000,165.09300,8817.93800,632.42200,9829.46700,9994.56000,3.69400,1261.76300,-64.98600,10399.65000,20394.21000
2017-12-31,50.64700,50.64700,19986.52000,533.43400,20519.95000,20570.60000,172.80100,8957.29100,599.68900,9923.93600,10096.74000,3.68000,1403.53000,-88.61200,10473.86000,20570.60000
2016-12-31,77.20700,77.20700,20026.04000,600.90500,20626.94000,20704.15000,208.42800,8987.25800,605.38600,10034.74000,10243.17000,3.65900,1543.62600,-113.90900,10460.98000,20704.15000
2015-12-31,42.27600,99.22200,20276.95000,2734.02800,23010.97000,23110.20000,272.34500,10921.37000,653.34700,12141.50000,12413.84000,3.64800,2009.09100,-152.01600,10696.36000,23110.20000
2014-12-31,40.08000,88.16500,22242.58000,561.49100,22862.45000,22950.61000,243.13000,10844.86000,654.11400,11999.71000,12242.84000,3.62900,1950.63900,-172.15200,10707.78000,22950.61000
2013-12-31,53.53400,96.17000,21993.24000,686.65000,22738.38000,22834.54000,197.10000,10766.25000,662.85100,11792.25000,11989.35000,3.60500,2047.25800,-155.16200,10845.20000,22834.54000
2012-12-31,612.59000,621.71910,16096.21000,438.69100,16579.28000,17201.00000,114.59500,8529.24400,631.68200,9559.29800,9673.89300,3.25100,887.35500,-193.14800,7527.10700,17201.00000
2011-12-31,383.92100,394.61300,15868.36000,351.71900,16264.69000,16659.30000,123.32700,9721.06100,535.65400,10673.12000,10796.45000,2.97500,615.57200,-196.71800,5862.85700,16659.30000
2010-12-31,431.40800,444.00100,15365.01000,333.14600,15740.19000,16184.19000,138.08300,9948.07600,505.91900,10837.54000,10975.62000,2.90200,203.58100,-57.81800,5208.57600,16184.19000
2009-12-31,193.28800,210.58000,14587.58000,572.95900,15206.94000,15417.51000,160.38600,9392.57000,431.76600,10082.62000,10243.00000,2.80000,353.65900,4.68100,5174.51300,15417.51000
