,cash-on-hand,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,29507.00000,352565.00000,3605.00000,129514.00000,34443.00000,35128.00000,202690.00000,555255.00000,436917.00000,43203.00000,14598.00000,57801.00000,494718.00000,6634.00000,26264.00000,-13601.00000,60537.00000,555255.00000
2021-12-31,28746.00000,318636.00000,3700.00000,154617.00000,32139.00000,32149.00000,222605.00000,541241.00000,421780.00000,35913.00000,14277.00000,50190.00000,471970.00000,6639.00000,22998.00000,-1604.00000,69271.00000,541241.00000
2020-12-31,24485.00000,324443.00000,3870.00000,120788.00000,29454.00000,30673.00000,184785.00000,509228.00000,387169.00000,39597.00000,11550.00000,51147.00000,438316.00000,6745.00000,19455.00000,716.00000,70912.00000,509228.00000
2019-12-31,26215.00000,332881.00000,3712.00000,74727.00000,29926.00000,31832.00000,140197.00000,473078.00000,352945.00000,41339.00000,12236.00000,53575.00000,406520.00000,6711.00000,19806.00000,-844.00000,66558.00000,473078.00000
2018-12-31,4378.00000,152821.00000,2118.00000,45590.00000,11698.00000,13470.00000,72876.00000,225697.00000,166377.00000,23709.00000,5433.00000,29142.00000,195519.00000,3817.00000,18118.00000,-1715.00000,30178.00000,225697.00000
2017-12-31,3083.00000,146393.00000,2055.00000,47574.00000,11385.00000,14235.00000,75249.00000,221642.00000,168299.00000,23648.00000,,23648.00000,191947.00000,3910.00000,16259.00000,-1467.00000,29695.00000,221642.00000
2016-12-31,4424.00000,147973.00000,2107.00000,43606.00000,11544.00000,14046.00000,71303.00000,219276.00000,167385.00000,21965.00000,,21965.00000,189350.00000,4047.00000,14809.00000,-1132.00000,29926.00000,219276.00000
2015-12-31,4167.00000,139693.00000,2007.00000,43827.00000,10114.00000,14306.00000,70254.00000,209947.00000,158838.00000,23769.00000,,23769.00000,182607.00000,3902.00000,13464.00000,-1028.00000,27340.00000,209947.00000
2014-12-31,2699.00000,122532.00000,1827.00000,41147.00000,8218.00000,13110.00000,64302.00000,186834.00000,139145.00000,23312.00000,,23312.00000,162457.00000,3603.00000,12317.00000,-751.00000,24377.00000,186834.00000
2013-12-31,2587.00000,117994.00000,1869.00000,40205.00000,8430.00000,14512.00000,65016.00000,183010.00000,138708.00000,21493.00000,,21493.00000,160201.00000,3533.00000,11044.00000,-593.00000,22809.00000,183010.00000
2012-12-31,4286.00000,120632.00000,1888.00000,38731.00000,8104.00000,15144.00000,63867.00000,184499.00000,144162.00000,19114.00000,,19114.00000,163276.00000,3499.00000,10129.00000,-559.00000,21223.00000,184499.00000
2011-12-31,4898.00000,114947.00000,1855.00000,36407.00000,7085.00000,14285.00000,59632.00000,174579.00000,135296.00000,21803.00000,,21803.00000,157099.00000,3486.00000,8772.00000,-713.00000,17480.00000,174579.00000
2010-12-31,3327.00000,109805.00000,1840.00000,23169.00000,7346.00000,14921.00000,47276.00000,157081.00000,118853.00000,21730.00000,,21730.00000,140583.00000,3472.00000,7935.00000,-747.00000,16498.00000,157081.00000
2009-12-31,3555.00000,110224.00000,1583.00000,33253.00000,7525.00000,13179.00000,55540.00000,165764.00000,128147.00000,21376.00000,,21376.00000,149523.00000,3449.00000,7539.00000,-417.00000,16241.00000,165764.00000
