,cash-on-hand,total-current-assets,net-property-plant-equipment,long-term-investments,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,6439.00000,65994.00000,400.00000,19012.00000,19412.00000,85406.00000,77201.00000,3024.00000,3024.00000,80225.00000,1141.00000,11258.00000,-3742.00000,5181.00000,85406.00000
2021-12-31,22876.00000,77176.00000,454.00000,16986.00000,17440.00000,94616.00000,83923.00000,2796.00000,2796.00000,86719.00000,1141.00000,10494.00000,-212.00000,7897.00000,94616.00000
2020-12-31,15939.00000,72642.00000,459.00000,15028.00000,15487.00000,88129.00000,74351.00000,5728.00000,5728.00000,80079.00000,1141.00000,9727.00000,64.00000,8050.00000,88129.00000
2019-12-31,5973.00000,60547.00000,457.00000,12398.00000,12855.00000,73402.00000,58806.00000,7269.00000,7269.00000,66075.00000,1141.00000,9538.00000,-235.00000,7327.00000,73402.00000
2018-12-31,4695.00000,58298.00000,475.00000,12045.00000,12520.00000,70818.00000,56848.00000,6463.00000,6463.00000,63311.00000,1141.00000,8781.00000,-609.00000,7507.00000,70818.00000
2017-12-31,5941.00000,58897.00000,466.00000,12204.00000,12670.00000,71567.00000,58982.00000,4622.00000,4622.00000,63604.00000,1141.00000,7887.00000,-451.00000,7963.00000,71567.00000
2016-12-31,7310.00000,60108.00000,501.00000,12369.00000,12870.00000,72978.00000,60022.00000,5160.00000,5160.00000,65182.00000,1141.00000,7331.00000,-383.00000,7796.00000,72978.00000
2015-12-31,6260.00000,58827.00000,550.00000,12500.00000,13050.00000,71877.00000,61259.00000,3058.00000,3058.00000,64317.00000,1141.00000,7084.00000,-429.00000,7560.00000,71877.00000
2014-12-31,6170.00000,58603.00000,532.00000,10051.00000,10583.00000,69186.00000,59109.00000,2675.00000,2675.00000,61784.00000,1141.00000,6744.00000,-412.00000,7402.00000,69186.00000
2013-12-31,6563.00000,55323.00000,594.00000,9307.00000,9901.00000,65224.00000,54531.00000,3543.00000,3543.00000,58074.00000,1141.00000,6318.00000,-391.00000,7150.00000,65224.00000
2012-12-31,4659.00000,54150.00000,622.00000,10297.00000,10919.00000,65069.00000,53407.00000,4720.00000,4720.00000,58127.00000,1141.00000,5931.00000,-413.00000,6942.00000,65069.00000
2011-12-31,3705.00000,50229.00000,675.00000,10104.00000,10779.00000,61008.00000,49196.00000,4944.00000,4944.00000,54140.00000,1141.00000,5546.00000,-356.00000,6868.00000,61008.00000
2010-12-31,2224.00000,45477.00000,630.00000,7560.00000,8190.00000,53667.00000,41736.00000,6138.00000,6138.00000,47874.00000,1019.00000,5247.00000,-389.00000,5793.00000,53667.00000
2009-12-31,5755.00000,51189.00000,644.00000,7416.00000,8060.00000,59249.00000,41160.00000,11060.00000,11060.00000,52220.00000,894.00000,5161.00000,-336.00000,7029.00000,59249.00000
