,cash-on-hand,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,111428.00000,146915.00000,2315.00000,105279.00000,9039.00000,37902.00000,154535.00000,301450.00000,261263.00000,14996.00000,14996.00000,276259.00000,504.00000,27028.00000,-3711.00000,25191.00000,301450.00000
2021-12-31,113759.00000,149482.00000,2261.00000,115829.00000,9437.00000,37615.00000,165142.00000,314624.00000,273786.00000,13475.00000,13475.00000,287261.00000,504.00000,25238.00000,-1133.00000,27363.00000,314624.00000
2020-12-31,124348.00000,155256.00000,2154.00000,111276.00000,9510.00000,36510.00000,159450.00000,314706.00000,274701.00000,13805.00000,13805.00000,288506.00000,504.00000,23442.00000,187.00000,26200.00000,314706.00000
2019-12-31,74668.00000,104134.00000,2282.00000,95597.00000,9586.00000,34011.00000,141476.00000,245610.00000,208670.00000,12509.00000,12509.00000,221179.00000,504.00000,21918.00000,-876.00000,24431.00000,245610.00000
2018-12-31,81791.00000,110716.00000,2214.00000,87062.00000,9815.00000,34789.00000,133880.00000,244596.00000,208766.00000,11093.00000,11093.00000,219859.00000,504.00000,20553.00000,-1356.00000,24737.00000,244596.00000
2017-12-31,73668.00000,100007.00000,2186.00000,97579.00000,7635.00000,31018.00000,138418.00000,238425.00000,204488.00000,11620.00000,11620.00000,216108.00000,504.00000,18856.00000,-1009.00000,22317.00000,238425.00000
2016-12-31,75229.00000,97577.00000,2062.00000,97167.00000,7564.00000,38328.00000,145121.00000,242698.00000,210049.00000,11430.00000,11430.00000,221479.00000,504.00000,17459.00000,-2040.00000,21219.00000,242698.00000
2015-12-31,80798.00000,101897.00000,1894.00000,100022.00000,7439.00000,33903.00000,143258.00000,245155.00000,212523.00000,11497.00000,11497.00000,224020.00000,504.00000,16049.00000,-1442.00000,21135.00000,245155.00000
2014-12-31,98692.00000,119095.00000,1937.00000,112636.00000,7851.00000,32600.00000,155024.00000,274119.00000,242749.00000,10042.00000,10042.00000,252791.00000,504.00000,14737.00000,-507.00000,21328.00000,274119.00000
2013-12-31,74550.00000,90131.00000,1860.00000,116914.00000,8396.00000,25990.00000,153160.00000,243291.00000,213214.00000,9699.00000,9699.00000,222913.00000,504.00000,13395.00000,-95.00000,20378.00000,243291.00000
2012-12-31,59006.00000,73261.00000,1728.00000,121061.00000,8516.00000,18016.00000,149321.00000,222582.00000,194284.00000,7429.00000,7429.00000,201713.00000,504.00000,11751.00000,360.00000,20869.00000,222582.00000
2011-12-31,68831.00000,80684.00000,1747.00000,109153.00000,8104.00000,17139.00000,136143.00000,216827.00000,189298.00000,8131.00000,8131.00000,197429.00000,504.00000,10176.00000,-659.00000,19398.00000,216827.00000
2010-12-31,28952.00000,42542.00000,1802.00000,94130.00000,8190.00000,13841.00000,117963.00000,160505.00000,134168.00000,8550.00000,8550.00000,142718.00000,502.00000,8634.00000,-689.00000,17787.00000,160505.00000
2009-12-31,31808.00000,44034.00000,1953.00000,93576.00000,6360.00000,12023.00000,113912.00000,157946.00000,134617.00000,8838.00000,8838.00000,143455.00000,495.00000,7071.00000,-2238.00000,14491.00000,157946.00000
