,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,5702.00000,4780.00000,152.00000,38.00000,281.00000,10953.00000,993.00000,322.00000,178.00000,256.00000,2783.00000,13736.00000,8562.00000,2627.00000,100.00000,3347.00000,11909.00000,,913.00000,-464.00000,1827.00000,13736.00000
2021-12-31,4458.00000,3136.00000,253.00000,40.00000,288.00000,8175.00000,807.00000,89.00000,193.00000,134.00000,1926.00000,10101.00000,5837.00000,2233.00000,66.00000,2733.00000,8570.00000,,397.00000,-515.00000,1531.00000,10101.00000
2020-12-31,3749.53000,1297.80000,118.14000,28.37800,152.95900,5346.80700,391.68400,166.11100,99.36600,67.61500,1179.52500,6526.33200,3635.88000,860.87600,70.04300,1238.87400,4874.75400,0.05000,314.11500,-468.28400,1651.57800,6526.33200
2019-12-31,3048.66500,597.52000,8.62600,45.30900,88.73600,3788.85600,244.25700,263.98300,101.88400,58.24100,992.83500,4781.69100,1752.32000,631.35300,39.43000,1046.25100,2798.57100,0.05000,322.59200,-406.67100,1983.12000,4781.69100
2018-12-31,926.23600,491.22900,4.61200,27.47700,61.56900,1511.12300,165.61400,276.13600,107.46400,37.74400,728.39600,2239.51900,1166.22400,602.22800,42.66900,736.59500,1902.81900,0.04500,503.43200,-391.57700,336.70000,2239.51900
2017-12-31,597.69200,622.70700,2.54900,5.86400,58.10700,1286.91900,114.83700,34.72000,115.45300,63.93400,386.26800,1673.18700,968.03200,312.08900,43.46800,379.37600,1347.40800,0.04400,537.92500,-282.85100,325.77900,1673.18700
2016-12-31,487.46100,339.62200,1.10300,15.06000,26.21500,869.46100,124.26100,153.80300,118.07400,56.81900,497.97400,1367.43500,576.60100,301.94000,25.98100,361.98000,938.58100,0.04400,550.64100,-259.81300,428.85400,1367.43500
2015-12-31,368.99300,160.37400,0.22200,6.00700,9.57700,545.17300,81.63300,187.62100,115.53600,43.95500,458.43300,1003.60600,322.47500,294.34200,20.28200,341.67300,664.14800,0.04400,440.77000,-239.27900,339.45800,1003.60600
2014-12-31,371.95400,131.83400,,3.45800,13.98400,532.75000,91.54500,205.26500,92.00000,23.73400,434.09800,966.84800,292.62300,282.18400,17.50700,318.43700,611.06000,0.04400,353.17300,-135.07400,355.78800,966.84800
2013-12-31,216.87830,77.93010,,3.83610,11.48880,326.16420,131.37190,45.71970,61.69280,24.39920,266.19850,592.36280,224.16560,2.48980,12.88440,24.71360,248.87920,0.04420,310.34550,-87.45600,343.48360,592.36280
2012-12-31,195.18380,55.65350,,2.08010,11.40320,275.36120,37.72620,85.95560,67.64590,6.11810,203.30810,478.66930,169.53130,0.05950,6.28960,19.32440,188.85570,0.04420,218.08380,-48.78310,289.81360,478.66930
2011-12-31,142.31030,40.67080,,1.26960,6.86330,200.24560,30.87770,43.93330,68.58880,5.79440,155.68590,355.93140,118.30350,0.13620,5.64210,18.44890,136.75240,0.04410,135.72620,-37.04340,219.17900,355.93140
2010-12-31,62.17320,18.76970,,0.91330,6.86780,101.63520,20.81770,78.84630,64.63750,0.77120,168.04780,269.68300,88.39450,0.18880,4.21370,9.57030,97.96480,0.04410,73.68160,-22.39900,171.71830,269.68300
2009-12-31,64.38360,8.65420,,0.54710,3.06890,82.13500,5.94830,26.62740,64.33860,0.66790,100.47960,182.61470,60.49290,,2.75770,7.92850,68.42140,0.04410,17.65650,-23.76540,114.19320,182.61470
