,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,19971.00000,3952.00000,2668.00000,3614.00000,30205.00000,3223.00000,2136.00000,42852.00000,7085.00000,55296.00000,85501.00000,20853.00000,20200.00000,3535.00000,29067.00000,49920.00000,16116.00000,-2369.00000,-35.00000,35581.00000,85501.00000
2021-09-30,19406.00000,3726.00000,856.00000,3619.00000,27607.00000,2715.00000,1705.00000,43622.00000,7247.00000,55289.00000,82896.00000,15739.00000,19978.00000,3462.00000,29568.00000,45307.00000,15351.00000,436.00000,-133.00000,37589.00000,82896.00000
2020-09-30,20942.00000,2882.00000,757.00000,3064.00000,27645.00000,2737.00000,231.00000,43718.00000,6588.00000,53274.00000,80919.00000,14510.00000,21071.00000,3891.00000,30199.00000,44709.00000,14088.00000,354.00000,-39.00000,36210.00000,80919.00000
2019-09-30,13279.00000,4590.00000,712.00000,2389.00000,20970.00000,2695.00000,2157.00000,42436.00000,4316.00000,51604.00000,72574.00000,13415.00000,16729.00000,2939.00000,24475.00000,37890.00000,13502.00000,-650.00000,-171.00000,34684.00000,72574.00000
2018-09-30,13200.00000,2790.00000,562.00000,1664.00000,18216.00000,2472.00000,4082.00000,42752.00000,1703.00000,51009.00000,69225.00000,11305.00000,16630.00000,2666.00000,23914.00000,35219.00000,11318.00000,547.00000,-7.00000,34006.00000,69225.00000
2017-09-30,14469.00000,2554.00000,550.00000,1450.00000,19023.00000,2253.00000,1926.00000,42958.00000,1817.00000,48954.00000,67977.00000,9994.00000,16618.00000,2625.00000,25223.00000,35217.00000,9508.00000,878.00000,-52.00000,32760.00000,67977.00000
2016-09-30,9965.00000,2508.00000,555.00000,1285.00000,14313.00000,2150.00000,3931.00000,42300.00000,1341.00000,49722.00000,64035.00000,8046.00000,15882.00000,2387.00000,23077.00000,31123.00000,10462.00000,-458.00000,-34.00000,32912.00000,64035.00000
2015-09-30,7087.00000,1255.00000,353.00000,1326.00000,10021.00000,1888.00000,3384.00000,23186.00000,888.00000,29346.00000,39367.00000,5355.00000,,897.00000,4170.00000,9525.00000,11843.00000,-74.00000,,29842.00000,39367.00000
2014-09-30,5448.00000,1608.00000,307.00000,1171.00000,9562.00000,1892.00000,3015.00000,23164.00000,936.00000,29007.00000,38569.00000,6006.00000,,1005.00000,5150.00000,11156.00000,9131.00000,-17.00000,,27413.00000,38569.00000
2013-09-30,4304.00000,1702.00000,187.00000,1148.00000,7822.00000,1732.00000,2760.00000,23032.00000,610.00000,28134.00000,35956.00000,4335.00000,,602.00000,4751.00000,9086.00000,7974.00000,21.00000,,26870.00000,35956.00000
2012-09-30,7249.00000,1356.00000,122.00000,1032.00000,11786.00000,1634.00000,3283.00000,23101.00000,209.00000,28227.00000,40013.00000,7954.00000,,371.00000,4429.00000,12383.00000,7809.00000,-171.00000,,27630.00000,40013.00000
2011-09-30,6255.00000,972.00000,265.00000,1209.00000,9190.00000,1541.00000,711.00000,23104.00000,214.00000,25570.00000,34760.00000,3451.00000,,667.00000,4872.00000,8323.00000,6706.00000,-176.00000,,26437.00000,34760.00000
2010-09-30,5917.00000,878.00000,242.00000,1074.00000,8734.00000,1357.00000,24.00000,22925.00000,368.00000,24674.00000,33408.00000,3498.00000,32.00000,683.00000,4896.00000,8394.00000,4368.00000,-151.00000,,25014.00000,33408.00000
2009-09-30,6097.00000,1049.00000,366.00000,1026.00000,9241.00000,1204.00000,168.00000,21091.00000,577.00000,23040.00000,32281.00000,4442.00000,44.00000,795.00000,4646.00000,9088.00000,2219.00000,-188.00000,,23193.00000,32281.00000
