,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-08-31,11049.00000,2241.00000,17907.00000,1499.00000,32696.00000,24646.00000,4050.00000,31470.00000,64166.00000,31998.00000,6484.00000,2555.00000,11521.00000,43519.00000,2.00000,15585.00000,-1829.00000,20647.00000,64166.00000
2021-08-31,12175.00000,1803.00000,14215.00000,1312.00000,29505.00000,23492.00000,3381.00000,29763.00000,59268.00000,29441.00000,6692.00000,2415.00000,11749.00000,41190.00000,4.00000,11666.00000,-1137.00000,18078.00000,59268.00000
2020-08-31,13305.00000,1550.00000,12242.00000,1023.00000,28120.00000,21807.00000,2841.00000,27436.00000,55556.00000,24844.00000,7514.00000,1935.00000,12007.00000,36851.00000,4.00000,12879.00000,-1297.00000,18705.00000,55556.00000
2019-08-31,9444.00000,1535.00000,11395.00000,1111.00000,23485.00000,20890.00000,1025.00000,21915.00000,45400.00000,23237.00000,5124.00000,1455.00000,6579.00000,29816.00000,4.00000,10258.00000,-1436.00000,15584.00000,45400.00000
2018-08-31,7259.00000,1669.00000,11040.00000,321.00000,20289.00000,19681.00000,860.00000,20541.00000,40830.00000,19926.00000,6487.00000,1314.00000,7801.00000,27727.00000,4.00000,7887.00000,-1199.00000,13103.00000,40830.00000
2017-08-31,5779.00000,1432.00000,9834.00000,272.00000,17317.00000,18161.00000,869.00000,19030.00000,36347.00000,17495.00000,6573.00000,1200.00000,7773.00000,25268.00000,4.00000,5988.00000,-1014.00000,11079.00000,36347.00000
2016-08-31,4729.00000,1252.00000,8969.00000,268.00000,15218.00000,17043.00000,902.00000,17945.00000,33163.00000,15575.00000,4061.00000,1195.00000,5256.00000,20831.00000,2.00000,7686.00000,-1099.00000,12332.00000,33163.00000
2015-08-31,6419.00000,1224.00000,8908.00000,228.00000,16779.00000,15401.00000,837.00000,16238.00000,33017.00000,16539.00000,4852.00000,783.00000,5635.00000,22174.00000,2.00000,6518.00000,-1121.00000,10843.00000,33017.00000
2014-08-31,7315.00000,1148.00000,8456.00000,,17588.00000,14830.00000,606.00000,15436.00000,33024.00000,14412.00000,5093.00000,,6097.00000,20509.00000,2.00000,7458.00000,-76.00000,12515.00000,33024.00000
2013-08-31,6124.00000,1201.00000,7894.00000,,15840.00000,13881.00000,562.00000,14443.00000,30283.00000,13257.00000,4998.00000,,6014.00000,19271.00000,2.00000,6283.00000,-122.00000,11012.00000,30283.00000
2012-08-31,4854.00000,1026.00000,7096.00000,,13526.00000,12961.00000,653.00000,13614.00000,27140.00000,12260.00000,1381.00000,,2362.00000,14622.00000,2.00000,7834.00000,156.00000,12518.00000,27140.00000
2011-08-31,5613.00000,965.00000,6638.00000,,13706.00000,12432.00000,623.00000,13055.00000,26761.00000,12050.00000,1253.00000,,2138.00000,14188.00000,2.00000,7111.00000,373.00000,12573.00000,26761.00000
2010-08-31,4749.00000,884.00000,5638.00000,,11708.00000,11314.00000,793.00000,12107.00000,23815.00000,10063.00000,2141.00000,,2822.00000,12885.00000,2.00000,6590.00000,122.00000,10930.00000,23815.00000
2009-08-31,3727.00000,834.00000,5405.00000,,10337.00000,10900.00000,742.00000,11642.00000,21979.00000,9281.00000,2130.00000,,2594.00000,11875.00000,2.00000,6101.00000,110.00000,10104.00000,21979.00000
