,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,141.77300,969.29200,1111.06500,23774.66000,9208.49700,5437.85500,39022.61000,41485.00000,2232.60100,16596.80000,369.65400,19673.89000,23377.53000,2.88700,-4698.31300,-595.79800,18107.46000,41485.00000
2021-12-31,142.69800,671.72100,814.41900,20762.24000,7937.44000,4902.63400,34149.70000,36369.56000,1882.35200,13448.21000,336.57800,14498.23000,17892.77000,2.82400,-3631.92900,-173.88000,18476.79000,36369.56000
2020-12-31,108.50100,603.11100,711.61200,20582.95000,8330.99600,4535.59000,33977.72000,36076.29000,1744.54800,13304.72000,371.65900,14416.69000,17629.96000,2.78800,-3997.93800,135.01000,18446.34000,36076.29000
2019-12-31,89.81700,305.50100,395.31800,14230.58000,3363.07000,3971.74300,22044.13000,23068.13000,1243.77400,10122.45000,211.42400,10522.72000,12460.03000,2.07300,-3046.57900,-87.92200,10608.10000,23068.13000
2018-12-31,126.70000,299.62100,426.32100,14904.62000,4348.00700,480.10600,23340.37000,23766.70000,1381.75000,11101.48000,409.42400,11526.74000,12908.49000,2.05100,-2633.07100,-115.64700,10858.21000,23766.70000
2017-12-31,13.18100,276.34700,289.52800,13677.71000,3389.59500,618.68100,21114.82000,21404.35000,1286.56100,8542.03500,472.39600,9068.33400,10354.89000,2.04400,-2055.55200,-108.43200,11049.45000,21404.35000
2016-12-31,22.03600,203.93800,225.97400,8889.96000,752.97000,389.03400,11966.61000,12192.58000,969.07200,5838.60700,252.60900,6091.21600,7060.28800,1.58200,-1547.42000,-135.60500,5132.29700,12192.58000
2015-12-31,75.06200,177.39800,252.46000,8664.10500,330.66400,373.84800,11163.60000,11416.06000,735.26800,5899.03800,245.25600,6144.29300,6879.56100,1.45600,-1350.08900,-96.59000,4536.50200,11416.06000
2014-12-31,52.87600,135.93100,188.80700,8108.55800,,293.99300,9337.97800,9526.78400,720.94200,4673.12700,218.47700,4891.60400,5612.54600,1.34900,-1096.60700,-45.04600,3914.23800,9526.78400
2013-12-31,97.17000,122.24800,219.41800,8313.58200,,174.39500,9407.41100,9626.83000,765.19600,4961.89200,253.23000,5215.12200,5980.31800,1.27900,-785.22200,10.69100,3646.51200,9626.83000
2012-12-31,100.33100,168.28600,268.61700,7536.50200,,166.55400,8550.59700,8819.21400,739.86100,4278.56500,302.40400,4580.96900,5320.83000,1.24700,-656.10400,-12.19100,3498.38400,8819.21400
2011-12-31,95.79600,90.58000,186.37600,5218.53900,,81.60600,5912.19000,6098.56600,401.08800,2929.71000,187.35700,3117.06700,3518.15500,1.05700,-488.69200,-55.88000,2580.41100,6098.56600
2010-12-31,71.78100,70.33700,142.11800,4566.84200,,73.26500,5187.36500,5329.48300,299.34100,2796.45400,179.02500,2975.47900,3274.82000,0.90900,-348.14800,-42.08100,2054.66300,5329.48300
2009-12-31,110.13000,46.08600,156.21600,3150.80100,,47.20300,3588.84300,3745.05900,188.23300,1784.44400,137.58100,1922.02500,2110.25800,0.76600,-231.87100,-27.94700,1634.80100,3745.05900
