,cash-on-hand,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1041540.00000,1735979.00000,26253.00000,526582.00000,24119.00000,103743.00000,680697.00000,2416676.00000,1786141.00000,271606.00000,87873.00000,359479.00000,2214838.00000,31.00000,194734.00000,-47062.00000,201838.00000,2416676.00000
2021-12-31,921266.00000,1626918.00000,24328.00000,512822.00000,25794.00000,101551.00000,664495.00000,2291413.00000,1698017.00000,254374.00000,74920.00000,329294.00000,2088741.00000,31.00000,184948.00000,-38765.00000,202672.00000,2291413.00000
2020-12-31,979406.00000,1675139.00000,,447359.00000,26909.00000,110683.00000,584951.00000,2260090.00000,1677737.00000,271686.00000,59983.00000,331669.00000,2059890.00000,31.00000,168272.00000,-32058.00000,200200.00000,2260090.00000
2019-12-31,721381.00000,1447938.00000,,368563.00000,26948.00000,107709.00000,503220.00000,1951158.00000,1401872.00000,248760.00000,57979.00000,306739.00000,1757212.00000,31.00000,165369.00000,-36318.00000,193946.00000,1951158.00000
2018-12-31,714906.00000,1422237.00000,,358607.00000,27266.00000,109273.00000,495146.00000,1917383.00000,1367589.00000,231999.00000,56150.00000,288149.00000,1720309.00000,31.00000,151347.00000,-37170.00000,197074.00000,1917383.00000
2017-12-31,665784.00000,1358847.00000,,352290.00000,27402.00000,103926.00000,483618.00000,1842465.00000,1285721.00000,236709.00000,57021.00000,293730.00000,1640793.00000,31.00000,138425.00000,-34668.00000,201672.00000,1842465.00000
2016-12-31,641232.00000,1282428.00000,,353304.00000,28337.00000,128008.00000,509649.00000,1792077.00000,1240973.00000,206178.00000,61631.00000,267809.00000,1565934.00000,31.00000,146477.00000,-32381.00000,226143.00000,1792077.00000
2015-12-31,593987.00000,1226661.00000,,342955.00000,27851.00000,133743.00000,504549.00000,1731210.00000,1192974.00000,201275.00000,60147.00000,261422.00000,1508118.00000,31.00000,133841.00000,-29344.00000,223092.00000,1731210.00000
2014-12-31,699553.00000,1356613.00000,,333443.00000,30003.00000,122122.00000,485568.00000,1842181.00000,1270141.00000,223080.00000,85084.00000,308164.00000,1630485.00000,31.00000,117852.00000,-23216.00000,211696.00000,1842181.00000
2013-12-31,741855.00000,1413353.00000,,308980.00000,32783.00000,125266.00000,467029.00000,1880382.00000,1339491.00000,221116.00000,59935.00000,281051.00000,1674249.00000,31.00000,111168.00000,-19133.00000,206133.00000,1880382.00000
2012-12-31,720827.00000,1373326.00000,,312326.00000,33312.00000,145660.00000,491334.00000,1864660.00000,1309372.00000,239463.00000,67815.00000,307278.00000,1673663.00000,30.00000,97809.00000,-16896.00000,190997.00000,1864660.00000
2011-12-31,752068.00000,1396972.00000,,293413.00000,34582.00000,148911.00000,476906.00000,1873878.00000,1244832.00000,323505.00000,69272.00000,392777.00000,1694305.00000,29.00000,90520.00000,-17788.00000,179573.00000,1873878.00000
2010-12-31,754398.00000,1393750.00000,,318164.00000,38210.00000,163778.00000,520152.00000,1913902.00000,1242370.00000,381183.00000,72811.00000,453994.00000,1748113.00000,29.00000,79559.00000,-16277.00000,165789.00000,1913902.00000
2009-12-31,757681.00000,1346786.00000,,306119.00000,40636.00000,163105.00000,509860.00000,1856646.00000,1196575.00000,364019.00000,80233.00000,444252.00000,1701673.00000,286.00000,77440.00000,-18937.00000,154973.00000,1856646.00000
