,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-05-31,12997.00000,4667.00000,8420.00000,2129.00000,28213.00000,4791.00000,570.00000,12108.00000,40321.00000,10730.00000,8920.00000,14310.00000,25040.00000,3.00000,3476.00000,318.00000,15281.00000,40321.00000
2021-05-31,13476.00000,4463.00000,6854.00000,1498.00000,26291.00000,4904.00000,511.00000,11449.00000,37740.00000,9674.00000,9413.00000,15299.00000,24973.00000,3.00000,3179.00000,-380.00000,12767.00000,37740.00000
2020-05-31,8787.00000,2749.00000,7367.00000,1653.00000,20556.00000,4866.00000,497.00000,10786.00000,31342.00000,8284.00000,9406.00000,15003.00000,23287.00000,3.00000,-191.00000,-56.00000,8055.00000,31342.00000
2019-05-31,4663.00000,4272.00000,5622.00000,1968.00000,16525.00000,4744.00000,437.00000,7192.00000,23717.00000,7866.00000,3464.00000,6811.00000,14677.00000,3.00000,1643.00000,231.00000,9040.00000,23717.00000
2018-05-31,5245.00000,3498.00000,5261.00000,1130.00000,15134.00000,4454.00000,439.00000,7402.00000,22536.00000,6040.00000,3468.00000,6684.00000,12724.00000,3.00000,3517.00000,-92.00000,9812.00000,22536.00000
2017-05-31,6179.00000,3677.00000,5055.00000,1150.00000,16061.00000,3989.00000,422.00000,7198.00000,23259.00000,5474.00000,3471.00000,5378.00000,10852.00000,3.00000,6907.00000,-213.00000,12407.00000,23259.00000
2016-05-31,5457.00000,3241.00000,4838.00000,1489.00000,15025.00000,3520.00000,412.00000,6354.00000,21379.00000,5358.00000,1993.00000,3763.00000,9121.00000,3.00000,4151.00000,318.00000,12258.00000,21379.00000
2015-05-31,5924.00000,3358.00000,4337.00000,1968.00000,15587.00000,3011.00000,412.00000,6010.00000,21597.00000,6332.00000,1079.00000,2558.00000,8890.00000,3.00000,4685.00000,1246.00000,12707.00000,21597.00000
2014-05-31,5142.00000,3434.00000,3947.00000,818.00000,13696.00000,2834.00000,413.00000,4898.00000,18594.00000,5027.00000,1199.00000,2743.00000,7770.00000,3.00000,4871.00000,85.00000,10824.00000,18594.00000
2013-05-31,5965.00000,3117.00000,3484.00000,756.00000,13630.00000,2452.00000,420.00000,3915.00000,17545.00000,3962.00000,1210.00000,2502.00000,6464.00000,3.00000,5620.00000,274.00000,11081.00000,17545.00000
2012-05-31,3757.00000,3132.00000,3222.00000,857.00000,11845.00000,2209.00000,501.00000,3620.00000,15465.00000,3882.00000,228.00000,1202.00000,5084.00000,3.00000,5588.00000,149.00000,10381.00000,15465.00000
2011-05-31,4538.00000,3138.00000,2715.00000,594.00000,11297.00000,2115.00000,692.00000,3701.00000,14998.00000,3958.00000,276.00000,1197.00000,5155.00000,3.00000,5801.00000,95.00000,9843.00000,14998.00000
2010-05-31,5146.00000,2650.00000,2041.00000,873.00000,10959.00000,1932.00000,655.00000,3460.00000,14419.00000,3364.00000,446.00000,1301.00000,4665.00000,3.00000,6095.00000,215.00000,9754.00000,14419.00000
2009-05-31,3455.10000,2883.90000,2357.00000,765.60000,9734.00000,1957.70000,660.90000,3515.60000,13249.60000,3277.00000,437.20000,1279.50000,4556.50000,2.80000,5451.40000,367.50000,8693.10000,13249.60000
