,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,10868.00000,37320.00000,1898.00000,,57517.00000,1730.00000,5018.00000,11997.00000,2455.00000,21200.00000,78717.00000,45101.00000,10417.00000,,13342.00000,58443.00000,18954.00000,-928.00000,,20274.00000,78717.00000
2021-12-31,9500.00000,36941.00000,1287.00000,,52574.00000,1909.00000,6797.00000,12786.00000,1737.00000,23229.00000,75803.00000,43029.00000,8049.00000,,11047.00000,54076.00000,16535.00000,-136.00000,,21727.00000,75803.00000
2020-12-31,13083.00000,33995.00000,1148.00000,,50995.00000,1807.00000,6089.00000,10183.00000,1305.00000,19384.00000,70379.00000,38447.00000,8939.00000,,11869.00000,50316.00000,12366.00000,-484.00000,,20063.00000,70379.00000
2019-12-31,10761.00000,22962.00000,800.00000,,38495.00000,1693.00000,2863.00000,6990.00000,1292.00000,12838.00000,51333.00000,26919.00000,4965.00000,,7485.00000,34404.00000,8342.00000,-173.00000,,16929.00000,51333.00000
2018-12-31,9109.00000,20375.00000,947.00000,,32963.00000,1724.00000,971.00000,7109.00000,565.00000,10369.00000,43332.00000,25904.00000,,,2042.00000,27946.00000,5880.00000,78.00000,,15386.00000,43332.00000
2017-12-31,5695.00000,18525.00000,713.00000,,32645.00000,1528.00000,1961.00000,4507.00000,133.00000,8129.00000,40774.00000,22863.00000,,,1917.00000,24780.00000,3823.00000,-142.00000,,15994.00000,40774.00000
2016-12-31,4975.00000,14577.00000,833.00000,,25733.00000,1482.00000,1539.00000,4270.00000,79.00000,7370.00000,33103.00000,16878.00000,,,1513.00000,18391.00000,2069.00000,59.00000,,14712.00000,33103.00000
2015-12-31,3411.00000,12398.00000,655.00000,,20648.00000,1344.00000,2348.00000,4427.00000,114.00000,8233.00000,28881.00000,13617.00000,,,1505.00000,15122.00000,668.00000,-9.00000,,13759.00000,28881.00000
2014-12-31,2230.00000,10677.00000,378.00000,,17565.00000,922.00000,31.00000,3345.00000,54.00000,4352.00000,21917.00000,13283.00000,,,386.00000,13669.00000,,110.00000,8138.00000,8248.00000,21917.00000
2013-12-31,1925.00000,9329.00000,,267.00000,14620.00000,858.00000,196.00000,3445.00000,41.00000,4540.00000,19160.00000,11261.00000,,509.00000,509.00000,11770.00000,,-61.00000,7451.00000,7390.00000,19160.00000
2012-12-31,,,,,,,,0.00000,,,0.00000,,,,,0.00000,,,0.00000,0.00000,0.00000
