,cash-on-hand,receivables-total,total-current-assets,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,92.55900,484.88700,577.44600,18467.95000,481.79100,760.06600,24959.71000,25537.16000,17785.08000,1627.95200,542.09400,2856.21800,20641.30000,105.21800,6466.22000,-1415.71400,4895.86100,25537.16000
2021-12-31,92.16300,487.44300,579.60600,23009.30000,481.79100,782.62500,29188.44000,29768.05000,17091.72000,1546.49400,722.00900,4033.52400,21125.24000,109.21800,6182.10000,2677.58300,8642.80600,29768.05000
2020-12-31,94.84700,474.18000,569.02700,22701.64000,441.59100,739.02700,28477.70000,29046.73000,16057.66000,1667.88600,716.37300,4217.98200,20275.64000,113.21800,5874.10900,3029.24400,8771.09200,29046.73000
2019-12-31,75.93300,441.66200,517.59500,20092.40000,441.59100,583.93300,25459.87000,25977.46000,15332.27000,1348.98800,525.06800,3350.88800,18683.15000,117.21800,5551.32900,1844.83000,7294.30700,25977.46000
2018-12-31,121.02600,415.15700,536.18300,17361.55000,441.59100,618.47600,22559.54000,23095.72000,14771.17000,1357.18500,504.45600,2909.37800,17680.54000,121.21800,5213.46800,319.47500,5415.17700,23095.72000
2017-12-31,118.56300,391.77500,510.33800,17967.94000,441.59100,597.05600,22964.65000,23474.98000,14259.90000,1132.20100,539.46300,2983.66600,17243.56000,124.21800,4806.20800,1424.27400,6231.42100,23474.98000
2016-12-31,76.16300,384.45400,460.61700,16102.88000,441.59100,647.84500,20975.47000,21436.09000,13550.89000,1133.16500,441.18400,3318.33900,16869.23000,127.21800,3890.79800,577.57400,4566.86100,21436.09000
2015-12-31,61.38300,344.55200,405.93500,14553.61000,441.59100,834.94700,19447.28000,19853.21000,13171.85000,743.73300,431.19300,2625.81400,15797.66000,130.21800,3614.36900,231.94700,4055.55200,19853.21000
2014-12-31,66.01900,327.85600,393.87500,15197.86000,441.59100,781.54000,19878.38000,20272.26000,12410.19000,992.13000,386.40200,3164.60200,15574.79000,134.21800,3376.84600,997.45200,4697.46600,20272.26000
2013-12-31,36.94300,331.10300,368.04600,13620.04000,441.59100,424.41900,17823.70000,18191.74000,11877.07000,990.86500,261.89800,2538.33700,14415.40000,151.21800,3495.53300,210.98100,3776.34200,18191.74000
2012-12-31,61.71000,383.70900,445.41900,14289.71000,441.59100,401.76300,18331.49000,18776.91000,11423.11000,989.68600,392.50200,2992.01600,14415.12000,105.81200,3403.33800,925.27500,4361.78600,18776.91000
2011-12-31,84.11300,253.54900,337.66200,12545.91000,396.89100,391.07600,16250.61000,16588.27000,10305.80000,790.57100,312.41700,2422.84100,12728.64000,112.31200,3264.71100,549.91600,3859.63100,16588.27000
2010-12-31,365.67900,230.31900,595.99800,11381.84000,396.89100,378.70000,15563.76000,16159.76000,9860.38300,789.64300,284.06200,2283.13800,12143.52000,119.81200,3473.48200,22.95800,4016.24100,16159.76000
2009-12-31,231.07100,192.90200,423.97300,9991.93900,396.89100,1891.45100,15599.79000,16023.76000,9369.31300,796.05000,1494.82500,3255.55500,12624.87000,83.87500,3228.90400,-319.18300,3398.89100,16023.76000
