,cash-on-hand,receivables-total,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,14395.00000,13272.00000,2461.00000,30128.00000,2432.00000,14684.00000,25723.00000,3903.00000,46742.00000,76870.00000,28464.00000,17938.00000,5616.00000,24225.00000,52689.00000,1.00000,9341.00000,-1132.00000,24181.00000,76870.00000
2021-12-31,14657.00000,12238.00000,1602.00000,28497.00000,3391.00000,14043.00000,27595.00000,4849.00000,49878.00000,78375.00000,25765.00000,18571.00000,5610.00000,25670.00000,51435.00000,1.00000,8139.00000,77.00000,26940.00000,78375.00000
2020-12-31,12380.00000,9696.00000,1317.00000,23393.00000,2774.00000,12853.00000,27040.00000,2659.00000,45326.00000,68719.00000,21585.00000,16682.00000,2956.00000,21249.00000,42834.00000,1.00000,6792.00000,337.00000,25885.00000,68719.00000
2019-12-31,12986.00000,6247.00000,1090.00000,20323.00000,2121.00000,7717.00000,8926.00000,1907.00000,20671.00000,40994.00000,12932.00000,13638.00000,1543.00000,15403.00000,28335.00000,,4984.00000,134.00000,12659.00000,40994.00000
2018-12-31,6064.00000,5150.00000,784.00000,11998.00000,1706.00000,6861.00000,9254.00000,1082.00000,18903.00000,30901.00000,11971.00000,6648.00000,1259.00000,7917.00000,19888.00000,,3663.00000,-56.00000,11013.00000,30901.00000
2017-12-31,4603.00000,3413.00000,687.00000,8703.00000,1104.00000,5312.00000,6147.00000,589.00000,13152.00000,21855.00000,9332.00000,4695.00000,952.00000,5659.00000,14991.00000,,2748.00000,-3.00000,6864.00000,21855.00000
2016-12-31,4435.00000,3215.00000,715.00000,8365.00000,797.00000,4545.00000,6257.00000,233.00000,11832.00000,20197.00000,8623.00000,4651.00000,869.00000,5665.00000,14288.00000,,1920.00000,-36.00000,5909.00000,20197.00000
2015-12-31,1936.00000,1279.00000,390.00000,3605.00000,518.00000,1927.00000,1174.00000,115.00000,3734.00000,7339.00000,3629.00000,1216.00000,170.00000,1542.00000,5171.00000,,1358.00000,-10.00000,2168.00000,7339.00000
2014-12-31,1787.00000,912.00000,252.00000,2951.00000,445.00000,1280.00000,874.00000,274.00000,2873.00000,5824.00000,2900.00000,874.00000,159.00000,1181.00000,4081.00000,,1003.00000,-1.00000,1743.00000,5824.00000
2013-12-31,1140.00000,429.00000,217.00000,1800.00000,395.00000,792.00000,397.00000,107.00000,1729.00000,3529.00000,1559.00000,666.00000,60.00000,727.00000,2286.00000,,732.00000,-3.00000,1243.00000,3529.00000
2012-12-31,982.05300,251.47300,93.32200,1405.82500,375.89300,554.77000,276.55600,98.56400,1368.08000,2773.90500,1229.31300,535.48100,54.98700,590.82500,1820.13800,0.05500,566.82000,5.18900,953.76700,2773.90500
2011-12-31,704.19700,157.45000,78.36300,940.01000,349.62200,506.14000,309.41100,85.15300,1250.32600,2190.33600,837.61300,348.34400,67.96000,416.30400,1253.91700,0.05400,564.96100,5.76100,936.41900,2190.33600
2010-12-31,455.51200,136.24300,65.06600,656.82100,326.34100,595.87900,307.16000,57.68100,1287.06100,1943.88200,765.24600,327.82400,53.75700,381.58100,1146.82700,0.05200,453.74300,6.42400,797.05500,1943.88200
2009-12-31,443.30600,103.45600,64.86600,616.13400,230.42100,525.49700,247.06600,56.96100,1086.23000,1702.36400,715.90800,307.08500,59.56100,367.02900,1082.93700,0.04600,358.90700,7.34800,619.42700,1702.36400
