,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1923.00000,3907.00000,3381.00000,880.00000,10091.00000,9020.00000,4879.00000,43160.00000,1862.00000,61070.00000,71161.00000,16731.00000,20251.00000,2688.00000,27510.00000,44241.00000,31481.00000,-10947.00000,26920.00000,71161.00000
2021-12-31,3546.00000,3188.00000,2708.00000,900.00000,10342.00000,8658.00000,5289.00000,40269.00000,371.00000,56750.00000,67092.00000,14008.00000,17550.00000,2326.00000,24761.00000,38769.00000,30806.00000,-10624.00000,28323.00000,67092.00000
2020-12-31,3619.00000,2954.00000,2647.00000,759.00000,9979.00000,9026.00000,6036.00000,40377.00000,292.00000,57831.00000,67810.00000,15159.00000,17276.00000,2302.00000,24997.00000,40156.00000,28402.00000,-10690.00000,27654.00000,67810.00000
2019-12-31,1291.00000,2927.00000,2546.00000,866.00000,7630.00000,8733.00000,7178.00000,38805.00000,359.00000,56885.00000,64515.00000,15322.00000,14207.00000,2351.00000,21876.00000,37198.00000,26615.00000,-10254.00000,27317.00000,64515.00000
2018-12-31,1100.00000,3006.00000,2592.00000,906.00000,7604.00000,8482.00000,7123.00000,38727.00000,406.00000,55125.00000,62729.00000,16737.00000,12532.00000,2623.00000,20279.00000,37016.00000,24491.00000,-10630.00000,25713.00000,62729.00000
2017-12-31,761.00000,3526.00000,2557.00000,676.00000,7520.00000,8677.00000,6193.00000,39724.00000,366.00000,55437.00000,62957.00000,15793.00000,12972.00000,2689.00000,21090.00000,36883.00000,22631.00000,-9997.00000,26074.00000,62957.00000
2016-12-31,1741.00000,3470.00000,2469.00000,800.00000,8480.00000,8229.00000,5585.00000,38377.00000,350.00000,53058.00000,61538.00000,14417.00000,13217.00000,1572.00000,21906.00000,36323.00000,21149.00000,-11122.00000,25215.00000,61538.00000
2015-12-31,1870.00000,3846.00000,2609.00000,633.00000,8958.00000,8362.00000,5387.00000,39432.00000,358.00000,53885.00000,62843.00000,10922.00000,14557.00000,1832.00000,23821.00000,34743.00000,20700.00000,-9986.00000,28100.00000,62843.00000
2014-12-31,1631.00000,4751.00000,3480.00000,1408.00000,11750.00000,9827.00000,662.00000,43724.00000,755.00000,55021.00000,66771.00000,14007.00000,13821.00000,2140.00000,24911.00000,38918.00000,14529.00000,-7318.00000,27853.00000,66771.00000
2013-12-31,2622.00000,5403.00000,3743.00000,889.00000,13174.00000,10247.00000,,47591.00000,1449.00000,59341.00000,72515.00000,14354.00000,14482.00000,2491.00000,25629.00000,39983.00000,13419.00000,-2889.00000,32532.00000,72515.00000
2012-12-31,4475.00000,6129.00000,3741.00000,735.00000,15673.00000,10010.00000,,48292.00000,1484.00000,59804.00000,75477.00000,14870.00000,15574.00000,3046.00000,28191.00000,43061.00000,10551.00000,-2666.00000,32416.00000,75477.00000
2011-12-31,1974.00000,6361.00000,5706.00000,1249.00000,16202.00000,13813.00000,,62483.00000,1308.00000,77635.00000,93837.00000,18445.00000,23095.00000,3396.00000,40064.00000,58509.00000,18012.00000,-6637.00000,35328.00000,93837.00000
2010-12-31,2481.00000,6539.00000,5310.00000,993.00000,16221.00000,13792.00000,,63819.00000,1371.00000,79068.00000,95289.00000,15893.00000,26859.00000,3183.00000,43454.00000,59347.00000,16619.00000,-3890.00000,35942.00000,95289.00000
2009-12-31,2101.00000,5197.00000,3775.00000,651.00000,12454.00000,10693.00000,,42193.00000,1259.00000,54260.00000,66714.00000,11491.00000,18024.00000,2138.00000,29251.00000,40742.00000,14636.00000,-3955.00000,25972.00000,66714.00000
