,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,245.00000,1466.00000,,,997.00000,2708.00000,9012.00000,,841.00000,10439.00000,13147.00000,2916.00000,5451.00000,3121.00000,8886.00000,11802.00000,262.00000,-5814.00000,14.00000,1345.00000,13147.00000
2021-12-31,302.00000,1394.00000,,,684.00000,2380.00000,8335.00000,,2005.00000,10923.00000,13303.00000,2117.00000,7295.00000,3748.00000,11903.00000,14020.00000,262.00000,-9488.00000,22.00000,-717.00000,13303.00000
2020-12-31,262.00000,908.00000,,,676.00000,1846.00000,8819.00000,,1555.00000,10900.00000,12746.00000,1308.00000,8770.00000,2490.00000,12083.00000,13391.00000,262.00000,-10461.00000,14.00000,-645.00000,12746.00000
2019-12-31,247.00000,1062.00000,,,652.00000,1961.00000,14158.00000,,1258.00000,16146.00000,18107.00000,1855.00000,8555.00000,2331.00000,11787.00000,13642.00000,261.00000,-5601.00000,16.00000,4465.00000,18107.00000
2018-12-31,714.00000,1194.00000,,,779.00000,2687.00000,18421.00000,,121.00000,18895.00000,21582.00000,2201.00000,8093.00000,2085.00000,10569.00000,12770.00000,260.00000,-2048.00000,4.00000,8812.00000,21582.00000
2017-12-31,1668.00000,1345.00000,368.00000,137.00000,207.00000,3725.00000,17759.00000,,,18197.00000,21922.00000,2564.00000,7934.00000,2088.00000,10567.00000,13131.00000,259.00000,-2088.00000,4.00000,8791.00000,21922.00000
2016-12-31,1377.00000,1128.00000,476.00000,179.00000,81.00000,3241.00000,18867.00000,,,19278.00000,22519.00000,1843.00000,8544.00000,2743.00000,12997.00000,14840.00000,258.00000,-3385.00000,-112.00000,7679.00000,22519.00000
2015-12-31,1467.00000,1253.00000,570.00000,290.00000,172.00000,3752.00000,20838.00000,,,21748.00000,25500.00000,1841.00000,8716.00000,2924.00000,14169.00000,16010.00000,257.00000,-1980.00000,-119.00000,9490.00000,25500.00000
2014-12-31,769.00000,2024.00000,708.00000,129.00000,2016.00000,6415.00000,48076.00000,,,49537.00000,55952.00000,3664.00000,11245.00000,3407.00000,24151.00000,27815.00000,256.00000,16249.00000,-116.00000,28137.00000,55952.00000
2013-12-31,1906.00000,2952.00000,891.00000,112.00000,371.00000,6366.00000,52421.00000,1369.00000,,55271.00000,61637.00000,4700.00000,9672.00000,3508.00000,21544.00000,26244.00000,255.00000,22032.00000,-115.00000,35393.00000,61637.00000
2012-12-31,160.00000,3086.00000,908.00000,193.00000,615.00000,4962.00000,53280.00000,1289.00000,,55775.00000,60737.00000,5536.00000,11355.00000,4491.00000,23870.00000,29406.00000,245.00000,20161.00000,-131.00000,31331.00000,60737.00000
2011-12-31,295.00000,3079.00000,655.00000,241.00000,533.00000,4803.00000,45448.00000,1114.00000,,47248.00000,52051.00000,4963.00000,6785.00000,4113.00000,18095.00000,23058.00000,241.00000,18500.00000,-9.00000,28993.00000,52051.00000
2010-12-31,134.00000,2134.00000,564.00000,222.00000,426.00000,3480.00000,38151.00000,1032.00000,,39945.00000,43425.00000,3524.00000,8095.00000,3180.00000,15524.00000,19048.00000,240.00000,14223.00000,-141.00000,24377.00000,43425.00000
2009-12-31,2048.00000,1546.00000,533.00000,228.00000,231.00000,4586.00000,22901.00000,189.00000,,23600.00000,28186.00000,2393.00000,4950.00000,2299.00000,10014.00000,12407.00000,215.00000,11437.00000,-290.00000,15779.00000,28186.00000
