,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,899.13600,154.62100,35.66800,86.41200,1175.83700,1951.14700,388.05500,21.93900,88.12400,5751.66700,6927.50400,921.88000,43.81600,3637.60100,4559.48100,0.37300,4828.24800,-7.88800,2368.02300,6927.50400
2021-12-31,1076.31900,193.66300,32.82600,78.75600,1381.56400,1769.27800,274.31100,21.93900,87.57200,5271.39400,6652.95800,873.68200,38.53600,3481.90200,4355.58400,0.37100,3929.14700,-5.35400,2297.37400,6652.95800
2020-12-31,951.60300,387.28300,26.44500,54.90600,1420.23700,1584.31100,102.32800,21.93900,86.89600,4562.65900,5982.89600,822.19900,38.84400,3140.56200,3962.76100,0.36700,3276.16300,-4.22900,2020.13500,5982.89600
2019-12-31,880.78200,108.25000,26.09600,57.07600,1072.20400,1458.69000,,21.93900,46.30500,4032.40000,5104.60400,666.59300,38.79700,2754.98500,3421.57800,0.36300,2921.44800,-5.36300,1683.02600,5104.60400
2018-12-31,676.79800,62.31200,21.55500,54.12900,814.79400,1379.25400,,21.93900,49.53100,1450.72400,2265.51800,449.99000,31.63800,374.18900,824.17900,0.36000,2573.61700,-6.23600,1441.33900,2265.51800
2017-12-31,508.95100,49.80600,19.86000,50.91800,629.53500,1338.36600,,21.93900,55.85200,1416.15700,2045.69200,323.89300,40.04200,357.35400,681.24700,0.35900,2397.06400,-3.65900,1364.44500,2045.69200
2016-12-31,417.71600,45.55900,15.01900,44.08000,522.37400,1303.55800,125.05500,21.93900,53.17700,1503.72900,2026.10300,281.79300,33.94600,341.81700,623.61000,0.35800,2220.81100,-8.16200,1402.49300,2026.10300
2015-12-31,663.20400,96.43500,15.04300,39.96500,814.64700,1217.22000,622.93900,21.93900,48.32100,1910.41900,2725.06600,279.94200,32.88300,317.15000,597.09200,0.35800,2197.87300,-8.27300,2127.97400,2725.06600
2014-12-31,758.05700,51.32700,15.33200,34.79500,859.51100,1106.98400,496.10600,21.93900,42.77700,1667.80600,2527.31700,245.71000,28.26300,269.23800,514.94800,0.35400,1722.27100,-0.42900,2012.36900,2527.31700
2013-12-31,578.17400,27.67300,13.04400,34.20400,666.30700,963.23800,313.86300,21.93900,43.93300,1342.97300,2009.28000,199.22800,23.59100,271.76400,470.99200,0.35200,1276.89700,1.62000,1538.28800,2009.28000
2012-12-31,472.85900,26.41200,11.09600,27.37800,546.60700,866.70300,190.86800,21.93900,42.55000,1122.06000,1668.66700,186.85200,19.88500,235.88900,422.74100,0.34900,949.45900,1.02400,1245.92600,1668.66700
2011-12-31,456.24800,8.38900,8.91300,21.40400,501.19200,751.95100,128.24100,21.93900,21.98500,924.11600,1425.30800,157.45300,12.43500,223.62900,381.08200,0.34400,671.45900,0.19700,1044.22600,1425.30800
2010-12-31,349.60400,29.18600,7.09800,16.01600,406.22100,676.88100,,21.93900,16.56400,715.38400,1121.60500,123.05400,9.82500,187.67800,310.73200,0.34000,456.51400,0.60600,810.87300,1121.60500
2009-12-31,269.56600,4.76300,5.61400,14.37700,297.45400,636.41100,,21.93900,5.70100,664.05100,961.50500,102.15300,6.85100,155.89100,258.04400,0.33500,277.53300,0.02900,703.46100,961.50500
