,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1177.58300,211.34700,509.36300,87.98100,1986.27400,580.56100,72.44500,28.84800,757.00600,2743.28000,274.64600,,83.27400,83.27400,357.92000,0.00600,2576.51600,-204.52400,2385.36000,2743.28000
2021-12-31,1514.50500,262.12100,460.74700,110.31000,2347.68300,635.30200,91.28700,48.50700,822.85700,3170.54000,313.43300,16.03100,93.85500,109.88600,423.31900,0.00600,2466.60700,-189.95100,2747.22100,3170.54000
2020-12-31,1391.06600,264.32100,364.99300,127.69700,2148.07700,597.52700,103.48000,43.41900,787.62300,2935.70000,214.57800,34.15700,,127.01100,341.58900,0.00600,2188.19100,-146.06500,2594.11100,2935.70000
2019-12-31,1182.61600,238.47900,380.79000,94.74900,1896.63400,600.85200,156.36300,45.19200,833.80200,2730.43600,191.90400,37.96800,,136.08900,327.99300,0.00500,2028.73400,-146.91900,2402.44300,2730.43600
2018-12-31,1044.79000,255.50900,403.57900,101.54600,1805.42400,543.06800,187.86100,18.93200,769.02590,2574.45000,245.77400,41.70700,,122.44100,368.21500,0.00500,1848.50000,-162.89600,2206.23500,2574.45000
2017-12-31,1116.15700,237.27800,307.71200,92.86300,1754.01000,460.20600,107.05400,19.00900,613.24500,2367.25500,198.90300,45.37800,,146.03000,344.93300,0.00500,1443.86700,-77.34400,2022.32200,2367.25500
2016-12-31,830.63400,155.90100,239.01000,75.41700,1300.96200,379.37500,48.61700,18.60300,489.03700,1789.99900,158.27500,37.63500,,74.00000,232.27500,0.00500,1094.10800,-178.58300,1557.72400,1789.99900
2015-12-31,689.11600,150.47900,203.73800,59.25600,1102.58900,288.60400,12.40900,20.09500,350.84000,1453.42900,141.79000,17.66700,,50.97400,192.76400,0.00500,833.35600,-181.48200,1260.66500,1453.42900
2014-12-31,522.15000,143.10900,171.00900,42.26200,893.83800,275.08200,9.68200,26.84700,317.04900,1210.88700,122.07500,19.66700,,42.25100,164.32600,0.00500,591.20200,-112.26300,1046.56100,1210.88700
2013-12-31,448.77600,103.80300,172.70000,46.83200,786.34300,252.24500,10.01900,7.81000,274.87300,1061.21600,100.07900,11.33300,,33.16800,133.24700,0.00500,390.75700,-1.70100,927.96900,1061.21600
2012-12-31,384.05300,96.63000,139.61800,31.71000,664.95900,210.56300,10.40800,7.46100,230.53900,895.49800,125.45500,14.01400,,27.11600,152.57100,0.00500,234.97700,-3.09400,742.92700,895.49800
2011-12-31,205.68500,75.75500,116.97800,25.14000,434.45700,155.20200,6.15700,7.48600,173.67500,608.13200,93.71200,15.72600,,70.81000,164.52200,0.00500,122.83300,-12.10000,443.61000,608.13200
2010-12-31,147.86000,58.06200,72.47000,13.81600,300.80100,120.68300,7.13100,8.75100,141.05400,441.85500,82.77000,15.64400,1.73500,42.28200,125.05200,0.00500,5.56700,0.81000,316.80300,441.85500
2009-12-31,82.92000,32.91400,52.86900,4.65300,180.91400,111.45300,3.77100,12.18500,131.72200,312.63600,36.83100,16.66700,,19.23400,56.06500,0.00500,-48.42400,11.10600,256.57100,312.63600
