,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,1088.00000,2865.00000,2676.00000,639.00000,,7268.00000,3567.00000,6546.00000,903.00000,13514.00000,20782.00000,4632.00000,3292.00000,1022.00000,5348.00000,9980.00000,146.00000,12832.00000,-495.00000,10802.00000,20782.00000
2021-09-30,1203.00000,2928.00000,2511.00000,621.00000,,7263.00000,3778.00000,7139.00000,783.00000,14199.00000,21462.00000,4656.00000,3589.00000,1149.00000,6172.00000,10828.00000,148.00000,11709.00000,-168.00000,10634.00000,21462.00000
2020-09-30,945.00000,2377.00000,1950.00000,512.00000,,5784.00000,3650.00000,6817.00000,813.00000,13458.00000,19242.00000,3690.00000,3452.00000,1126.00000,6169.00000,9859.00000,149.00000,10348.00000,-445.00000,9383.00000,19242.00000
2019-09-30,927.00000,2320.00000,1836.00000,471.00000,,5554.00000,3574.00000,7336.00000,454.00000,14140.00000,19694.00000,3540.00000,3395.00000,666.00000,5584.00000,9124.00000,154.00000,12256.00000,-503.00000,10570.00000,19694.00000
2018-09-30,848.00000,2361.00000,1857.00000,661.00000,472.00000,6199.00000,3497.00000,7388.00000,1158.00000,14187.00000,20386.00000,4410.00000,3037.00000,799.00000,5145.00000,9555.00000,157.00000,12114.00000,-306.00000,10831.00000,20386.00000
2017-09-30,1218.00000,2138.00000,1647.00000,578.00000,345.00000,5926.00000,3159.00000,7492.00000,685.00000,13477.00000,19403.00000,3847.00000,3634.00000,777.00000,5805.00000,9652.00000,157.00000,10175.00000,-160.00000,9751.00000,19403.00000
2016-09-30,647.00000,2046.00000,1596.00000,486.00000,,4775.00000,3052.00000,7371.00000,299.00000,12833.00000,17608.00000,3066.00000,3739.00000,609.00000,6057.00000,9123.00000,168.00000,8682.00000,-542.00000,8485.00000,17608.00000
2015-09-30,3329.00000,2120.00000,1615.00000,476.00000,,7885.00000,2920.00000,6379.00000,297.00000,12704.00000,20589.00000,3575.00000,3386.00000,2387.00000,7429.00000,11004.00000,182.00000,6673.00000,-373.00000,9585.00000,20589.00000
2014-09-30,2457.00000,2057.00000,1509.00000,519.00000,2013.00000,8879.00000,2920.00000,4813.00000,456.00000,11273.00000,20152.00000,3993.00000,3281.00000,2356.00000,7146.00000,11139.00000,184.00000,4253.00000,-17.00000,9013.00000,20152.00000
2013-09-30,1403.00000,2323.00000,1762.00000,487.00000,,6309.00000,3166.00000,5570.00000,268.00000,12152.00000,18461.00000,3924.00000,2303.00000,2372.00000,6151.00000,10075.00000,189.00000,2472.00000,303.00000,8386.00000,18461.00000
2012-09-30,1589.00000,2343.00000,1808.00000,474.00000,,6503.00000,3213.00000,5660.00000,290.00000,12803.00000,19306.00000,4004.00000,2696.00000,2828.00000,7325.00000,11329.00000,193.00000,1196.00000,229.00000,7977.00000,19306.00000
2011-09-30,1218.00000,2341.00000,1878.00000,634.00000,508.00000,6981.00000,3140.00000,3919.00000,253.00000,10742.00000,17723.00000,3410.00000,2667.00000,2627.00000,6829.00000,10239.00000,593.00000,84.00000,428.00000,7484.00000,17723.00000
2010-09-30,1990.00000,2259.00000,1583.00000,651.00000,,6731.00000,2867.00000,3603.00000,217.00000,10261.00000,16992.00000,3460.00000,2307.00000,2604.00000,6476.00000,9936.00000,599.00000,-1161.00000,246.00000,7056.00000,16992.00000
2009-09-30,1521.00000,1975.00000,1435.00000,487.00000,,5579.00000,3111.00000,3567.00000,234.00000,10439.00000,16018.00000,2615.00000,2316.00000,2764.00000,6397.00000,9012.00000,1049.00000,-2264.00000,455.00000,7006.00000,16018.00000
