,cash-on-hand,total-current-assets,net-property-plant-equipment,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,85.55800,292.66200,7388.68200,412.61100,7801.29300,8233.99100,190.34000,4397.05300,356.47000,4931.89400,5199.97600,0.81800,-1034.18600,5.75700,3034.01500,8233.99100
2021-12-31,162.13200,340.68200,6890.96700,250.09600,7141.06300,7622.32000,235.16800,4119.57900,318.05600,4651.34300,4959.17200,0.79000,-1066.93200,-2.04700,2663.14800,7622.32000
2020-12-31,798.32900,998.00100,6225.17800,241.08100,6466.25900,7607.62400,228.64100,4363.42400,256.65100,4757.79500,5058.87700,0.77100,-988.27200,-5.64400,2548.74700,7607.62400
2019-12-31,127.43200,310.43300,6082.71900,255.66400,6338.38300,6794.99200,255.50300,3428.65600,261.31500,3829.72900,4158.86000,0.75900,-791.12400,-0.81300,2636.13200,6794.99200
2018-12-31,64.08700,236.75300,5760.32900,292.56200,6052.89100,6289.64400,177.92200,3229.20400,278.98000,3644.39200,3822.31400,0.74500,-818.87700,-0.41600,2467.33000,6289.64400
2017-12-31,15.18800,255.49400,5758.51700,261.74400,6020.26100,6275.75500,196.33200,3284.76600,261.98600,3687.90900,3884.24100,0.73300,-749.36700,0.02200,2391.51400,6275.75500
2016-12-31,23.36800,170.02100,5029.83900,223.41900,5253.25800,5423.27900,201.75600,2798.45200,203.54200,3145.68800,3347.44400,0.72200,-749.73400,-2.57700,2075.83500,5423.27900
2015-12-31,21.04600,173.06600,4490.36500,233.12800,4723.49300,4896.55900,146.53200,2627.21600,203.56400,2968.09600,3114.62800,0.69600,-724.70100,-4.11000,1781.93100,4896.55900
2014-12-31,47.95100,192.23000,4141.94800,212.69200,4354.64000,4546.87000,145.68500,2409.67700,179.89900,2708.62900,2854.31400,0.68700,-683.99100,-3.51500,1692.55600,4546.87000
2013-12-31,88.92700,228.92000,3798.99200,191.38200,3990.37400,4219.29400,156.27000,2321.86200,165.44000,2591.72700,2747.99700,0.66700,-623.79500,-1.41700,1471.29700,4219.29400
2012-12-31,36.98800,166.49700,3555.37900,176.68900,3732.06800,3898.56500,120.92900,2208.60200,164.02100,2467.04300,2587.97200,0.64800,-586.97000,-12.38800,1310.59300,3898.56500
2011-12-31,67.80600,199.69400,3298.85600,167.66000,3466.51600,3666.21000,104.66000,2110.41000,125.21100,2320.94600,2425.60600,0.63600,-555.54100,-3.94000,1240.60400,3666.21000
2010-12-31,15.79700,129.60700,2860.73800,169.20800,3029.94600,3159.55300,102.57400,1767.14900,108.70000,1941.21100,2043.78500,0.61500,-527.58200,0.00000,1115.76800,3159.55300
2009-12-31,135.38900,255.91600,2821.14700,145.24600,2966.39300,3222.30900,109.06100,1793.84800,110.33700,1904.18500,2013.24600,0.61200,-486.44900,,1209.06300,3222.30900
