,cash-on-hand,receivables-total,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,705.00000,677.00000,7222.00000,8604.00000,532.00000,10680.00000,608.00000,11820.00000,20868.00000,8835.00000,4735.00000,226.00000,5869.00000,14704.00000,5.00000,7207.00000,-1991.00000,6164.00000,20868.00000
2021-12-31,630.00000,588.00000,6205.00000,7423.00000,509.00000,11246.00000,571.00000,12326.00000,20115.00000,7872.00000,4812.00000,234.00000,5838.00000,13710.00000,5.00000,6465.00000,-1587.00000,6405.00000,20115.00000
2020-12-31,2977.00000,566.00000,4117.00000,7660.00000,475.00000,9105.00000,358.00000,9938.00000,17979.00000,4924.00000,5541.00000,187.00000,6619.00000,11543.00000,2.00000,5628.00000,-1368.00000,6436.00000,17979.00000
2019-12-31,653.00000,422.00000,3215.00000,4290.00000,384.00000,8615.00000,289.00000,9288.00000,13924.00000,4227.00000,2996.00000,179.00000,4058.00000,8285.00000,2.00000,5027.00000,-1686.00000,5639.00000,13924.00000
2018-12-31,854.00000,384.00000,5132.00000,6370.00000,376.00000,8663.00000,291.00000,9330.00000,15700.00000,6570.00000,2956.00000,224.00000,3681.00000,10251.00000,2.00000,4558.00000,-1530.00000,5449.00000,15700.00000
2017-12-31,634.00000,356.00000,4520.00000,5510.00000,400.00000,9054.00000,390.00000,9844.00000,15354.00000,5234.00000,3727.00000,162.00000,4240.00000,9474.00000,2.00000,3963.00000,-862.00000,5880.00000,15354.00000
2016-12-31,663.00000,429.00000,3468.00000,4560.00000,362.00000,8121.00000,390.00000,9590.00000,14150.00000,4082.00000,3603.00000,144.00000,4638.00000,8720.00000,2.00000,3479.00000,-979.00000,5430.00000,14150.00000
2015-12-31,558.00000,316.00000,2386.00000,3260.00000,323.00000,7354.00000,281.00000,8601.00000,11861.00000,2920.00000,2364.00000,142.00000,3332.00000,6252.00000,2.00000,3571.00000,-864.00000,5609.00000,11861.00000
2014-12-31,650.00000,389.00000,2345.00000,3400.00000,292.00000,7615.00000,228.00000,8671.00000,12071.00000,2980.00000,2297.00000,159.00000,3297.00000,6277.00000,2.00000,3292.00000,-682.00000,5794.00000,12071.00000
2013-12-31,671.00000,393.00000,2087.00000,3163.00000,268.00000,8572.00000,170.00000,9414.00000,12577.00000,2800.00000,2589.00000,153.00000,3593.00000,6393.00000,2.00000,2976.00000,-67.00000,6184.00000,12577.00000
2012-12-31,805.00000,333.00000,321.00000,1492.00000,211.00000,6985.00000,150.00000,7640.00000,9132.00000,1018.00000,1840.00000,196.00000,2905.00000,3923.00000,2.00000,2678.00000,-185.00000,5209.00000,9132.00000
2011-12-31,819.00000,308.00000,5438.00000,6581.00000,193.00000,6709.00000,216.00000,7510.00000,14091.00000,6038.00000,2072.00000,171.00000,3067.00000,9105.00000,2.00000,2391.00000,-350.00000,4986.00000,14091.00000
2010-12-31,628.00000,298.00000,7571.00000,8510.00000,164.00000,6846.00000,254.00000,7697.00000,16207.00000,8231.00000,2181.00000,198.00000,3247.00000,11478.00000,2.00000,2004.00000,-272.00000,4729.00000,16207.00000
2009-12-31,932.00000,301.00000,2112.00000,3370.00000,164.00000,6431.00000,253.00000,7352.00000,10722.00000,2854.00000,1867.00000,199.00000,2924.00000,5778.00000,2.00000,1610.00000,-406.00000,4944.00000,10722.00000
