,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,375408.00000,292325.00000,667733.00000,,461246.00000,24270.00000,26982.00000,512498.00000,1180231.00000,840942.00000,238058.00000,238058.00000,1079000.00000,20.00000,94862.00000,-6253.00000,101231.00000,1180231.00000
2021-12-31,377437.00000,284152.00000,661589.00000,,477867.00000,25193.00000,23491.00000,526551.00000,1188140.00000,848415.00000,233127.00000,233127.00000,1081542.00000,20.00000,89432.00000,-3102.00000,106598.00000,1188140.00000
2020-12-31,334279.00000,248334.00000,582613.00000,,494892.00000,16615.00000,21742.00000,533249.00000,1115862.00000,795634.00000,217079.00000,217079.00000,1012713.00000,20.00000,78694.00000,-1962.00000,103149.00000,1115862.00000
2019-12-31,276944.00000,186283.00000,463227.00000,,402835.00000,9250.00000,20117.00000,432202.00000,895429.00000,620105.00000,192627.00000,192627.00000,812732.00000,20.00000,70589.00000,-2788.00000,82697.00000,895429.00000
2018-12-31,302031.00000,168877.00000,470908.00000,,358131.00000,8851.00000,15641.00000,382623.00000,853531.00000,582463.00000,189662.00000,189662.00000,772125.00000,20.00000,64175.00000,-2292.00000,81406.00000,853531.00000
2017-12-31,288663.00000,160313.00000,448976.00000,,377084.00000,9045.00000,16628.00000,402757.00000,851733.00000,580685.00000,192582.00000,192582.00000,773267.00000,20.00000,57577.00000,-3060.00000,78466.00000,851733.00000
2016-12-31,304551.00000,140708.00000,445259.00000,,342246.00000,9298.00000,18146.00000,369690.00000,814949.00000,572056.00000,165716.00000,165716.00000,737772.00000,20.00000,53679.00000,-2643.00000,77177.00000,814949.00000
2015-12-31,284156.00000,131166.00000,415322.00000,,311488.00000,9568.00000,51087.00000,372143.00000,787465.00000,557513.00000,153768.00000,153768.00000,711281.00000,20.00000,49204.00000,-1656.00000,76184.00000,787465.00000
2014-12-31,328903.00000,115538.00000,444441.00000,6108.00000,330472.00000,9747.00000,10742.00000,357069.00000,801510.00000,576634.00000,152772.00000,152772.00000,729406.00000,20.00000,44625.00000,-1248.00000,72104.00000,801510.00000
2013-12-31,367431.00000,99978.00000,467409.00000,6019.00000,339260.00000,9881.00000,10133.00000,365293.00000,832702.00000,610097.00000,153575.00000,153575.00000,763672.00000,20.00000,42172.00000,-1093.00000,69030.00000,832702.00000
2012-12-31,348265.00000,93334.00000,441599.00000,5946.00000,312471.00000,10433.00000,10511.00000,339361.00000,780960.00000,541652.00000,169571.00000,173880.00000,715532.00000,20.00000,39912.00000,-516.00000,65428.00000,780960.00000
2011-12-31,345646.00000,64038.00000,409684.00000,6457.00000,310680.00000,10971.00000,12106.00000,340214.00000,749898.00000,495586.00000,184234.00000,184234.00000,679820.00000,20.00000,40341.00000,-157.00000,70078.00000,749898.00000
2010-12-31,370315.00000,64726.00000,435041.00000,6154.00000,341807.00000,11406.00000,13290.00000,372657.00000,807698.00000,549834.00000,192457.00000,192457.00000,742291.00000,16.00000,38603.00000,-467.00000,65407.00000,807698.00000
2009-12-31,380068.00000,51736.00000,431804.00000,7067.00000,303530.00000,12216.00000,16845.00000,339658.00000,771462.00000,525308.00000,193374.00000,193374.00000,718682.00000,15.00000,35056.00000,-560.00000,52780.00000,771462.00000
