,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-06-30,2708.00800,1811.87700,2146.88900,502.13700,7168.91100,849.92900,3514.46300,484.61200,5428.17700,12597.09000,2871.08300,6660.71800,882.64200,8326.91500,11198.00000,0.14200,366.88200,-27.47100,1399.09000,12597.09000
2021-06-30,2494.52200,1305.47900,1575.38000,320.86700,5696.24800,663.02700,3196.48300,444.90500,4574.87500,10271.12000,2103.22700,3422.76700,631.29000,4792.25500,6895.48200,0.15300,1277.12300,-75.55700,3375.64200,10271.12000
2020-06-30,1980.47200,1107.41300,1310.98500,324.67500,4723.54500,519.82400,3436.81500,362.97900,4556.41500,9279.96000,1699.78600,3469.67000,672.28400,4899.16400,6598.95000,0.15500,654.93000,-79.77400,2681.01000,9279.96000
2019-06-30,1739.38500,990.11300,1262.50000,323.07700,4315.07500,448.79900,3772.52800,265.97300,4693.44100,9008.51600,1768.48600,3173.38300,587.89700,4562.33700,6330.82300,0.15900,714.82500,-73.02900,2677.69300,9008.51600
2018-06-30,2880.31800,651.67800,931.84500,85.15900,4549.00000,286.30600,374.03100,236.08200,1089.61900,5638.61900,1214.27000,2237.40200,493.24200,2803.83800,4018.10800,0.15600,1056.44500,-53.93300,1620.51100,5638.61900
2017-06-30,3016.74000,571.11700,732.98800,71.22100,4392.06600,283.97500,368.48900,195.67600,1140.10700,5532.17300,1293.16200,2680.47400,172.40700,2912.59400,4205.75600,0.15700,848.45700,-51.32300,1326.41700,5532.17300
2016-06-30,2491.29400,613.23300,698.63500,64.87000,3868.03200,278.01400,339.50800,174.65900,1094.40000,4962.43200,1002.42300,3057.93600,156.62300,3270.89500,4273.31800,0.15600,284.82500,-48.68500,689.11400,4962.43200
2015-06-30,2387.11100,585.49400,617.90400,77.81400,3904.57600,314.59100,347.15800,181.03900,921.43600,4826.01200,1001.76300,3173.43500,182.23000,3402.81000,4404.57300,0.15800,-12.36200,-40.57300,421.43900,4826.01200
2014-06-30,3152.63700,492.86300,656.45700,68.46200,4586.09500,330.26300,363.05200,256.43600,949.75100,5535.84600,895.61100,745.10100,168.28800,970.88900,1866.50000,0.16500,2479.11300,-30.27100,3669.34600,5535.84600
2013-06-30,2918.88100,524.61000,634.44800,75.03900,4351.50300,305.28100,361.15000,269.42300,935.85400,5287.35700,861.53200,747.37600,96.11000,943.67300,1805.20500,0.16500,2359.23300,-36.64600,3482.15200,5287.35700
2012-06-30,2534.44400,701.28000,650.80200,92.84700,4164.04300,277.68600,383.35200,275.22700,936.26500,5100.30800,862.90700,746.83300,121.03000,921.80600,1784.71300,0.16700,2247.25800,-21.14300,3315.59500,5100.30800
2011-06-30,2038.53500,583.27000,575.73000,147.07800,3676.01000,257.35800,414.05800,328.09500,999.51100,4675.52100,878.86100,746.29000,154.57200,935.76700,1814.62800,0.16700,1852.63300,-2.39900,2860.89300,4675.52100
2010-06-30,1534.04400,440.12500,401.73000,131.04400,2835.46500,236.75200,445.34200,389.49700,1071.59100,3907.05600,771.78700,745.74700,122.55700,888.65800,1660.44500,0.16800,1356.45400,-31.30300,2246.61100,3907.05600
2009-06-30,1329.88400,210.14300,370.20600,227.26300,2398.61700,291.87800,478.45900,440.58400,1210.92100,3609.53800,546.98200,745.20400,132.96000,878.16400,1425.14600,0.17100,1370.13200,-21.21700,2184.39200,3609.53800
