,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,5612.37400,1465.38300,949.82600,131.93900,8159.52200,1487.66300,,3948.71400,1293.54700,8301.31900,16460.84000,8303.31500,5283.46700,455.97100,8063.72900,16367.04000,2.28500,-2971.22900,-90.07600,93.79700,16460.84000
2021-12-31,4887.79200,1066.57300,654.89400,74.83400,6684.09300,1091.92900,,3986.23500,1101.15000,7718.22500,14402.32000,6855.72200,5145.48400,431.58100,7735.05000,14590.77000,2.22000,-3327.73700,-147.96400,-188.45400,14402.32000
2020-12-31,2546.43900,486.73400,577.13000,39.46500,3649.76800,1101.41400,,3353.86100,1060.03700,6939.53500,10589.30000,3796.56900,4855.09600,353.26700,6926.48600,10723.05000,2.14500,-2676.83300,-177.00900,-133.75200,10589.30000
2019-12-31,2474.24200,994.60600,667.04400,57.00700,4192.89900,1117.93200,,3237.59300,1025.17200,6782.71600,10975.62000,4107.59900,3271.26200,130.64800,5404.06200,9511.66100,2.11300,-949.33400,-145.71300,1463.95400,10975.62000
2018-12-31,2378.20300,829.32000,597.86600,42.68500,3848.07400,946.59300,,2853.24800,848.97100,4648.81200,8496.88600,3749.86600,2732.87800,204.97700,3404.27700,7154.14300,2.09100,-1019.22300,-145.23100,1342.74300,8496.88600
2017-12-31,1828.82200,725.30400,546.71300,51.90300,3152.74200,885.93600,,2852.87700,612.70800,4351.52100,7504.26300,3577.00000,1952.36600,174.39100,2509.11900,6086.11900,2.06900,-1079.47200,-108.54200,1418.14400,7504.26300
2016-12-31,1526.59100,568.93600,528.25000,49.77400,2673.55100,751.53600,,2927.88500,411.29400,4090.71500,6764.26600,2460.34400,2259.73600,149.79100,2954.40600,5414.75000,2.03400,-1073.45700,-176.70700,1349.51600,6764.26600
2015-12-31,1303.12500,452.60000,496.22600,36.36400,2288.31500,731.28200,,2751.39500,385.24900,3867.92600,6156.24100,2101.20600,2002.66200,142.26700,2608.11600,4709.32200,2.02000,-1075.11100,-111.65700,1446.91900,6156.24100
2014-12-31,1382.02900,419.30100,440.27200,26.08900,2267.69100,695.33700,,2531.23000,474.10300,3700.67000,5968.36100,2010.73900,1995.95700,112.20400,2473.77500,4484.51400,2.00400,-1042.60300,-70.01000,1483.84700,5968.36100
2013-12-31,1299.18400,439.15100,378.34200,43.42700,2160.10400,706.80000,,2520.28300,296.33400,3523.41700,5683.52100,2255.51800,1530.48400,85.03500,1838.19700,4093.71500,1.97800,-951.79600,-2.37000,1589.80600,5683.52100
2012-12-31,1001.05500,415.79000,359.93600,36.03100,1812.81200,721.78600,,2459.75300,296.45500,3477.99400,5290.80600,1768.17200,1677.95500,94.40900,2014.06000,3782.23200,1.87700,-908.41800,-10.92300,1508.57400,5290.80600
2011-12-31,844.25300,389.34600,316.49100,26.70000,1576.79000,720.13600,55.79600,2508.51600,216.10600,3500.55400,5077.34400,1492.55300,1652.62900,120.69300,1967.89700,3460.45000,1.86800,-745.19100,-36.37400,1616.89400,5077.34400
2010-12-31,892.75800,329.94700,348.30900,32.48300,1603.49700,737.06400,30.07700,2598.89800,226.02400,3592.06300,5195.56000,1474.22100,1677.71400,215.27300,2219.67100,3693.89200,1.72400,-662.17500,-22.24400,1501.66800,5195.56000
2009-12-31,236.95500,176.17900,277.59900,27.13300,717.86600,749.98400,2.07700,675.56100,196.27100,1623.89300,2341.75900,752.23400,699.03700,94.56700,864.08400,1616.31800,0.86000,-433.78500,4.19900,725.44100,2341.75900
