,cash-on-hand,receivables-total,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,565.48500,554.78500,68.28900,1188.55900,100.25600,252.85400,,353.11000,1607.77500,444.00600,82.67600,526.68200,0.12300,1101.52500,-37.69700,,1081.09300,1607.77500
2021-12-31,592.97200,472.22700,27.06600,1092.26500,96.06100,271.16600,,367.22700,1530.45200,400.71800,88.42500,489.14300,0.12300,956.96600,-13.33000,,1041.30900,1530.45200
2020-12-31,539.02800,359.49200,29.03900,927.55900,85.20400,242.74200,,327.94600,1331.42900,282.75600,93.61200,376.36800,0.12300,799.36900,-4.65000,,955.06100,1331.42900
2019-12-31,500.60100,62.01700,31.27100,593.88900,71.79500,207.84700,,279.64200,954.93000,86.84800,97.99100,184.83900,0.12200,591.08600,-10.27000,,770.09100,954.93000
2018-12-31,486.42700,57.53500,22.46800,566.43000,63.01000,62.67500,,129.10900,695.53900,87.66100,,87.66100,0.12200,463.25200,-12.39400,,607.87800,695.53900
2017-12-31,406.53500,52.63600,18.71700,477.88800,38.54800,63.05900,,103.34400,581.23200,66.46400,,66.46400,0.12100,353.58300,-10.22600,,514.76800,581.23200
2016-12-31,362.64700,50.66800,11.61800,424.93300,31.10400,63.44300,,103.10900,528.04200,60.02900,,60.02900,0.12000,255.14000,-12.22800,,468.01300,528.04200
2015-12-31,284.43400,40.45900,9.88000,334.77300,30.89700,64.14200,,104.26800,439.04100,48.32800,,48.32800,0.12100,168.01100,-5.22900,,390.71300,439.04100
2014-12-31,233.78700,33.83600,6.68500,274.30800,32.18500,66.41900,,105.57600,379.88400,45.67600,,45.67600,0.12000,101.81300,-4.53700,,334.20800,379.88400
2013-12-31,200.43300,34.15800,10.64000,245.23100,32.70300,68.69700,,108.67900,353.91000,43.54800,,43.54800,0.11900,51.04200,-4.08300,,310.36200,353.91000
2012-12-31,180.11600,31.04400,8.09600,219.25600,18.00900,33.13400,,60.58500,279.84100,37.12400,,37.12400,0.11800,-5.64400,-3.09300,,242.71700,279.84100
2011-12-31,247.73000,36.17000,8.46500,292.36500,14.46000,34.54400,,57.09300,349.45800,37.01900,,37.01900,0.12200,-0.58400,-1.88200,,312.43900,349.45800
2010-12-31,197.54600,25.68200,7.92300,231.15100,12.54500,36.01200,,68.37000,299.52100,34.73000,,34.73000,0.11700,-34.60500,-1.65100,,264.79100,299.52100
2009-12-31,179.30900,23.15000,,202.45900,6.85600,40.95000,3.04100,74.82700,277.28600,30.46900,,30.46900,0.11300,-55.40300,-1.39100,-0.71300,246.81700,277.28600
