,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,117.00000,1442.00000,1963.00000,466.00000,3988.00000,383.00000,472.00000,3480.00000,4619.00000,8607.00000,2224.00000,1040.00000,361.00000,2288.00000,4512.00000,1.00000,3678.00000,-233.00000,4095.00000,8607.00000
2021-12-31,118.00000,1452.00000,1861.00000,413.00000,3844.00000,366.00000,424.00000,3522.00000,4637.00000,8481.00000,2307.00000,811.00000,377.00000,2111.00000,4418.00000,1.00000,3595.00000,-171.00000,4063.00000,8481.00000
2020-12-31,421.18500,1424.78700,1512.49900,432.94400,3791.41500,342.00400,366.44500,2983.82100,3981.11700,7772.53200,2283.10200,515.77300,392.78100,1505.04500,3788.14700,1.42500,3454.83100,-108.08400,3984.38500,7772.53200
2019-12-31,106.09700,1246.24600,1428.79900,445.36000,3226.50200,329.64500,327.91900,3035.37300,3924.59900,7151.10100,2038.36900,622.90800,331.17300,1482.59500,3520.96400,1.43400,3116.21500,-167.37300,3630.13700,7151.10100
2018-12-31,56.88500,1168.77600,1415.51200,451.03300,4175.22000,314.22100,420.36700,2457.06000,4325.30700,8500.52700,3218.82700,980.34400,357.74100,1739.91200,4958.73900,1.51400,3208.58900,-248.77100,3541.78800,8500.52700
2017-12-31,174.65800,1522.80700,1933.80300,454.75200,4086.02000,375.00100,432.00200,2970.97200,3777.97500,7863.99500,2828.97500,907.75600,420.28500,2210.61000,5039.58500,1.53700,2940.02900,-130.06700,2824.41000,7863.99500
2016-12-31,62.38100,1254.13900,1665.75000,360.51000,3342.78000,333.90600,442.79000,2640.92000,3417.61600,6760.39600,2320.64600,715.45700,264.26400,1638.94600,3959.59200,1.58800,2981.77700,-317.04100,2800.80400,6760.39600
2015-12-31,72.08600,1229.81600,1509.95700,361.08200,3231.10000,318.47600,454.60000,2500.56400,3273.64000,6504.74000,2146.99700,463.75200,212.12100,1470.92900,3617.92600,0.82400,2895.99700,-219.93900,2886.81400,6504.74000
2014-12-31,89.47400,1127.51700,1327.79600,311.78800,2913.16600,311.49600,386.28600,2527.85900,3225.64100,6138.80700,1780.11100,542.77600,181.83000,1542.25100,3322.36200,0.84000,2642.52300,-95.13200,2816.44500,6138.80700
2013-12-31,188.61600,1055.21600,1250.40300,276.56500,2834.66500,275.88800,461.94500,2052.13800,2789.97100,5624.63600,1550.66300,450.23300,139.52600,1285.97200,2836.63500,0.85600,2398.26700,67.84900,2788.00100,5624.63600
2012-12-31,122.08000,1015.19400,1203.50700,299.54700,2704.37700,273.45800,292.93400,2063.22800,2629.62000,5333.99700,1472.70900,488.12100,125.31400,1245.42400,2718.13300,0.87900,2183.90500,52.85500,2615.86400,5333.99700
2011-12-31,147.28400,888.24800,947.84900,234.15700,2272.50800,262.08800,298.82800,1906.72000,2467.63600,4740.14400,1271.64000,363.52400,80.56800,1034.88100,2306.52100,0.89900,2007.47700,22.58400,2433.62300,4740.14400
2010-12-31,150.34800,885.78400,870.20600,214.01300,2169.30200,252.57300,295.33400,1830.26200,2378.16900,4547.47100,1168.08700,395.30900,76.75300,966.42700,2134.51400,0.91900,1779.17800,30.51400,2412.95700,4547.47100
2009-12-31,471.15400,725.39700,775.19900,183.78200,2203.53300,259.57600,182.03600,1190.84000,1632.45200,3835.98500,1076.25400,243.37300,-103.26600,598.22300,1674.47700,0.90600,1492.60700,64.19400,2161.50800,3835.98500
