,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-01-31,14760.00000,8280.00000,56511.00000,1519.00000,81070.00000,94515.00000,29014.00000,22152.00000,163790.00000,244860.00000,87379.00000,39107.00000,65590.00000,152969.00000,276.00000,86904.00000,-8766.00000,91891.00000,244860.00000
2021-01-31,17741.00000,6516.00000,44949.00000,20861.00000,90067.00000,92201.00000,28983.00000,23598.00000,162429.00000,252496.00000,92645.00000,45041.00000,72320.00000,164965.00000,282.00000,88763.00000,-11766.00000,87531.00000,252496.00000
2020-01-31,9465.00000,6284.00000,44435.00000,1622.00000,61806.00000,105208.00000,31073.00000,16567.00000,174689.00000,236495.00000,77790.00000,48021.00000,77153.00000,154943.00000,284.00000,83943.00000,-12805.00000,81552.00000,236495.00000
2019-01-31,7722.00000,6283.00000,44269.00000,3623.00000,61897.00000,104317.00000,31181.00000,14822.00000,157398.00000,219295.00000,77477.00000,50203.00000,62184.00000,139661.00000,288.00000,80785.00000,-11542.00000,79634.00000,219295.00000
2018-01-31,6756.00000,5614.00000,43783.00000,3511.00000,59664.00000,107675.00000,18242.00000,11798.00000,144858.00000,204522.00000,78521.00000,36825.00000,45179.00000,123700.00000,295.00000,85107.00000,-10181.00000,80822.00000,204522.00000
2017-01-31,6867.00000,5835.00000,43046.00000,1941.00000,57689.00000,107710.00000,17037.00000,9921.00000,141136.00000,198825.00000,66928.00000,42018.00000,51362.00000,118290.00000,305.00000,89354.00000,-14232.00000,80535.00000,198825.00000
2016-01-31,8705.00000,5624.00000,44469.00000,1441.00000,60239.00000,110171.00000,16695.00000,6131.00000,139342.00000,199581.00000,64619.00000,44030.00000,51351.00000,115970.00000,317.00000,90021.00000,-11597.00000,83611.00000,199581.00000
2015-01-31,9135.00000,6778.00000,45141.00000,2224.00000,63278.00000,114280.00000,18102.00000,5455.00000,140212.00000,203490.00000,65253.00000,43495.00000,52300.00000,117553.00000,323.00000,85777.00000,-7168.00000,85937.00000,203490.00000
2014-01-31,7281.00000,6677.00000,44858.00000,1909.00000,61185.00000,115364.00000,19510.00000,6149.00000,143566.00000,204751.00000,69345.00000,44559.00000,54067.00000,123412.00000,323.00000,76566.00000,-2996.00000,81339.00000,204751.00000
2013-01-31,7781.00000,6768.00000,43803.00000,1551.00000,59940.00000,113929.00000,20497.00000,5987.00000,143165.00000,203105.00000,71818.00000,41417.00000,49549.00000,121367.00000,332.00000,72978.00000,-587.00000,81738.00000,203105.00000
2012-01-31,6550.00000,5937.00000,40714.00000,1774.00000,54975.00000,109603.00000,20651.00000,5456.00000,138431.00000,193406.00000,62300.00000,47079.00000,55345.00000,117645.00000,342.00000,68691.00000,-1410.00000,75761.00000,193406.00000
2011-01-31,7395.00000,5089.00000,36437.00000,2960.00000,52012.00000,105098.00000,16763.00000,4129.00000,128770.00000,180782.00000,58603.00000,43842.00000,50932.00000,109535.00000,352.00000,63967.00000,646.00000,71247.00000,180782.00000
2010-01-31,7907.00000,4144.00000,32713.00000,3128.00000,48032.00000,99544.00000,16126.00000,3942.00000,122375.00000,170407.00000,55543.00000,36401.00000,42216.00000,97759.00000,378.00000,66357.00000,-70.00000,72648.00000,170407.00000
2009-01-31,7275.00000,3905.00000,34511.00000,3063.00000,48949.00000,92856.00000,15260.00000,3567.00000,114480.00000,163429.00000,55390.00000,34549.00000,40960.00000,96350.00000,393.00000,63660.00000,-2688.00000,67079.00000,163429.00000
