,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,524.40000,418.10000,,613.50000,1556.00000,108.20000,253.20000,4785.60000,181.90000,5442.90000,6998.90000,1477.20000,1437.30000,266.90000,2056.40000,3533.60000,1.10000,2171.10000,-31.00000,3465.30000,6998.90000
2021-12-31,379.00000,369.60000,,782.70000,1531.30000,105.20000,245.80000,4694.00000,125.80000,5283.20000,6814.50000,1169.30000,1299.30000,239.20000,2040.40000,3209.70000,1.10000,2145.50000,55.60000,3604.80000,6814.50000
2020-12-31,337.80000,390.40000,,838.60000,1566.80000,82.60000,42.70000,4624.10000,89.30000,4949.70000,6516.50000,1313.30000,1135.20000,209.40000,1854.30000,3167.60000,1.20000,1809.80000,75.00000,3348.90000,6516.50000
2019-12-31,300.30000,291.50000,,15.80000,607.60000,47.00000,61.20000,4272.00000,72.70000,4506.30000,5113.90000,281.60000,867.60000,162.70000,1476.70000,1758.30000,1.20000,1512.60000,37.60000,3355.60000,5113.90000
2018-12-31,310.80000,357.70000,,15.20000,683.70000,71.70000,86.20000,4411.60000,62.90000,4637.29900,5321.00000,595.90000,915.60000,122.30000,1484.10000,2080.00000,1.20000,1288.20000,11.50000,3241.00000,5321.00000
2017-12-31,190.80000,234.50000,,9.40000,434.70000,73.90000,82.70000,4610.00000,59.50000,4831.00000,5265.70000,334.00000,1237.90000,85.60000,1821.10000,2155.10000,1.20000,993.30000,50.70000,3110.60000,5265.70000
2016-12-31,97.30000,130.40000,,7.40000,235.10000,55.90000,72.90000,35.20000,72.70000,241.60000,476.70000,89.90000,,56.30000,68.90000,158.80000,0.90000,710.80000,-0.80000,317.90000,476.70000
2015-12-31,102.25300,96.11800,5.12200,0.62500,204.11800,60.36000,48.43000,66.96600,,180.67000,384.78800,73.99700,,43.94100,51.14600,125.14300,0.92700,603.59700,-0.82400,259.64500,384.78800
2014-12-31,147.92700,90.58600,4.62200,0.97200,244.10700,66.85600,12.35100,55.67300,,139.79400,383.90100,73.66500,,44.88000,60.16900,133.83400,0.92600,472.00500,-0.68900,250.06700,383.90100
2013-12-31,221.34100,80.79600,4.00700,2.71700,308.86100,67.29400,14.58100,45.93900,,132.72800,441.58900,107.45800,,33.75900,49.61400,157.07200,0.91900,349.29000,-1.05000,284.51700,441.58900
2012-12-31,135.59700,62.59900,4.14600,0.56700,202.90900,74.04400,14.27000,42.72100,,135.94900,338.85800,52.15000,,24.80300,47.58600,99.73600,0.91300,275.49100,-0.89300,239.12200,338.85800
2011-12-31,134.93600,49.52900,4.15200,1.06500,189.68200,76.79800,14.30500,42.16900,,138.18600,327.86800,52.28700,,16.09100,39.31100,91.59800,0.90800,232.12100,-0.89900,236.27000,327.86800
2010-12-31,53.78900,51.09800,4.51000,0.53700,109.93400,82.08400,12.61500,44.56500,,144.17800,254.11200,48.81600,,7.15800,29.42200,78.23800,0.90100,133.08700,-0.97200,175.87400,254.11200
2009-12-31,383.73000,43.07700,5.80400,0.45200,433.06300,91.25100,3.09000,39.63000,,138.88500,571.94800,358.73500,,3.05900,25.07900,383.81400,19.57400,166.76900,-0.80100,188.13400,571.94800
