,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-01-31,877.00000,3018.00000,1270.00000,5165.00000,3037.00000,884.00000,7596.00000,12761.00000,4077.00000,1484.00000,445.00000,5962.00000,10039.00000,19.00000,2622.00000,38.00000,2722.00000,12761.00000
2021-01-31,2398.00000,2451.00000,1159.00000,6008.00000,2841.00000,703.00000,7761.00000,13769.00000,3884.00000,2216.00000,438.00000,7271.00000,11155.00000,19.00000,2501.00000,9.00000,2614.00000,13769.00000
2020-01-31,1654.00000,2156.00000,706.00000,4516.00000,3122.00000,639.00000,9163.00000,13679.00000,3209.00000,1249.00000,397.00000,7154.00000,10363.00000,19.00000,3257.00000,40.00000,3316.00000,13679.00000
2019-01-31,1369.00000,2131.00000,751.00000,4251.00000,2912.00000,886.00000,3798.00000,8049.00000,2174.00000,1249.00000,1073.00000,2322.00000,4496.00000,19.00000,3481.00000,53.00000,3553.00000,8049.00000
2018-01-31,1783.00000,1997.00000,788.00000,4568.00000,2805.00000,616.00000,3421.00000,7989.00000,2461.00000,1249.00000,1135.00000,2384.00000,4845.00000,19.00000,3081.00000,36.00000,3144.00000,7989.00000
2017-01-31,1783.00000,1830.00000,702.00000,4315.00000,2616.00000,679.00000,3295.00000,7610.00000,2453.00000,1248.00000,1005.00000,2253.00000,4706.00000,20.00000,2749.00000,54.00000,2904.00000,7610.00000
2016-01-31,1370.00000,1873.00000,742.00000,3985.00000,2850.00000,638.00000,3488.00000,7473.00000,2535.00000,1310.00000,1083.00000,2393.00000,4928.00000,20.00000,2440.00000,85.00000,2545.00000,7473.00000
2015-01-31,1515.00000,1889.00000,913.00000,4317.00000,2773.00000,600.00000,3373.00000,7690.00000,2234.00000,1332.00000,1141.00000,2473.00000,4707.00000,21.00000,2797.00000,165.00000,2983.00000,7690.00000
2014-01-31,1510.00000,1928.00000,992.00000,4430.00000,2758.00000,661.00000,3419.00000,7849.00000,2445.00000,1369.00000,973.00000,2342.00000,4787.00000,55.00000,14218.00000,135.00000,3062.00000,7849.00000
2013-01-31,1510.00000,1758.00000,864.00000,4132.00000,2619.00000,719.00000,3338.00000,7470.00000,2344.00000,1246.00000,986.00000,2232.00000,4576.00000,55.00000,13259.00000,181.00000,2894.00000,7470.00000
2012-01-31,1885.00000,1615.00000,809.00000,4309.00000,2523.00000,590.00000,3113.00000,7422.00000,2128.00000,1606.00000,933.00000,2539.00000,4667.00000,55.00000,12364.00000,229.00000,2755.00000,7422.00000
2011-01-31,1661.00000,1620.00000,645.00000,3926.00000,2563.00000,576.00000,3139.00000,7065.00000,2095.00000,,890.00000,890.00000,2985.00000,55.00000,11767.00000,185.00000,4080.00000,7065.00000
2010-01-31,2573.00000,1477.00000,614.00000,4664.00000,2628.00000,693.00000,3321.00000,7985.00000,2131.00000,,963.00000,963.00000,3094.00000,55.00000,10815.00000,155.00000,4891.00000,7985.00000
2009-01-31,1756.00000,1506.00000,743.00000,4005.00000,2933.00000,626.00000,3559.00000,7564.00000,2158.00000,,1019.00000,1019.00000,3177.00000,55.00000,9947.00000,123.00000,4387.00000,7564.00000
