,cash-on-hand,total-current-assets,net-property-plant-equipment,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,734.24510,734.24510,19025.34000,496.36000,19580.19000,20457.76000,360.28600,8316.04500,362.52400,8681.25400,9204.21000,1.40000,485.22100,1.42400,11253.55000,20457.76000
2021-12-31,543.78800,543.78800,18709.58000,461.63100,19211.63000,19902.02000,346.30600,8103.54700,349.20500,8456.12000,8968.93000,1.39800,240.82100,-26.10600,10933.09000,19902.02000
2020-12-31,313.53200,313.53200,18233.78000,441.13800,18730.35000,19199.14000,323.73200,7564.33700,374.74500,7941.75900,8446.97000,1.39500,126.02200,-40.25000,10752.17000,19199.14000
2019-12-31,127.61400,127.61400,18432.99000,365.00100,18868.48000,19121.05000,321.16700,7296.29000,369.67600,7669.21800,8130.85300,1.40600,282.91300,-31.50300,10990.20000,19121.05000
2018-12-31,217.86400,217.86400,17730.93000,383.96300,18162.34000,18380.20000,344.34800,7040.26300,359.73900,7403.24600,7747.59400,1.38500,350.77700,-26.14400,10632.61000,18380.20000
2017-12-31,201.90600,201.90600,17717.56000,449.53900,18212.91000,18414.82000,351.30500,7329.47000,339.94400,7675.47000,8026.77500,1.38100,188.60900,-37.41900,10388.05000,18414.82000
2016-12-31,329.97700,329.97700,17032.99000,464.12100,17537.29000,17867.27000,312.98300,7030.88000,344.22600,7382.87200,7695.85000,1.37300,94.89900,-30.51000,10171.42000,17867.27000
2015-12-31,505.32800,505.32800,15942.31000,446.09100,16425.98000,16931.30000,300.09000,6456.94800,323.74400,6790.68900,7090.77900,1.37000,-197.98900,-31.38700,9840.52600,16931.30000
2014-12-31,605.08500,605.08500,14935.74000,532.72400,15535.49000,16140.58000,285.75200,6489.70700,305.94900,6808.42100,7094.17300,1.32000,-267.08500,-42.51500,9046.40500,16140.58000
2013-12-31,379.91900,379.91900,14284.21000,591.96300,14948.22000,15328.14000,283.19100,6134.35100,293.55400,6445.22500,6728.41300,1.29400,-345.25400,-48.63100,8599.72700,15328.14000
2012-12-31,2783.56800,2783.56800,8015.12000,298.02500,8376.51100,11160.08000,249.81200,3851.03300,211.41300,4069.47300,4319.28700,1.14400,-142.32900,-108.00700,6840.79300,11160.08000
2011-12-31,690.25310,690.25310,7425.03000,308.68400,7792.13700,8482.39000,279.73000,3599.19600,194.50900,3800.76800,4080.49800,0.95200,-171.64800,-87.02000,4401.89200,8482.39000
2010-12-31,477.74500,477.74500,6955.64500,277.82100,7343.74300,7821.48800,162.77600,3973.08500,355.77400,4343.12100,4505.89700,0.85900,-282.74300,-1.17500,3315.59100,7821.48800
2009-12-31,316.36700,316.36700,6833.48700,185.45700,7141.23800,7457.60500,268.03300,3974.87200,158.77600,4139.44500,4407.47800,0.81500,-149.98800,-1.06700,3050.12700,7457.60500
